TimeStamp, Voltage (V), Current (mA), Power (mW)
0:00:00.000262,5.116,258.366,1336.098
0:00:00.005524,5.112,257.366,1376.098
0:00:00.010416,5.120,261.366,1318.049
0:00:00.015288,5.120,259.683,1331.707
0:00:00.020295,5.116,262.268,1341.951
0:00:00.025182,5.120,273.780,1338.537
0:00:00.030151,5.116,262.073,1338.049
0:00:00.037097,5.120,260.780,1695.122
0:00:00.042018,5.100,259.585,1364.878
0:00:00.046988,5.116,261.073,1320.976
0:00:00.051868,5.120,259.878,1323.415
0:00:00.056822,5.116,255.976,1324.390
0:00:00.061711,5.116,270.780,1327.317
0:00:00.066595,5.116,260.878,1329.268
0:00:00.071499,5.120,260.780,1317.073
0:00:00.076374,5.120,258.463,1313.171
0:00:00.081256,5.116,255.976,1314.634
0:00:00.086230,5.112,259.780,1308.293
0:00:00.091143,5.116,318.878,1572.195
0:00:00.096030,5.096,323.073,1577.561
0:00:00.100958,5.108,298.463,1525.854
0:00:00.105847,5.108,296.268,1523.902
0:00:00.110719,5.116,298.268,1537.073
0:00:00.115596,5.104,298.976,1552.195
0:00:00.120520,5.112,298.878,1527.317
0:00:00.125407,5.112,299.561,1538.537
0:00:00.130419,5.104,299.780,1525.854
0:00:00.135294,5.104,301.683,1523.902
0:00:00.140289,5.112,297.366,1517.561
0:00:00.145163,5.104,297.976,1510.732
0:00:00.150085,5.104,296.366,1535.122
0:00:00.154973,5.108,300.268,1539.512
0:00:00.159878,5.108,299.976,1529.756
0:00:00.164788,5.108,297.976,1917.561
0:00:00.169669,5.092,392.561,1947.805
0:00:00.174546,5.088,384.659,1976.585
0:00:00.180012,5.080,387.366,1947.805
0:00:00.185022,5.080,386.073,1959.024
0:00:00.189928,5.068,381.659,1964.390
0:00:00.194860,5.080,385.171,1975.610
0:00:00.199754,5.080,386.951,1976.585
0:00:00.204633,5.080,398.268,2021.951
0:00:00.209604,5.092,385.171,1978.049
0:00:00.214498,5.096,386.756,1966.829
0:00:00.219467,5.080,386.756,1961.951
0:00:00.224351,5.088,391.073,1965.366
0:00:00.229338,5.076,383.463,1958.049
0:00:00.234224,5.080,386.561,1981.951
0:00:00.239115,5.084,389.073,2030.732
0:00:00.244003,5.088,392.171,1977.073
0:00:00.248879,5.088,386.951,1955.122
0:00:00.253756,5.080,385.366,1974.146
0:00:00.258762,5.088,388.073,1973.171
0:00:00.263654,5.088,385.073,1948.293
0:00:00.268613,5.080,386.756,1973.171
0:00:00.275210,5.088,384.366,1977.073
0:00:00.280254,5.084,384.463,1968.293
0:00:00.285139,5.080,387.756,1979.024
0:00:00.290115,5.080,389.463,1967.805
0:00:00.295007,5.092,433.756,1956.585
0:00:00.299891,5.076,386.268,1964.390
0:00:00.304761,5.088,384.659,1971.707
0:00:00.309635,5.084,383.463,1981.463
0:00:00.314500,5.080,388.366,1970.244
0:00:00.319464,5.080,388.756,1433.659
0:00:00.324380,5.116,279.780,1460.000
0:00:00.329343,5.112,277.780,1434.634
