TimeStamp, Voltage (V), Current (mA), Power (mW)
0:00:00.000255,5.120,258.976,1329.756
0:00:00.005361,5.112,262.976,1327.317
0:00:00.010234,5.116,272.073,1318.537
0:00:00.015089,5.112,263.366,1337.073
0:00:00.019947,5.120,260.073,1338.049
0:00:00.024902,5.120,261.073,1335.610
0:00:00.029752,5.120,260.976,1329.268
0:00:00.034600,5.120,259.780,1338.049
0:00:00.039449,5.120,260.683,1340.976
0:00:00.044300,5.116,259.878,1374.634
0:00:00.049166,5.120,262.268,1322.927
0:00:00.054143,5.104,256.683,1314.146
0:00:00.059019,5.120,258.585,1329.756
0:00:00.063956,5.116,260.878,1356.098
0:00:00.068788,5.116,257.366,1322.927
0:00:00.073652,5.116,259.683,1360.976
0:00:00.078523,5.120,258.268,1310.732
0:00:00.083376,5.120,259.171,1302.927
0:00:00.088342,5.112,255.073,1656.098
0:00:00.093292,5.100,366.659,1660.000
0:00:00.098155,5.100,300.366,1547.317
0:00:00.103127,5.096,298.073,1508.293
0:00:00.107996,5.104,299.463,1526.341
0:00:00.112852,5.100,296.683,1516.098
0:00:00.119570,5.108,304.683,1524.878
0:00:00.124509,5.108,298.463,1527.317
0:00:00.129394,5.104,298.171,1531.220
0:00:00.134255,5.104,298.976,1569.756
0:00:00.139108,5.104,297.976,1509.756
0:00:00.144055,5.104,296.976,1515.122
0:00:00.148913,5.112,295.463,1528.780
0:00:00.153773,5.104,297.683,1555.122
0:00:00.158622,5.108,297.878,1521.951
0:00:00.163472,5.112,298.780,1537.073
0:00:00.168318,5.112,298.366,1523.902
0:00:00.173303,5.108,304.561,1526.341
0:00:00.178165,5.104,296.683,1510.732
0:00:00.183116,5.104,297.976,1524.878
0:00:00.187981,5.104,302.780,1605.854
0:00:00.192859,5.108,301.073,1521.951
0:00:00.197767,5.104,299.683,1522.439
0:00:00.202637,5.124,297.561,1516.098
0:00:00.207484,5.108,299.780,1544.878
0:00:00.212432,5.108,363.976,2081.951
0:00:00.217294,5.088,385.463,1968.293
0:00:00.222226,5.080,385.854,1953.171
0:00:00.227091,5.088,401.951,1959.024
0:00:00.231954,5.080,386.659,1966.341
0:00:00.236813,5.080,385.073,1948.293
0:00:00.241682,5.084,383.268,1963.902
0:00:00.246528,5.076,384.463,1979.512
0:00:00.251391,5.088,383.561,1966.829
0:00:00.256259,5.088,386.561,1971.707
0:00:00.261108,5.080,390.268,2021.951
0:00:00.265961,5.088,389.268,1959.512
0:00:00.270817,5.084,385.073,1971.707
0:00:00.275802,5.088,385.463,2041.951
0:00:00.280673,5.080,389.463,1984.390
0:00:00.285625,5.088,387.756,1999.024
0:00:00.290494,5.084,394.171,1961.951
0:00:00.295361,5.080,389.171,1950.732
0:00:00.300220,5.084,385.073,1962.927
0:00:00.305077,5.080,386.366,1970.244
0:00:00.309930,5.080,383.561,1958.049
0:00:00.314879,5.088,388.951,2028.293
0:00:00.319739,5.088,387.463,1973.171
0:00:00.324602,5.088,387.463,1960.488
0:00:00.329461,5.072,390.659,1968.293
0:00:00.334318,5.088,399.171,1957.561
0:00:00.339174,5.084,384.854,1966.829
0:00:00.344132,5.080,385.073,1448.780
0:00:00.348992,5.112,283.878,1434.634
0:00:00.353941,5.112,280.366,1424.878
