TimeStamp, Voltage (V), Current (mA), Power (mW)
0:00:00.000257,5.120,262.780,1309.756
0:00:00.005350,5.120,260.878,1312.195
0:00:00.010299,5.124,259.683,1332.195
0:00:00.015112,5.120,259.463,1330.732
0:00:00.019933,5.104,259.780,1378.049
0:00:00.024800,5.128,261.366,1337.073
0:00:00.029657,5.112,258.683,1327.317
0:00:00.034459,5.112,259.585,1353.659
0:00:00.039274,5.116,260.366,1320.976
0:00:00.044163,5.108,260.683,1329.268
0:00:00.049023,5.116,260.683,1310.732
0:00:00.053867,5.120,270.585,1318.049
0:00:00.058695,5.124,257.171,1327.317
0:00:00.063630,5.116,257.780,1316.098
0:00:00.068479,5.120,257.171,1324.390
0:00:00.073329,5.112,260.268,1336.098
0:00:00.078159,5.116,256.683,1320.976
0:00:00.083010,5.116,259.268,1328.293
0:00:00.087838,5.120,258.366,1377.073
0:00:00.092775,5.104,300.976,1511.220
0:00:00.097617,5.112,298.463,1693.659
0:00:00.102457,5.104,299.171,1516.098
0:00:00.107289,5.112,301.878,1676.585
0:00:00.112150,5.104,299.463,1543.415
0:00:00.116993,5.108,337.878,1775.122
0:00:00.121929,5.108,332.366,1592.195
0:00:00.126782,5.108,312.073,1548.293
0:00:00.131679,5.104,303.073,1535.122
0:00:00.136527,5.104,300.683,1519.512
0:00:00.141393,5.104,300.561,1527.317
0:00:00.146232,5.104,300.878,1544.878
0:00:00.151171,5.104,299.878,1550.732
0:00:00.156012,5.104,298.683,1535.122
0:00:00.160852,5.104,313.171,1545.854
0:00:00.165689,5.104,301.683,1535.122
0:00:00.170540,5.108,302.463,1541.951
0:00:00.175393,5.104,301.683,1527.317
0:00:00.180324,5.108,310.976,1518.537
0:00:00.185168,5.108,299.073,1538.537
0:00:00.190002,5.108,300.976,1528.780
0:00:00.194836,5.100,299.073,1532.195
0:00:00.199678,5.108,394.366,1981.463
0:00:00.204518,5.088,385.171,1975.122
0:00:00.209359,5.080,387.951,1992.683
0:00:00.214209,5.076,389.854,2030.244
0:00:00.219052,5.088,388.854,2002.927
0:00:00.223905,5.088,390.171,1963.902
0:00:00.228752,5.088,387.171,1966.829
0:00:00.233741,5.084,390.463,1950.732
0:00:00.240367,5.076,386.756,1967.805
0:00:00.245248,5.084,387.366,1963.902
0:00:00.250096,5.080,382.463,2006.829
0:00:00.254931,5.088,386.171,1972.683
0:00:00.259775,5.084,384.366,1959.024
0:00:00.264586,5.084,386.756,1979.024
0:00:00.269397,5.084,388.171,1979.024
0:00:00.274259,5.084,387.951,1976.585
0:00:00.279099,5.064,388.756,1985.854
0:00:00.283956,5.084,387.951,1970.244
0:00:00.288794,5.080,385.659,1965.366
0:00:00.293744,5.092,387.659,1955.610
0:00:00.298593,5.088,391.561,1946.341
0:00:00.303434,5.088,383.268,1974.146
0:00:00.308271,5.080,384.659,1986.829
0:00:00.313110,5.096,384.268,1960.488
0:00:00.317953,5.080,386.366,1984.390
0:00:00.322896,5.080,398.756,2037.073
0:00:00.327763,5.080,389.561,1966.341
0:00:00.332603,5.088,390.366,1962.927
0:00:00.337442,5.088,386.951,1955.610
0:00:00.342281,5.088,397.854,1954.146
0:00:00.347112,5.088,383.756,1966.341
0:00:00.352053,5.084,282.683,1456.098
0:00:00.356898,5.100,279.878,1909.268
0:00:00.361733,5.104,285.780,1441.951
