TimeStamp, Voltage (V), Current (mA), Power (mW)
0:00:00.000250,5.096,302.268,1520.976
0:00:00.005371,5.108,300.683,1533.171
0:00:00.010226,5.096,301.463,1482.439
0:00:00.015142,5.104,320.366,1529.756
0:00:00.020074,5.100,299.780,1554.634
0:00:00.024918,5.104,302.683,1595.122
0:00:00.029825,5.116,288.683,1555.122
0:00:00.034665,5.112,295.683,1520.976
0:00:00.039490,5.112,305.463,1528.293
0:00:00.044292,5.104,304.780,1435.610
0:00:00.049194,5.108,307.463,1531.220
0:00:00.054038,5.104,299.366,1546.341
0:00:00.058878,5.104,305.976,1554.634
0:00:00.063712,5.112,300.073,1541.951
0:00:00.068568,5.104,299.683,1535.122
0:00:00.073433,5.108,304.878,1545.854
0:00:00.078369,5.104,282.976,1427.317
0:00:00.083226,5.116,298.780,1565.854
0:00:00.088063,5.104,299.561,1525.854
0:00:00.092900,5.096,299.976,1525.854
0:00:00.097737,5.104,297.171,1525.854
0:00:00.102580,5.104,309.268,1543.902
0:00:00.107416,5.104,304.561,1545.854
0:00:00.112361,5.096,284.463,1531.220
0:00:00.117223,5.104,300.463,1538.537
0:00:00.122070,5.100,303.073,1531.220
0:00:00.126910,5.112,311.268,1424.878
0:00:00.131747,5.112,299.171,1527.317
0:00:00.136593,5.104,296.976,1597.561
0:00:00.141530,5.112,299.463,1544.878
0:00:00.146370,5.108,283.366,1544.878
0:00:00.151212,5.100,296.878,1529.756
0:00:00.156054,5.104,305.780,1556.098
0:00:00.160923,5.108,304.976,1437.073
0:00:00.165771,5.104,300.683,1512.195
0:00:00.170707,5.112,299.073,1533.171
0:00:00.175548,5.108,307.659,1543.902
0:00:00.180395,5.112,297.366,1513.659
0:00:00.185236,5.104,297.976,1533.659
0:00:00.190082,5.100,299.780,1614.634
0:00:00.194918,5.104,280.780,1444.878
0:00:00.199826,5.108,299.683,1546.341
0:00:00.204636,5.108,303.366,1557.561
0:00:00.209477,5.104,306.780,1577.073
0:00:00.214347,5.112,301.073,1522.439
0:00:00.219279,5.104,297.976,1545.854
0:00:00.224120,5.112,299.171,1550.732
