Name,Length (s),Voltage (V),Current (mA),Power (mW), Energy consumption (Ws)
21_03_41_326541_http_get_cpp                      ,      1.130,      5.119,    263.905,   1352.195,      1.505
21_03_41_823462_http_get_cpp                      ,      1.130,      5.116,    271.470,   1379.950,      1.504
21_03_42_333196_http_get_cpp                      ,      1.130,      5.118,    265.813,   1390.767,      1.525
21_03_42_828067_http_get_cpp                      ,      1.130,      5.120,    270.143,   1363.380,      1.502
21_03_43_324510_http_get_cpp                      ,      1.130,      5.117,    272.665,   1367.021,      1.503
21_03_43_825891_http_get_cpp                      ,      1.130,      5.117,    273.781,   1368.881,      1.535
21_03_44_321970_http_get_cpp                      ,      1.130,      5.118,    268.564,   1381.847,      1.505
21_03_44_824729_http_get_cpp                      ,      1.130,      5.119,    265.229,   1387.823,      1.523
21_03_45_318202_http_get_cpp                      ,      1.130,      5.116,    266.642,   1354.761,      1.502
21_03_45_815814_http_get_cpp                      ,      1.130,      5.117,    264.627,   1361.185,      1.508
21_38_44_341608_http_get                          ,      1.130,      5.119,    262.758,   1344.252,      1.520
21_38_48_411821_http_get                          ,      1.130,      5.120,    261.375,   1340.131,      1.521
21_38_52_491074_http_get                          ,      1.130,      5.120,    261.970,   1342.412,      1.518
21_38_56_568046_http_get                          ,      1.130,      5.120,    261.462,   1338.152,      1.511
21_39_00_653053_http_get                          ,      1.130,      5.120,    261.665,   1337.147,      1.509
21_39_04_726614_http_get                          ,      1.130,      5.120,    262.256,   1340.506,      1.513
21_39_08_822965_http_get                          ,      1.130,      5.120,    261.670,   1339.338,      1.511
21_39_12_918718_http_get                          ,      1.130,      5.120,    261.128,   1338.255,      1.511
21_39_17_008184_http_get                          ,      1.130,      5.120,    261.827,   1343.581,      1.516
21_39_21_095651_http_get                          ,      1.130,      5.119,    261.620,   1338.539,      1.511
21_14_15_104634_http_get_js                       ,      1.130,      5.122,    262.948,   1361.929,      1.515
21_14_15_548144_http_get_js                       ,      1.130,      5.122,    260.504,   1333.747,      1.490
21_14_15_992422_http_get_js                       ,      1.130,      5.121,    260.626,   1339.024,      1.503
21_14_16_434963_http_get_js                       ,      1.130,      5.121,    260.047,   1337.646,      1.498
21_14_16_877746_http_get_js                       ,      1.130,      5.120,    260.950,   1330.133,      1.494
21_14_17_321179_http_get_js                       ,      1.130,      5.121,    260.011,   1339.113,      1.499
21_14_17_764994_http_get_js                       ,      1.130,      5.121,    260.565,   1347.251,      1.516
21_14_18_207791_http_get_js                       ,      1.130,      5.121,    262.358,   1352.661,      1.615
21_14_18_652092_http_get_js                       ,      1.130,      5.119,    261.458,   1339.979,      1.497
21_14_19_094129_http_get_js                       ,      1.130,      5.121,    259.089,   1333.548,      1.509
