Name,Length (s),Voltage (V),Current (mA),Power (mW), Energy consumption (Ws)
21_03_40_963270_http_post_cpp                     ,      2.326,      5.120,    262.515,   1342.218,      3.102
21_03_41_571853_http_post_cpp                     ,      2.326,      5.116,    268.084,   1358.402,      3.107
21_03_42_085577_http_post_cpp                     ,      2.326,      5.118,    270.036,   1398.016,      3.115
21_03_42_580388_http_post_cpp                     ,      2.326,      5.120,    267.942,   1393.080,      3.092
21_03_43_076871_http_post_cpp                     ,      2.326,      5.116,    266.968,   1373.693,      3.104
21_03_43_573056_http_post_cpp                     ,      2.326,      5.116,    269.198,   1381.132,      3.092
21_03_44_073675_http_post_cpp                     ,      2.326,      5.118,    268.798,   1371.978,      3.098
21_03_44_578584_http_post_cpp                     ,      2.326,      5.118,    266.669,   1366.190,      3.097
21_03_45_071245_http_post_cpp                     ,      2.326,      5.117,    268.546,   1359.686,      3.097
21_03_45_568744_http_post_cpp                     ,      2.326,      5.118,    271.921,   1367.927,      3.088
21_38_42_271558_http_post                         ,      2.326,      5.117,    272.458,   1390.639,      3.234
21_38_46_374162_http_post                         ,      2.326,      5.119,    261.499,   1344.255,      3.101
21_38_50_451051_http_post                         ,      2.326,      5.119,    262.448,   1341.222,      3.094
21_38_54_538090_http_post                         ,      2.326,      5.120,    261.817,   1341.580,      3.097
21_38_58_613894_http_post                         ,      2.326,      5.120,    262.403,   1344.250,      3.433
21_39_02_694388_http_post                         ,      2.326,      5.120,    261.609,   1341.981,      3.088
21_39_06_779718_http_post                         ,      2.326,      5.120,    261.284,   1339.515,      3.101
21_39_10_865786_http_post                         ,      2.326,      5.120,    261.557,   1339.998,      3.095
21_39_14_967611_http_post                         ,      2.326,      5.120,    261.832,   1340.614,      3.090
21_39_19_056950_http_post                         ,      2.326,      5.119,    262.338,   1337.753,      3.085
21_14_15_327457_http_post_js                      ,      2.326,      5.120,    260.995,   1335.589,      3.059
21_14_15_769983_http_post_js                      ,      2.326,      5.121,    260.696,   1333.348,      3.051
21_14_16_214393_http_post_js                      ,      2.326,      5.123,    259.292,   1340.827,      3.081
21_14_16_656825_http_post_js                      ,      2.326,      5.118,    264.862,   1354.878,      3.113
21_14_17_100920_http_post_js                      ,      2.326,      5.123,    259.284,   1342.528,      3.113
21_14_17_543685_http_post_js                      ,      2.326,      5.121,    260.854,   1344.136,      3.093
21_14_17_986920_http_post_js                      ,      2.326,      5.121,    260.718,   1337.964,      3.089
21_14_18_430174_http_post_js                      ,      2.326,      5.122,    259.870,   1328.823,      3.072
21_14_18_873458_http_post_js                      ,      2.326,      5.121,    260.652,   1330.265,      3.074
21_14_19_316752_http_post_js                      ,      2.326,      5.121,    262.203,   1334.590,      3.069
