Name,Length (s),Voltage (V),Current (mA),Power (mW), Energy consumption (Ws)
21_03_26_745307_humidity_cpp                      ,      1.000,      5.120,    259.193,   1333.370,      1.325
21_03_27_633150_humidity_cpp                      ,      1.000,      5.115,    270.402,   1381.863,      1.320
21_03_28_521277_humidity_cpp                      ,      1.000,      5.120,    260.462,   1333.260,      1.318
21_03_29_409997_humidity_cpp                      ,      1.000,      5.120,    259.702,   1332.860,      1.323
21_03_30_299150_humidity_cpp                      ,      1.000,      5.122,    260.919,   1333.680,      1.319
21_03_31_186748_humidity_cpp                      ,      1.000,      5.121,    260.150,   1329.968,      1.317
21_03_32_074382_humidity_cpp                      ,      1.000,      5.119,    261.788,   1348.537,      1.330
21_03_32_962834_humidity_cpp                      ,      1.000,      5.119,    261.115,   1334.457,      1.318
21_03_33_852020_humidity_cpp                      ,      1.000,      5.120,    262.058,   1344.199,      1.322
21_03_34_740291_humidity_cpp                      ,      1.000,      5.119,    261.880,   1331.177,      1.322
21_36_42_193022_humidity                          ,      1.000,      5.120,    260.608,   1333.318,      1.333
21_36_50_209326_humidity                          ,      1.000,      5.121,    260.188,   1332.133,      1.332
21_36_58_227861_humidity                          ,      1.000,      5.120,    260.193,   1332.742,      1.332
21_37_06_248984_humidity                          ,      1.000,      5.120,    260.711,   1335.541,      1.335
21_37_14_261658_humidity                          ,      0.999,      5.120,    259.782,   1332.626,      1.332
21_37_22_284509_humidity                          ,      1.000,      5.120,    260.268,   1332.388,      1.332
21_37_30_303928_humidity                          ,      1.000,      5.120,    259.944,   1334.413,      1.334
21_37_38_320674_humidity                          ,      1.000,      5.119,    259.818,   1329.747,      1.329
21_37_46_340394_humidity                          ,      1.000,      5.120,    260.370,   1332.424,      1.332
21_37_54_359653_humidity                          ,      1.000,      5.120,    259.866,   1331.991,      1.331
21_14_01_981571_humidity_js                       ,      1.000,      5.121,    260.893,   1333.765,      1.324
21_14_02_869198_humidity_js                       ,      1.000,      5.120,    260.382,   1334.501,      1.322
21_14_03_758358_humidity_js                       ,      1.000,      5.121,    262.232,   1342.860,      1.339
21_14_04_646845_humidity_js                       ,      1.000,      5.121,    260.245,   1343.266,      1.317
21_14_05_533822_humidity_js                       ,      1.000,      5.121,    259.589,   1333.902,      1.321
21_14_06_423242_humidity_js                       ,      1.000,      5.121,    260.186,   1339.690,      1.345
21_14_07_303718_humidity_js                       ,      1.000,      5.120,    262.881,   1341.968,      1.329
21_14_08_201463_humidity_js                       ,      1.000,      5.120,    260.578,   1335.366,      1.324
21_14_09_089373_humidity_js                       ,      1.000,      5.119,    262.195,   1343.669,      1.349
21_14_09_977741_humidity_js                       ,      1.000,      5.121,    259.930,   1333.277,      1.319
