Name,Length (s),Voltage (V),Current (mA),Power (mW), Energy consumption (Ws)
21_03_56_615286_LED_set_pixels_cpp_0              ,      4.010,      5.120,    260.682,   1333.779,      5.325
21_04_33_113367_LED_set_pixels_cpp_0              ,      4.010,      5.121,    260.596,   1333.203,      5.330
21_05_09_496649_LED_set_pixels_cpp_0              ,      4.010,      5.121,    260.662,   1335.000,      5.327
21_05_45_940146_LED_set_pixels_cpp_0              ,      4.010,      5.121,    260.573,   1334.950,      5.337
21_06_22_380912_LED_set_pixels_cpp_0              ,      4.010,      5.121,    261.450,   1335.491,      5.336
21_06_58_767216_LED_set_pixels_cpp_0              ,      4.010,      5.121,    260.748,   1335.471,      5.331
21_07_35_198359_LED_set_pixels_cpp_0              ,      4.010,      5.121,    260.799,   1334.812,      5.335
21_08_11_638985_LED_set_pixels_cpp_0              ,      4.010,      5.121,    260.423,   1334.993,      5.335
21_08_48_076577_LED_set_pixels_cpp_0              ,      4.010,      5.121,    261.548,   1337.207,      5.350
21_09_24_516673_LED_set_pixels_cpp_0              ,      4.010,      5.122,    260.464,   1333.972,      5.337
21_39_38_308670_LED_set_pixels_0                  ,      4.010,      5.120,    260.172,   1332.318,      5.342
21_40_34_464422_LED_set_pixels_0                  ,      4.010,      5.120,    260.404,   1332.563,      5.343
21_41_30_558281_LED_set_pixels_0                  ,      4.010,      5.119,    263.985,   1347.560,      5.403
21_42_26_719997_LED_set_pixels_0                  ,      4.010,      5.120,    260.121,   1332.005,      5.341
21_43_22_868807_LED_set_pixels_0                  ,      4.010,      5.120,    259.850,   1331.433,      5.339
21_44_19_022581_LED_set_pixels_0                  ,      4.010,      5.120,    260.193,   1331.643,      5.340
21_45_15_187528_LED_set_pixels_0                  ,      4.010,      5.120,    260.075,   1331.813,      5.340
21_46_11_339014_LED_set_pixels_0                  ,      4.010,      5.119,    260.058,   1332.552,      5.344
21_47_07_488946_LED_set_pixels_0                  ,      4.010,      5.120,    260.284,   1332.001,      5.342
21_48_03_642821_LED_set_pixels_0                  ,      4.010,      5.120,    260.335,   1333.261,      5.347
21_14_30_259266_LED_set_pixels_js_0               ,      4.010,      5.121,    266.187,   1359.582,      5.411
21_15_06_706800_LED_set_pixels_js_0               ,      4.010,      5.121,    260.477,   1335.281,      5.359
21_15_43_109662_LED_set_pixels_js_0               ,      4.010,      5.122,    260.547,   1333.787,      5.334
21_16_19_557126_LED_set_pixels_js_0               ,      4.010,      5.121,    260.327,   1334.277,      5.332
21_16_55_998834_LED_set_pixels_js_0               ,      4.010,      5.121,    260.199,   1333.647,      5.364
21_17_32_453701_LED_set_pixels_js_0               ,      4.010,      5.121,    260.608,   1331.999,      5.324
21_18_08_854497_LED_set_pixels_js_0               ,      4.010,      5.121,    260.305,   1334.078,      5.359
21_18_45_299784_LED_set_pixels_js_0               ,      4.010,      5.121,    260.484,   1334.096,      5.339
21_19_21_744324_LED_set_pixels_js_0               ,      4.010,      5.121,    260.571,   1332.828,      5.328
21_19_58_186128_LED_set_pixels_js_0               ,      4.010,      5.121,    260.197,   1333.572,      5.338
