Name,Length (s),Voltage (V),Current (mA),Power (mW), Energy consumption (Ws)
21_04_22_394023_LED_set_pixels_cpp_8              ,      3.073,      5.109,    304.955,   1577.183,      4.849
21_04_58_829277_LED_set_pixels_cpp_8              ,      3.062,      5.111,    306.619,   1581.179,      4.838
21_05_35_270967_LED_set_pixels_cpp_8              ,      3.050,      5.111,    307.216,   1578.677,      4.815
21_06_11_710037_LED_set_pixels_cpp_8              ,      3.036,      5.110,    305.273,   1582.639,      4.803
21_06_48_101512_LED_set_pixels_cpp_8              ,      3.072,      5.111,    304.499,   1577.111,      4.844
21_07_24_534714_LED_set_pixels_cpp_8              ,      3.075,      5.110,    304.388,   1577.757,      4.851
21_08_00_967542_LED_set_pixels_cpp_8              ,      3.062,      5.110,    305.718,   1573.679,      4.819
21_08_37_408254_LED_set_pixels_cpp_8              ,      3.050,      5.110,    309.088,   1575.751,      4.809
21_09_13_843595_LED_set_pixels_cpp_8              ,      3.044,      5.111,    305.748,   1567.023,      4.770
21_09_50_297037_LED_set_pixels_cpp_8              ,      3.018,      5.110,    306.920,   1563.628,      4.728
21_40_18_383417_LED_set_pixels_8                  ,      3.998,      5.109,    304.262,   1557.189,      6.227
21_41_14_534656_LED_set_pixels_8                  ,      4.002,      5.109,    305.067,   1552.571,      6.213
21_42_10_688040_LED_set_pixels_8                  ,      4.004,      5.109,    304.148,   1556.545,      6.234
21_43_06_849455_LED_set_pixels_8                  ,      3.999,      5.109,    304.428,   1554.738,      6.218
21_44_02_999221_LED_set_pixels_8                  ,      4.001,      5.109,    304.358,   1556.672,      6.229
21_44_59_152853_LED_set_pixels_8                  ,      4.000,      5.109,    305.987,   1556.305,      6.226
21_45_55_308113_LED_set_pixels_8                  ,      4.002,      5.109,    303.921,   1551.943,      6.212
21_46_51_467977_LED_set_pixels_8                  ,      4.005,      5.109,    304.600,   1561.578,      6.256
21_47_47_620634_LED_set_pixels_8                  ,      4.000,      5.109,    304.486,   1555.213,      6.223
21_48_43_769546_LED_set_pixels_8                  ,      4.002,      5.109,    304.085,   1558.617,      6.238
21_14_56_029943_LED_set_pixels_js_8               ,      3.046,      5.110,    305.334,   1575.389,      4.799
21_15_32_438952_LED_set_pixels_js_8               ,      3.069,      5.110,    305.094,   1569.572,      4.820
21_16_08_886469_LED_set_pixels_js_8               ,      3.056,      5.110,    308.993,   1556.959,      4.769
21_16_45_329704_LED_set_pixels_js_8               ,      3.049,      5.111,    305.538,   1575.353,      4.801
21_17_21_772882_LED_set_pixels_js_8               ,      3.038,      5.110,    306.598,   1572.131,      4.778
21_17_58_180182_LED_set_pixels_js_8               ,      3.071,      5.111,    305.794,   1572.823,      4.829
21_18_34_624117_LED_set_pixels_js_8               ,      3.057,      5.111,    308.576,   1560.309,      4.776
21_19_11_069881_LED_set_pixels_js_8               ,      3.045,      5.111,    304.562,   1584.128,      4.822
21_19_47_514360_LED_set_pixels_js_8               ,      3.039,      5.110,    306.985,   1554.434,      4.732
21_20_23_955010_LED_set_pixels_js_8               ,      3.042,      5.110,    304.819,   1572.459,      4.783
