Name,Length (s),Voltage (V),Current (mA),Power (mW), Energy consumption (Ws)
21_03_26_523793_pressure_cpp                      ,      0.995,      5.121,    261.068,   1335.504,      1.316
21_03_27_411139_pressure_cpp                      ,      0.995,      5.115,    267.354,   1389.303,      1.328
21_03_28_299764_pressure_cpp                      ,      0.995,      5.115,    268.507,   1391.729,      1.319
21_03_29_188642_pressure_cpp                      ,      0.995,      5.120,    259.651,   1331.516,      1.326
21_03_30_077169_pressure_cpp                      ,      0.995,      5.119,    260.565,   1333.998,      1.313
21_03_30_963944_pressure_cpp                      ,      0.995,      5.120,    259.970,   1338.226,      1.320
21_03_31_852912_pressure_cpp                      ,      0.995,      5.121,    263.050,   1339.746,      1.325
21_03_32_741392_pressure_cpp                      ,      0.995,      5.123,    260.668,   1335.419,      1.327
21_03_33_629161_pressure_cpp                      ,      0.995,      5.120,    260.465,   1334.279,      1.316
21_03_34_517898_pressure_cpp                      ,      0.995,      5.120,    259.834,   1333.304,      1.317
21_36_40_185702_pressure                          ,      0.994,      5.120,    260.311,   1331.834,      1.323
21_36_48_204787_pressure                          ,      0.994,      5.120,    260.113,   1331.588,      1.323
21_36_56_223003_pressure                          ,      0.994,      5.120,    260.184,   1331.234,      1.323
21_37_04_241771_pressure                          ,      0.994,      5.121,    260.116,   1331.662,      1.323
21_37_12_249163_pressure                          ,      0.994,      5.120,    259.746,   1330.603,      1.323
21_37_20_280417_pressure                          ,      0.995,      5.120,    259.824,   1328.986,      1.323
21_37_28_298817_pressure                          ,      0.994,      5.117,    274.828,   1388.364,      1.380
21_37_36_309081_pressure                          ,      0.995,      5.120,    260.118,   1333.742,      1.327
21_37_44_336017_pressure                          ,      0.994,      5.121,    260.029,   1330.638,      1.322
21_37_52_354492_pressure                          ,      0.994,      5.121,    260.069,   1330.775,      1.323
21_14_01_759205_pressure_js                       ,      0.995,      5.120,    260.971,   1344.368,      1.350
21_14_02_649115_pressure_js                       ,      0.995,      5.121,    259.602,   1330.200,      1.308
21_14_03_536537_pressure_js                       ,      0.995,      5.121,    259.464,   1328.675,      1.314
21_14_04_422720_pressure_js                       ,      0.995,      5.121,    260.327,   1330.089,      1.319
21_14_05_312008_pressure_js                       ,      0.995,      5.122,    259.176,   1339.490,      1.312
21_14_06_200427_pressure_js                       ,      0.995,      5.120,    261.063,   1346.053,      1.327
21_14_07_081757_pressure_js                       ,      0.995,      5.120,    259.896,   1338.116,      1.313
21_14_07_980116_pressure_js                       ,      0.995,      5.121,    260.270,   1330.817,      1.307
21_14_08_867545_pressure_js                       ,      0.995,      5.112,    298.630,   1541.242,      1.529
21_14_09_755248_pressure_js                       ,      0.995,      5.120,    259.828,   1331.486,      1.338
