Name,Length (s),Voltage (V),Current (mA),Power (mW), Energy consumption (Ws)
21_03_50_254183_LED_show_message_cpp              ,      5.021,      5.116,    278.335,   1427.009,      7.057
21_04_26_697161_LED_show_message_cpp              ,      5.021,      5.116,    280.729,   1426.987,      7.067
21_05_03_082361_LED_show_message_cpp              ,      5.021,      5.116,    278.729,   1423.297,      7.248
21_05_39_524179_LED_show_message_cpp              ,      5.021,      5.117,    278.403,   1425.383,      7.064
21_06_15_965291_LED_show_message_cpp              ,      5.021,      5.117,    276.940,   1427.419,      7.106
21_06_52_353654_LED_show_message_cpp              ,      5.021,      5.117,    279.631,   1420.792,      7.065
21_07_28_789597_LED_show_message_cpp              ,      5.021,      5.116,    278.966,   1439.904,      7.127
21_08_05_224943_LED_show_message_cpp              ,      5.021,      5.117,    279.269,   1426.528,      7.059
21_08_41_661277_LED_show_message_cpp              ,      5.021,      5.117,    279.601,   1415.701,      7.015
21_09_18_097316_LED_show_message_cpp              ,      5.021,      5.117,    276.638,   1429.239,      7.072
21_39_28_280213_LED_show_message                  ,      5.021,      5.117,    273.658,   1390.011,      6.979
21_40_24_448894_LED_show_message                  ,      5.021,      5.118,    268.440,   1378.763,      6.922
21_41_20_602706_LED_show_message                  ,      5.021,      5.118,    268.547,   1369.467,      6.876
21_42_16_756273_LED_show_message                  ,      5.021,      5.118,    268.110,   1373.005,      6.894
21_43_12_904692_LED_show_message                  ,      5.021,      5.118,    267.630,   1373.943,      6.899
21_44_09_065209_LED_show_message                  ,      5.021,      5.118,    267.104,   1374.528,      6.900
21_45_05_221283_LED_show_message                  ,      5.021,      5.118,    268.493,   1377.230,      6.914
21_46_01_286056_LED_show_message                  ,      5.021,      5.117,    266.308,   1372.889,      6.894
21_46_57_475835_LED_show_message                  ,      5.020,      5.118,    266.650,   1378.023,      6.918
21_47_53_628199_LED_show_message                  ,      5.021,      5.118,    268.590,   1384.419,      6.950
21_14_23_844829_LED_show_message_js               ,      5.021,      5.111,    308.115,   1582.611,      7.730
21_15_00_285549_LED_show_message_js               ,      5.021,      5.117,    279.241,   1424.146,      7.046
21_15_36_699552_LED_show_message_js               ,      5.021,      5.117,    278.952,   1417.199,      7.065
21_16_13_143293_LED_show_message_js               ,      5.021,      5.117,    278.523,   1422.659,      7.053
21_16_49_584621_LED_show_message_js               ,      5.021,      5.117,    277.898,   1418.928,      7.025
21_17_26_032620_LED_show_message_js               ,      5.021,      5.117,    276.112,   1427.007,      7.131
21_18_02_438060_LED_show_message_js               ,      5.021,      5.117,    279.282,   1428.910,      7.068
21_18_38_882360_LED_show_message_js               ,      5.021,      5.117,    277.426,   1428.716,      7.073
21_19_15_326305_LED_show_message_js               ,      5.021,      5.116,    279.396,   1424.670,      7.047
21_19_51_770297_LED_show_message_js               ,      5.021,      5.118,    279.363,   1427.757,      7.073
