Name,Length (s),Voltage (V),Current (mA),Power (mW), Energy consumption (Ws)
21_03_35_461318_query_record_sqlite3_cpp          ,      0.999,      5.118,    265.478,   1337.251,      1.324
21_03_35_940638_query_record_sqlite3_cpp          ,      0.999,      5.119,    262.247,   1344.242,      1.326
21_03_36_417088_query_record_sqlite3_cpp          ,      0.999,      5.119,    260.125,   1340.909,      1.319
21_03_36_893797_query_record_sqlite3_cpp          ,      0.999,      5.119,    259.552,   1330.266,      1.323
21_03_37_374051_query_record_sqlite3_cpp          ,      0.999,      5.119,    260.641,   1352.727,      1.327
21_03_37_849719_query_record_sqlite3_cpp          ,      0.999,      5.118,    260.527,   1344.545,      1.320
21_03_38_328155_query_record_sqlite3_cpp          ,      0.999,      5.119,    259.779,   1330.976,      1.319
21_03_38_806057_query_record_sqlite3_cpp          ,      0.999,      5.118,    263.856,   1366.076,      1.330
21_03_39_284274_query_record_sqlite3_cpp          ,      0.999,      5.119,    261.616,   1348.359,      1.325
21_03_39_770117_query_record_sqlite3_cpp          ,      0.999,      5.119,    261.628,   1351.752,      1.333
21_38_00_104152_query_record_sqlite3              ,      0.994,      5.120,    260.115,   1333.087,      1.325
21_38_04_179458_query_record_sqlite3              ,      0.996,      5.120,    260.245,   1332.152,      1.327
21_38_08_228558_query_record_sqlite3              ,      0.996,      5.120,    260.621,   1331.165,      1.326
21_38_12_283126_query_record_sqlite3              ,      0.999,      5.120,    260.070,   1332.121,      1.331
21_38_16_349339_query_record_sqlite3              ,      0.994,      5.120,    259.718,   1333.482,      1.325
21_38_20_398807_query_record_sqlite3              ,      0.999,      5.120,    260.274,   1332.238,      1.331
21_38_24_444141_query_record_sqlite3              ,      0.998,      5.120,    260.027,   1333.407,      1.331
21_38_28_499107_query_record_sqlite3              ,      0.993,      5.117,    271.839,   1396.349,      1.387
21_38_32_551607_query_record_sqlite3              ,      0.996,      5.120,    259.969,   1331.566,      1.326
21_38_36_603902_query_record_sqlite3              ,      0.995,      5.120,    259.661,   1331.463,      1.325
21_14_10_519955_query_record_sqlite3_js           ,      0.999,      5.121,    260.587,   1345.599,      1.320
21_14_11_046970_query_record_sqlite3_js           ,      0.999,      5.122,    260.039,   1348.717,      1.354
21_14_11_534225_query_record_sqlite3_js           ,      0.999,      5.121,    262.935,   1334.974,      1.327
21_14_12_006763_query_record_sqlite3_js           ,      0.999,      5.121,    262.052,   1339.867,      1.345
21_14_12_482045_query_record_sqlite3_js           ,      0.999,      5.121,    263.335,   1350.577,      1.329
21_14_12_956755_query_record_sqlite3_js           ,      0.999,      5.120,    261.970,   1327.251,      1.320
21_14_13_431907_query_record_sqlite3_js           ,      0.999,      5.120,    263.888,   1333.902,      1.323
21_14_13_906242_query_record_sqlite3_js           ,      0.999,      5.121,    262.909,   1348.847,      1.320
21_14_14_381751_query_record_sqlite3_js           ,      0.999,      5.121,    262.299,   1329.056,      1.319
21_14_14_855758_query_record_sqlite3_js           ,      0.999,      5.123,    262.095,   1339.246,      1.367
