Name,Length (s),Voltage (V),Current (mA),Power (mW), Energy consumption (Ws)
21_03_35_256368_save_record_sqlite3_cpp           ,      2.365,      5.113,    285.691,   1469.382,      3.194
21_03_35_718849_save_record_sqlite3_cpp           ,      2.365,      5.117,    268.076,   1386.375,      3.353
21_03_36_196598_save_record_sqlite3_cpp           ,      2.365,      5.118,    270.185,   1389.420,      3.243
21_03_36_673399_save_record_sqlite3_cpp           ,      2.365,      5.115,    270.234,   1390.488,      3.481
21_03_37_153171_save_record_sqlite3_cpp           ,      2.365,      5.118,    268.494,   1386.543,      3.145
21_03_37_629136_save_record_sqlite3_cpp           ,      2.365,      5.118,    269.855,   1385.366,      3.141
21_03_38_107405_save_record_sqlite3_cpp           ,      2.365,      5.118,    269.580,   1384.491,      3.156
21_03_38_586300_save_record_sqlite3_cpp           ,      2.365,      5.118,    267.515,   1387.755,      3.171
21_03_39_063135_save_record_sqlite3_cpp           ,      2.365,      5.118,    271.257,   1391.287,      3.127
21_03_39_550336_save_record_sqlite3_cpp           ,      2.365,      5.117,    268.462,   1382.797,      3.150
21_37_58_173216_save_record_sqlite3               ,      2.365,      5.113,    289.131,   1481.753,      3.505
21_38_02_178335_save_record_sqlite3               ,      2.365,      5.119,    262.347,   1342.692,      3.145
21_38_06_220004_save_record_sqlite3               ,      2.365,      5.120,    261.837,   1339.095,      3.152
21_38_10_279911_save_record_sqlite3               ,      2.365,      5.119,    261.299,   1338.587,      3.173
21_38_14_348967_save_record_sqlite3               ,      2.365,      5.120,    261.872,   1341.351,      3.145
21_38_18_396972_save_record_sqlite3               ,      2.365,      5.119,    261.858,   1342.698,      3.147
21_38_22_433696_save_record_sqlite3               ,      2.365,      5.120,    261.883,   1336.384,      3.160
21_38_26_496118_save_record_sqlite3               ,      2.365,      5.120,    261.736,   1337.064,      3.178
21_38_30_547745_save_record_sqlite3               ,      2.365,      5.119,    261.457,   1343.110,      3.414
21_38_34_601689_save_record_sqlite3               ,      2.365,      5.119,    261.808,   1339.040,      3.132
21_14_10_302049_save_record_sqlite3_js            ,      2.365,      5.118,    277.198,   1407.396,      3.183
21_14_10_829950_save_record_sqlite3_js            ,      2.365,      5.117,    275.705,   1407.167,      3.162
21_14_11_312176_save_record_sqlite3_js            ,      2.365,      5.120,    270.548,   1382.895,      3.133
21_14_11_786515_save_record_sqlite3_js            ,      2.365,      5.120,    268.339,   1369.286,      3.115
21_14_12_261539_save_record_sqlite3_js            ,      2.365,      5.117,    272.550,   1378.693,      3.162
21_14_12_736820_save_record_sqlite3_js            ,      2.365,      5.119,    271.904,   1370.104,      3.161
21_14_13_211057_save_record_sqlite3_js            ,      2.365,      5.117,    271.834,   1373.850,      3.118
21_14_13_686730_save_record_sqlite3_js            ,      2.365,      5.120,    272.436,   1379.092,      3.129
21_14_14_160349_save_record_sqlite3_js            ,      2.365,      5.119,    270.034,   1374.774,      3.134
21_14_14_635088_save_record_sqlite3_js            ,      2.365,      5.120,    272.369,   1369.983,      3.199
