Name,Length (s),Voltage (V),Current (mA),Power (mW), Energy consumption (Ws)
21_03_26_303836_temperature_from_humidity_cpp     ,      1.000,      5.114,    284.259,   1462.627,      1.501
21_03_27_192485_temperature_from_humidity_cpp     ,      1.000,      5.121,    260.589,   1340.421,      1.324
21_03_28_080063_temperature_from_humidity_cpp     ,      1.000,      5.115,    264.106,   1442.129,      1.341
21_03_28_968372_temperature_from_humidity_cpp     ,      1.000,      5.122,    259.474,   1336.829,      1.321
21_03_29_856482_temperature_from_humidity_cpp     ,      1.000,      5.121,    260.845,   1340.665,      1.351
21_03_30_745482_temperature_from_humidity_cpp     ,      1.000,      5.120,    260.348,   1331.286,      1.332
21_03_31_633706_temperature_from_humidity_cpp     ,      1.000,      5.121,    261.103,   1336.497,      1.323
21_03_32_521013_temperature_from_humidity_cpp     ,      1.000,      5.120,    260.948,   1331.663,      1.323
21_03_33_410215_temperature_from_humidity_cpp     ,      1.000,      5.121,    259.376,   1340.133,      1.326
21_03_34_298150_temperature_from_humidity_cpp     ,      1.000,      5.120,    260.423,   1347.561,      1.326
21_36_38_185539_temperature_from_humidity         ,      1.000,      5.120,    260.333,   1335.160,      1.336
21_36_46_204448_temperature_from_humidity         ,      1.000,      5.120,    260.548,   1332.952,      1.333
21_36_54_217284_temperature_from_humidity         ,      1.000,      5.121,    260.162,   1330.696,      1.331
21_37_02_241386_temperature_from_humidity         ,      1.000,      5.120,    259.594,   1330.253,      1.330
21_37_10_261186_temperature_from_humidity         ,      1.000,      5.120,    260.380,   1332.190,      1.332
21_37_18_279806_temperature_from_humidity         ,      1.000,      5.120,    260.110,   1332.583,      1.333
21_37_26_298568_temperature_from_humidity         ,      1.000,      5.120,    259.906,   1330.551,      1.331
21_37_34_317011_temperature_from_humidity         ,      1.000,      5.120,    261.185,   1337.068,      1.337
21_37_42_335931_temperature_from_humidity         ,      1.000,      5.120,    260.052,   1332.923,      1.333
21_37_50_354660_temperature_from_humidity         ,      1.000,      5.120,    259.950,   1330.696,      1.331
21_14_01_539799_temperature_from_humidity_js      ,      1.000,      5.115,    285.432,   1453.060,      1.440
21_14_02_428336_temperature_from_humidity_js      ,      1.000,      5.121,    261.448,   1337.694,      1.357
21_14_03_316073_temperature_from_humidity_js      ,      1.000,      5.122,    261.326,   1334.077,      1.321
21_14_04_206117_temperature_from_humidity_js      ,      1.000,      5.121,    263.146,   1344.457,      1.324
21_14_05_093879_temperature_from_humidity_js      ,      1.000,      5.120,    261.082,   1335.610,      1.340
21_14_05_981606_temperature_from_humidity_js      ,      1.000,      5.121,    261.238,   1332.151,      1.318
21_14_06_861140_temperature_from_humidity_js      ,      1.000,      5.120,    262.103,   1333.937,      1.314
21_14_07_759865_temperature_from_humidity_js      ,      1.000,      5.121,    260.927,   1330.798,      1.323
21_14_08_649180_temperature_from_humidity_js      ,      1.000,      5.112,    299.744,   1531.530,      1.481
21_14_09_536525_temperature_from_humidity_js      ,      1.000,      5.122,    260.295,   1337.206,      1.378
