Name,Length (s),Voltage (V),Current (mA),Power (mW), Energy consumption (Ws)
21_03_26_081830_temperature_from_pressure_cpp     ,      0.997,      5.114,    293.852,   1498.115,      1.447
21_03_26_969541_temperature_from_pressure_cpp     ,      0.997,      5.120,    260.416,   1337.007,      1.318
21_03_27_858657_temperature_from_pressure_cpp     ,      0.997,      5.114,    278.438,   1448.803,      1.358
21_03_28_746094_temperature_from_pressure_cpp     ,      0.997,      5.120,    261.977,   1337.561,      1.328
21_03_29_635085_temperature_from_pressure_cpp     ,      0.997,      5.120,    258.772,   1333.282,      1.317
21_03_30_523309_temperature_from_pressure_cpp     ,      0.997,      5.118,    260.481,   1333.031,      1.322
21_03_31_411841_temperature_from_pressure_cpp     ,      0.997,      5.120,    260.603,   1328.825,      1.316
21_03_32_299938_temperature_from_pressure_cpp     ,      0.997,      5.123,    259.360,   1329.002,      1.313
21_03_33_188180_temperature_from_pressure_cpp     ,      0.997,      5.121,    260.275,   1338.381,      1.338
21_03_34_075859_temperature_from_pressure_cpp     ,      0.997,      5.120,    259.776,   1332.860,      1.315
21_36_36_176559_temperature_from_pressure         ,      0.998,      5.115,    278.958,   1420.633,      1.417
21_36_44_199157_temperature_from_pressure         ,      0.997,      5.120,    259.711,   1331.024,      1.327
21_36_52_205670_temperature_from_pressure         ,      0.997,      5.120,    260.204,   1333.064,      1.330
21_37_00_236612_temperature_from_pressure         ,      0.997,      5.120,    260.595,   1334.251,      1.331
21_37_08_255343_temperature_from_pressure         ,      0.997,      5.120,    259.772,   1329.666,      1.326
21_37_16_272719_temperature_from_pressure         ,      0.997,      5.121,    260.159,   1333.561,      1.330
21_37_24_294058_temperature_from_pressure         ,      0.997,      5.120,    260.245,   1330.803,      1.327
21_37_32_312678_temperature_from_pressure         ,      0.997,      5.120,    260.483,   1331.289,      1.328
21_37_40_331507_temperature_from_pressure         ,      0.997,      5.120,    260.324,   1331.572,      1.328
21_37_48_349769_temperature_from_pressure         ,      0.997,      5.120,    259.950,   1333.333,      1.330
21_14_01_317768_temperature_from_pressure_js      ,      0.997,      5.114,    287.990,   1494.324,      1.469
21_14_02_206270_temperature_from_pressure_js      ,      0.997,      5.121,    259.651,   1331.508,      1.316
21_14_03_093595_temperature_from_pressure_js      ,      0.997,      5.121,    260.928,   1334.058,      1.332
21_14_03_983387_temperature_from_pressure_js      ,      0.997,      5.122,    259.810,   1330.488,      1.303
21_14_04_869400_temperature_from_pressure_js      ,      0.997,      5.121,    259.975,   1329.965,      1.314
21_14_05_761881_temperature_from_pressure_js      ,      0.997,      5.121,    260.811,   1330.820,      1.323
21_14_06_647728_temperature_from_pressure_js      ,      0.997,      5.120,    260.276,   1333.961,      1.327
21_14_07_536048_temperature_from_pressure_js      ,      0.997,      5.119,    259.828,   1331.173,      1.320
21_14_08_426937_temperature_from_pressure_js      ,      0.997,      5.122,    261.221,   1334.412,      1.317
21_14_09_314413_temperature_from_pressure_js      ,      0.997,      5.119,    260.222,   1331.153,      1.320
