Name,Length,Voltage,Current,Power
21_03_26_745307_humidity_cpp                      ,      0.097 s,      5.121 V,    259.318 mA,   1334.297 mW,      0.129 Ws
21_03_27_633150_humidity_cpp                      ,      0.098 s,      5.117 V,    271.032 mA,   1386.249 mW,      0.135 Ws
21_03_28_521277_humidity_cpp                      ,      0.097 s,      5.120 V,    260.676 mA,   1334.263 mW,      0.129 Ws
21_03_29_409997_humidity_cpp                      ,      0.098 s,      5.121 V,    259.870 mA,   1333.682 mW,      0.131 Ws
21_03_30_299150_humidity_cpp                      ,      0.101 s,      5.122 V,    261.108 mA,   1334.656 mW,      0.135 Ws
21_03_31_186748_humidity_cpp                      ,      0.102 s,      5.122 V,    260.330 mA,   1330.687 mW,      0.135 Ws
21_03_32_074382_humidity_cpp                      ,      0.099 s,      5.120 V,    262.013 mA,   1349.501 mW,      0.134 Ws
21_03_32_962834_humidity_cpp                      ,      0.099 s,      5.119 V,    261.326 mA,   1335.633 mW,      0.132 Ws
21_03_33_852020_humidity_cpp                      ,      0.101 s,      5.120 V,    262.303 mA,   1345.477 mW,      0.137 Ws
21_03_34_740291_humidity_cpp                      ,      0.102 s,      5.120 V,    262.099 mA,   1332.173 mW,      0.135 Ws
