Name,Length,Voltage,Current,Power
21_03_26_523793_pressure_cpp                      ,      0.101 s,      5.121 V,    261.249 mA,   1336.574 mW,      0.135 Ws
21_03_27_411139_pressure_cpp                      ,      0.099 s,      5.117 V,    267.812 mA,   1392.695 mW,      0.138 Ws
21_03_28_299764_pressure_cpp                      ,      0.097 s,      5.117 V,    269.080 mA,   1395.238 mW,      0.135 Ws
21_03_29_188642_pressure_cpp                      ,      0.102 s,      5.121 V,    259.786 mA,   1332.062 mW,      0.136 Ws
21_03_30_077169_pressure_cpp                      ,      0.101 s,      5.120 V,    260.756 mA,   1334.723 mW,      0.135 Ws
21_03_30_963944_pressure_cpp                      ,      0.098 s,      5.121 V,    260.142 mA,   1339.280 mW,      0.132 Ws
21_03_31_852912_pressure_cpp                      ,      0.102 s,      5.121 V,    263.239 mA,   1340.510 mW,      0.136 Ws
21_03_32_741392_pressure_cpp                      ,      0.101 s,      5.123 V,    260.877 mA,   1336.253 mW,      0.135 Ws
21_03_33_629161_pressure_cpp                      ,      0.099 s,      5.121 V,    260.627 mA,   1335.331 mW,      0.132 Ws
21_03_34_517898_pressure_cpp                      ,      0.098 s,      5.121 V,    260.022 mA,   1334.332 mW,      0.131 Ws
