Name,Length,Voltage,Current,Power
21_03_35_256368_save_record_sqlite3_cpp           ,      0.347 s,      5.114 V,    286.052 mA,   1471.382 mW,      0.511 Ws
21_03_35_718849_save_record_sqlite3_cpp           ,      0.131 s,      5.118 V,    268.490 mA,   1389.129 mW,      0.181 Ws
21_03_36_196598_save_record_sqlite3_cpp           ,      0.131 s,      5.118 V,    270.692 mA,   1392.369 mW,      0.182 Ws
21_03_36_673399_save_record_sqlite3_cpp           ,      0.127 s,      5.116 V,    270.722 mA,   1393.297 mW,      0.176 Ws
21_03_37_153171_save_record_sqlite3_cpp           ,      0.131 s,      5.118 V,    268.934 mA,   1389.164 mW,      0.182 Ws
21_03_37_629136_save_record_sqlite3_cpp           ,      0.126 s,      5.119 V,    270.325 mA,   1387.859 mW,      0.175 Ws
21_03_38_107405_save_record_sqlite3_cpp           ,      0.131 s,      5.119 V,    269.973 mA,   1386.725 mW,      0.182 Ws
21_03_38_586300_save_record_sqlite3_cpp           ,      0.131 s,      5.118 V,    267.921 mA,   1390.314 mW,      0.182 Ws
21_03_39_063135_save_record_sqlite3_cpp           ,      0.131 s,      5.118 V,    271.778 mA,   1393.902 mW,      0.182 Ws
21_03_39_550336_save_record_sqlite3_cpp           ,      0.137 s,      5.117 V,    268.871 mA,   1385.198 mW,      0.191 Ws
