Name,Length,Voltage,Current,Power
21_03_26_081830_temperature_from_pressure_cpp,0:00:00.098381,5.115,294.470,1500.952
21_03_26_303836_temperature_from_humidity_cpp,0:00:00.098290,5.114,284.448,1464.111
21_03_27_192485_temperature_from_humidity_cpp,0:00:00.096892,5.121,260.779,1341.661
21_03_28_080063_temperature_from_humidity_cpp,0:00:00.096855,5.117,264.480,1448.339
21_03_28_968372_temperature_from_humidity_cpp,0:00:00.098397,5.122,259.664,1338.072
21_03_29_856482_temperature_from_humidity_cpp,0:00:00.096622,5.121,261.058,1341.835
21_03_30_745482_temperature_from_humidity_cpp,0:00:00.096696,5.120,260.547,1332.265
21_03_31_633706_temperature_from_humidity_cpp,0:00:00.096885,5.122,261.266,1337.956
21_03_32_521013_temperature_from_humidity_cpp,0:00:00.098395,5.120,261.194,1332.544
21_03_33_410215_temperature_from_humidity_cpp,0:00:00.096757,5.122,259.509,1341.301
21_03_34_298150_temperature_from_humidity_cpp,0:00:00.096798,5.120,260.606,1349.129
21_03_26_523793_pressure_cpp,0:00:00.101304,5.121,261.249,1336.574
21_03_27_411139_pressure_cpp,0:00:00.099185,5.117,267.812,1392.695
21_03_28_299764_pressure_cpp,0:00:00.096795,5.117,269.080,1395.238
21_03_29_188642_pressure_cpp,0:00:00.101845,5.121,259.786,1332.062
21_03_30_077169_pressure_cpp,0:00:00.101356,5.120,260.756,1334.723
21_03_30_963944_pressure_cpp,0:00:00.098449,5.121,260.142,1339.280
21_03_31_852912_pressure_cpp,0:00:00.101611,5.121,263.239,1340.510
21_03_33_629161_pressure_cpp,0:00:00.099162,5.121,260.627,1335.331
21_03_34_517898_pressure_cpp,0:00:00.098397,5.121,260.022,1334.332
21_03_32_741392_pressure_cpp,0:00:00.101272,5.123,260.877,1336.253
21_03_26_969541_temperature_from_pressure_cpp,0:00:00.096815,5.120,260.551,1338.072
21_03_27_858657_temperature_from_pressure_cpp,0:00:00.098648,5.116,279.498,1455.192
21_03_28_746094_temperature_from_pressure_cpp,0:00:00.096755,5.120,262.096,1338.258
21_03_29_635085_temperature_from_pressure_cpp,0:00:00.096706,5.120,258.909,1334.402
21_03_30_523309_temperature_from_pressure_cpp,0:00:00.096152,5.119,260.701,1333.829
21_03_31_411841_temperature_from_pressure_cpp,0:00:00.098528,5.120,260.794,1329.617
