Name,Length,Voltage,Current,Power
21_14_01_317768_temperature_from_pressure_js,0:00:00.097915,5.115,288.201,1496.400
21_14_01_539799_temperature_from_humidity_js,0:00:00.097667,5.116,285.697,1454.286
21_14_01_759205_pressure_js,0:00:00.099776,5.120,261.132,1345.923
21_14_01_981571_humidity_js,0:00:00.102574,5.122,261.080,1334.634
21_14_02_206270_temperature_from_pressure_js,0:00:00.099663,5.122,259.755,1332.265
21_14_02_428336_temperature_from_humidity_js,0:00:00.098415,5.121,261.651,1339.048
21_14_02_649115_pressure_js,0:00:00.097782,5.121,259.736,1331.312
21_14_02_869198_humidity_js,0:00:00.097699,5.121,260.574,1335.470
21_14_03_093595_temperature_from_pressure_js,0:00:00.097777,5.121,261.150,1334.797
21_14_03_316073_temperature_from_humidity_js,0:00:00.094945,5.122,261.563,1335.000
21_14_03_536537_pressure_js,0:00:00.102511,5.122,259.601,1329.424
21_14_03_758358_humidity_js,0:00:00.099567,5.121,262.416,1343.694
21_14_03_983387_temperature_from_pressure_js,0:00:00.098468,5.122,259.964,1331.777
21_14_04_206117_temperature_from_humidity_js,0:00:00.097923,5.121,263.411,1345.645
21_14_04_422720_pressure_js,0:00:00.097765,5.122,260.505,1330.778
21_14_04_646845_humidity_js,0:00:00.102758,5.122,260.443,1344.679
21_14_04_869400_temperature_from_pressure_js,0:00:00.094882,5.122,260.140,1331.098
21_14_05_093879_temperature_from_humidity_js,0:00:00.097891,5.120,261.316,1336.492
21_14_05_312008_pressure_js,0:00:00.099634,5.122,259.295,1340.604
21_14_05_533822_humidity_js,0:00:00.097687,5.122,259.770,1334.890
21_14_05_761881_temperature_from_pressure_js,0:00:00.097843,5.121,261.003,1331.614
21_14_05_981606_temperature_from_humidity_js,0:00:00.097809,5.122,261.480,1332.915
21_14_06_200427_pressure_js,0:00:00.097451,5.121,261.229,1347.573
21_14_06_423242_humidity_js,0:00:00.099889,5.122,260.334,1340.999
21_14_06_647728_temperature_from_pressure_js,0:00:00.092876,5.120,260.472,1334.951
21_14_06_861140_temperature_from_humidity_js,0:00:00.100847,5.120,262.248,1334.833
21_14_07_081757_pressure_js,0:00:00.103554,5.120,260.022,1338.972
21_14_07_303718_humidity_js,0:00:00.104631,5.120,263.039,1342.648
21_14_07_536048_temperature_from_pressure_js,0:00:00.092765,5.119,260.045,1331.951
21_14_07_759865_temperature_from_humidity_js,0:00:00.098789,5.122,261.205,1331.754
21_14_07_980116_pressure_js,0:00:00.101688,5.121,260.448,1331.663
21_14_08_201463_humidity_js,0:00:00.098624,5.121,260.787,1336.307
21_14_08_426937_temperature_from_pressure_js,0:00:00.097279,5.122,261.480,1335.540
