Name,Length,Voltage,Current,Power
21_36_36_176559_temperature_from_pressure,0:00:00.997545,5.115,278.958,1420.633
21_36_38_185539_temperature_from_humidity,0:00:01.000211,5.120,260.333,1335.160
21_36_40_185702_pressure,0:00:00.993658,5.120,260.311,1331.834
21_36_42_193022_humidity,0:00:00.999766,5.120,260.608,1333.318
21_36_44_199157_temperature_from_pressure,0:00:00.994523,5.120,259.731,1331.150
21_36_46_204448_temperature_from_humidity,0:00:00.995316,5.120,260.574,1333.085
21_36_48_204787_pressure,0:00:00.993696,5.120,260.113,1331.588
21_36_50_209326_humidity,0:00:00.994474,5.121,260.214,1332.250
21_36_52_205670_temperature_from_pressure,0:00:00.995780,5.120,260.228,1333.192
21_36_54_217284_temperature_from_humidity,0:00:00.993708,5.121,260.190,1330.813
21_36_56_223003_pressure,0:00:00.993893,5.120,260.184,1331.234
21_36_58_227861_humidity,0:00:00.993797,5.121,260.221,1332.881
21_37_00_236612_temperature_from_pressure,0:00:00.993548,5.120,260.622,1334.405
21_37_02_241386_temperature_from_humidity,0:00:00.994707,5.120,259.616,1330.368
21_37_04_241771_pressure,0:00:00.993580,5.121,260.116,1331.662
21_37_06_248984_humidity,0:00:00.999836,5.120,260.711,1335.541
21_37_08_255343_temperature_from_pressure,0:00:00.994994,5.120,259.794,1329.782
21_37_10_261186_temperature_from_humidity,0:00:00.994217,5.120,260.407,1332.334
21_37_12_249163_pressure,0:00:00.994159,5.120,259.746,1330.603
21_37_14_261658_humidity,0:00:00.999406,5.120,259.782,1332.626
21_37_16_272719_temperature_from_pressure,0:00:00.994124,5.121,260.184,1333.692
21_37_18_279806_temperature_from_humidity,0:00:00.994404,5.120,260.138,1332.721
21_37_20_280417_pressure,0:00:00.995122,5.120,259.824,1328.986
21_37_22_284509_humidity,0:00:00.993492,5.120,260.293,1332.525
21_37_24_294058_temperature_from_pressure,0:00:00.991600,5.120,260.269,1330.929
21_37_26_298568_temperature_from_humidity,0:00:00.995917,5.120,259.934,1330.674
21_37_28_298817_pressure,0:00:00.993762,5.117,274.828,1388.364
21_37_30_303928_humidity,0:00:00.994086,5.120,259.968,1334.548
