TimeStamp, Voltage (V), Current (mA), Power (mW)
0:00:00.002871,5.088,258.976,1318.537
0:00:00.022503,5.096,259.976,1319.512
0:00:00.041929,5.092,259.073,1319.512
0:00:00.061279,5.092,259.073,1329.268
0:00:00.080624,5.092,259.073,1319.512
0:00:00.100060,5.092,258.878,1318.537
0:00:00.119418,5.092,259.073,1318.049
0:00:00.138781,5.092,259.268,1319.512
0:00:00.158110,5.092,258.878,1325.854
0:00:00.177533,5.092,258.878,1346.829
0:00:00.196881,5.092,265.366,1366.829
0:00:00.216213,5.092,267.171,1318.049
0:00:00.235557,5.088,258.976,1319.512
0:00:00.254970,5.092,258.976,1379.512
0:00:00.274604,5.092,259.171,1318.537
0:00:00.293982,5.088,259.073,1327.317
0:00:00.313368,5.092,259.171,1318.537
0:00:00.332758,5.092,258.585,1321.951
0:00:00.352198,5.092,259.073,1320.488
0:00:00.371621,5.092,260.683,1334.634
0:00:00.391049,5.096,258.976,1318.537
0:00:00.410385,5.092,259.171,1318.049
0:00:00.429760,5.092,258.976,1326.829
0:00:00.449207,5.092,262.976,1366.829
0:00:00.468560,5.092,268.171,1328.293
0:00:00.487904,5.088,259.073,1319.512
0:00:00.507231,5.092,259.073,1320.976
0:00:00.526569,5.092,258.976,1319.512
0:00:00.545929,5.092,259.073,1318.537
0:00:00.565260,5.088,259.171,1324.390
0:00:00.584610,5.092,259.171,1318.537
0:00:00.603976,5.092,259.171,1318.537
0:00:00.623313,5.092,258.878,1318.537
0:00:00.642676,5.092,259.073,1318.049
0:00:00.661997,5.092,258.878,1320.488
0:00:00.681353,5.092,259.073,1318.537
0:00:00.700784,5.088,258.878,1351.707
0:00:00.720135,5.092,268.171,1345.854
0:00:00.739491,5.092,263.366,1318.537
0:00:00.758813,5.092,259.268,1318.537
0:00:00.778151,5.092,258.976,1321.951
0:00:00.797475,5.092,258.878,1321.951
0:00:00.816808,5.092,258.878,1319.512
0:00:00.837973,5.092,260.683,1319.512
0:00:00.857329,5.092,259.073,1320.488
0:00:00.876667,5.092,258.878,1319.512
0:00:00.895983,5.092,259.171,1319.512
0:00:00.915310,5.092,258.976,1320.488
0:00:00.934642,5.096,262.780,1364.878
0:00:00.953999,5.096,268.268,1325.854
0:00:00.973329,5.088,258.976,1325.854
0:00:00.992652,5.092,300.780,1530.732
0:00:01.011988,5.076,301.171,1523.415
0:00:01.031359,5.080,295.878,1504.390
0:00:01.050827,5.076,294.171,1525.854
0:00:01.070173,5.080,293.976,1492.195
0:00:01.089522,5.076,296.268,1493.659
0:00:01.108863,5.052,369.268,1869.268
0:00:01.128302,5.048,367.366,1886.829
0:00:01.147671,5.056,372.976,1862.439
0:00:01.166992,5.052,366.561,1885.366
0:00:01.186324,5.028,366.171,1884.390
0:00:01.205663,5.056,376.171,1875.610
0:00:01.225003,5.052,367.854,1844.390
0:00:01.244372,5.048,367.756,1845.366
0:00:01.263696,5.052,364.366,1873.171
0:00:01.283039,5.056,364.073,1840.488
0:00:01.302366,5.056,363.976,1839.024
0:00:01.321824,5.056,364.073,1841.463
0:00:01.341198,5.052,363.366,1875.610
0:00:01.360523,5.052,363.756,1837.561
0:00:01.379960,5.052,364.659,1839.024
0:00:01.399338,5.056,365.073,1839.024
0:00:01.418677,5.056,371.561,1839.024
0:00:01.438031,5.052,363.976,1880.488
0:00:01.457377,5.052,369.268,1917.561
0:00:01.476728,5.052,371.561,1840.000
0:00:01.496058,5.048,364.463,1871.707
0:00:01.515392,5.052,364.756,1838.049
0:00:01.534721,5.052,364.561,1872.683
0:00:01.554070,5.056,362.659,1858.049
0:00:01.573398,5.052,363.561,1837.561
0:00:01.592739,5.052,362.756,1829.268
0:00:01.612074,5.056,370.854,1842.439
0:00:01.631425,5.056,364.366,1843.902
0:00:01.650876,5.052,364.561,1875.610
0:00:01.670226,5.052,364.268,1827.805
