TimeStamp, Voltage (V), Current (mA), Power (mW)
0:00:00.000253,5.084,283.683,1442.439
0:00:00.019830,5.084,283.780,1441.951
0:00:00.039215,5.084,283.561,1454.634
0:00:00.058645,5.084,287.171,1491.220
0:00:00.078007,5.080,292.780,1454.634
0:00:00.097390,5.080,285.366,1447.317
0:00:00.116857,5.084,283.561,1441.951
0:00:00.136271,5.084,283.683,1440.000
0:00:00.155773,5.084,283.878,1439.512
0:00:00.175129,5.084,283.268,1454.634
0:00:00.194507,5.084,283.463,1440.976
0:00:00.213953,5.084,283.780,1440.000
0:00:00.233324,5.084,283.561,1440.000
0:00:00.252698,5.080,283.561,1441.951
0:00:00.272044,5.084,283.366,1442.439
0:00:00.291421,5.084,283.683,1473.659
0:00:00.310888,5.080,289.878,1491.220
0:00:00.330293,5.084,289.268,1440.976
0:00:00.349727,5.080,283.366,1440.976
0:00:00.369092,5.080,283.268,1440.976
0:00:00.388467,5.084,283.463,1441.951
0:00:00.407823,5.084,290.683,1441.951
0:00:00.427205,5.084,283.268,1440.976
0:00:00.446581,5.080,283.683,1440.976
0:00:00.465939,5.080,283.366,1440.976
0:00:00.485316,5.084,283.366,1440.976
0:00:00.504880,5.084,283.268,1452.195
0:00:00.524276,5.080,283.366,1440.976
0:00:00.543668,5.084,283.561,1459.512
0:00:00.563179,5.084,288.683,1485.854
0:00:00.582725,5.080,283.268,1453.171
0:00:00.602582,5.080,283.463,1442.439
0:00:00.621994,5.084,283.463,1440.976
0:00:00.641391,5.092,259.268,1319.512
0:00:00.660819,5.092,259.683,1320.488
0:00:00.680188,5.092,260.366,1319.512
0:00:00.699874,5.092,259.268,1319.512
0:00:00.719271,5.092,266.463,1328.293
0:00:00.738725,5.092,259.171,1319.512
0:00:00.758231,5.092,259.366,1320.976
0:00:00.777601,5.092,259.073,1348.293
0:00:00.797026,5.092,265.878,1357.073
0:00:00.816492,5.088,265.366,1320.488
0:00:00.835875,5.088,259.585,1320.976
0:00:00.855278,5.080,259.366,1329.268
0:00:00.874732,5.092,259.268,1321.951
0:00:00.894139,5.092,259.268,1320.488
0:00:00.913636,5.092,259.463,1323.415
0:00:00.933093,5.096,259.268,1325.854
0:00:00.954495,5.092,259.073,1320.488
0:00:00.973995,5.092,259.366,1320.488
0:00:00.993392,5.096,278.780,1319.512
0:00:01.012746,5.092,266.268,1368.293
0:00:01.032176,5.092,268.463,1337.073
0:00:01.051621,5.088,259.171,1320.488
0:00:01.070996,5.092,259.171,1328.293
0:00:01.090386,5.092,259.463,1320.488
0:00:01.109856,5.092,259.268,1321.951
0:00:01.129246,5.092,259.463,1319.512
0:00:01.148678,5.092,259.268,1320.488
0:00:01.168050,5.092,259.268,1319.512
0:00:01.187417,5.096,259.366,1320.976
0:00:01.206879,5.088,259.268,1325.854
0:00:01.226696,5.092,259.171,1320.488
0:00:01.246135,5.092,259.366,1353.659
0:00:01.265679,5.092,264.366,1319.512
0:00:01.285098,5.088,259.268,1319.512
0:00:01.304686,5.092,258.976,1321.951
0:00:01.324144,5.092,259.171,1324.390
0:00:01.343555,5.088,259.366,1327.317
0:00:01.363081,5.092,259.171,1320.488
0:00:01.382466,5.092,259.171,1321.951
0:00:01.401851,5.092,259.366,1319.512
0:00:01.421202,5.092,259.268,1320.976
0:00:01.440595,5.092,259.366,1319.512
0:00:01.459964,5.092,258.780,1318.537
0:00:01.479333,5.092,258.463,1323.415
0:00:01.498717,5.092,261.366,1370.732
0:00:01.518194,5.092,268.683,1334.634
0:00:01.537616,5.088,259.463,1321.951
0:00:01.557040,5.092,259.268,1320.488
0:00:01.576613,5.096,259.366,1318.537
0:00:01.596005,5.092,259.463,1319.512
0:00:01.615360,5.096,259.073,1340.488
0:00:01.634841,5.088,260.878,1319.512
0:00:01.654329,5.092,259.268,1321.951
0:00:01.674132,5.092,258.976,1320.488
0:00:01.693566,5.092,259.366,1318.537
0:00:01.713213,5.092,259.268,1346.829
0:00:01.732627,5.092,265.976,1364.878
0:00:01.752104,5.088,268.780,1320.488
0:00:01.771473,5.088,259.268,1319.512
0:00:01.790856,5.088,259.268,1319.512
0:00:01.810219,5.088,259.073,1320.488
0:00:01.829608,5.088,259.171,1321.951
0:00:01.849047,5.092,259.171,1319.512
0:00:01.868402,5.092,259.073,1319.512
0:00:01.889498,5.092,259.463,1319.512
0:00:01.909005,5.092,259.171,1319.512
0:00:01.928441,5.092,259.171,1320.488
