TimeStamp, Voltage (V), Current (mA), Power (mW)
0:00:00.000242,5.112,284.780,1475.122
0:00:00.005298,5.120,287.659,1462.439
0:00:00.010129,5.124,285.951,1475.122
0:00:00.014948,5.116,299.366,1449.756
0:00:00.019761,5.120,287.463,1465.366
0:00:00.024576,5.120,286.585,1449.756
0:00:00.029390,5.116,288.293,1454.634
0:00:00.034206,5.112,285.561,1447.805
0:00:00.039015,5.116,287.854,1457.561
0:00:00.043835,5.120,282.878,1444.878
0:00:00.048649,5.120,285.951,1469.268
0:00:00.053460,5.120,284.585,1446.829
0:00:00.058472,5.116,287.659,1465.366
0:00:00.063426,5.120,287.073,1480.000
0:00:00.068728,5.116,297.366,1459.512
0:00:00.073565,5.108,286.195,1461.463
0:00:00.078388,5.108,283.561,1459.512
0:00:00.083297,5.120,284.195,1440.000
0:00:00.088116,5.120,285.366,1489.756
0:00:00.092943,5.116,281.268,1464.390
0:00:00.097773,5.120,287.463,1464.390
0:00:00.102609,5.124,284.585,1500.488
0:00:00.107428,5.116,286.195,1475.122
0:00:00.112328,5.120,287.854,1465.366
0:00:00.117155,5.116,287.659,1479.024
0:00:00.121980,5.116,297.366,1504.390
0:00:00.126811,5.116,285.756,1451.707
0:00:00.131700,5.120,287.268,1447.805
0:00:00.136514,5.120,283.561,1451.707
0:00:00.141332,5.116,294.488,1439.024
0:00:00.146150,5.116,283.756,1454.634
0:00:00.150979,5.120,282.488,1469.268
0:00:00.155827,5.120,282.878,1472.195
0:00:00.160739,5.120,284.976,1465.366
0:00:00.165567,5.116,289.463,1482.927
0:00:00.170398,5.120,284.976,1481.951
0:00:00.175222,5.116,288.878,1514.146
0:00:00.180117,5.120,284.585,1492.683
0:00:00.184919,5.112,287.463,1446.829
0:00:00.189715,5.116,283.756,1443.902
0:00:00.194584,5.120,294.293,1470.244
0:00:00.199404,5.112,283.366,1449.756
0:00:00.204230,5.124,283.951,1469.268
0:00:00.209049,5.120,281.854,1461.463
0:00:00.213874,5.116,286.195,1469.268
0:00:00.218702,5.120,282.878,1457.561
0:00:00.223524,5.120,285.366,1469.268
0:00:00.228348,5.120,287.463,1474.146
0:00:00.233243,5.120,282.488,1457.561
0:00:00.239690,5.120,284.195,1439.024
0:00:00.244493,5.120,281.463,1452.683
0:00:00.249277,5.120,288.293,1469.268
0:00:00.254195,5.112,285.366,1482.927
0:00:00.259056,5.120,286.390,1467.317
0:00:00.263964,5.116,288.878,1447.805
0:00:00.268779,5.120,289.268,1462.439
0:00:00.273607,5.112,290.976,1456.585
0:00:00.278419,5.120,282.878,1446.829
0:00:00.283329,5.116,408.780,2202.927
0:00:00.288153,5.116,283.366,1475.122
0:00:00.292973,5.116,283.561,1470.244
0:00:00.297801,5.108,284.585,1451.707
0:00:00.302626,5.116,295.268,1474.146
0:00:00.307445,5.120,288.293,1469.268
0:00:00.312360,5.120,285.756,1472.195
0:00:00.317187,5.116,288.293,1459.512
0:00:00.322012,5.112,288.293,1469.268
0:00:00.326827,5.120,287.659,1459.512
0:00:00.331731,5.112,283.561,1439.024
0:00:00.336566,5.120,286.585,1515.122
0:00:00.342123,5.120,286.195,1447.805
0:00:00.347029,5.112,288.293,1454.634
0:00:00.351868,5.128,284.390,1444.878
0:00:00.356779,5.120,284.976,1474.146
0:00:00.361724,5.124,290.780,1465.366
0:00:00.366562,5.120,287.854,1472.195
0:00:00.371397,5.116,286.585,1446.829
0:00:00.376230,5.116,287.463,1496.585
0:00:00.381057,5.112,283.756,1451.707
0:00:00.385882,5.112,288.683,1456.585
0:00:00.390790,5.120,284.780,1502.439
0:00:00.395624,5.116,282.488,1456.585
0:00:00.400447,5.120,282.488,1446.829
0:00:00.405276,5.124,283.756,1470.244
0:00:00.410097,5.120,284.585,1496.585
0:00:00.414933,5.120,284.780,1470.244
0:00:00.419748,5.116,281.659,1464.390
0:00:00.424570,5.128,284.585,1469.268
0:00:00.429398,5.112,288.293,1457.561
0:00:00.434229,5.120,287.268,1472.195
0:00:00.439063,5.120,286.195,1456.585
