TimeStamp, Voltage (V), Current (mA), Power (mW)
0:00:00.000242,5.128,262.780,1329.756
0:00:00.005292,5.124,259.659,1329.756
0:00:00.010135,5.120,259.659,1347.317
0:00:00.014969,5.116,260.293,1328.780
0:00:00.019796,5.120,261.659,1337.561
0:00:00.024618,5.120,262.098,1395.122
0:00:00.029535,5.128,261.854,1336.585
0:00:00.034369,5.120,262.780,1334.634
0:00:00.039186,5.128,261.854,1323.902
0:00:00.044014,5.112,274.293,1331.707
0:00:00.048917,5.112,260.683,1336.585
0:00:00.053742,5.124,259.659,1331.707
0:00:00.058665,5.116,260.293,1336.585
0:00:00.063497,5.120,270.195,1341.463
0:00:00.068334,5.124,262.293,1346.341
0:00:00.073214,5.124,263.561,1347.317
0:00:00.078052,5.120,264.195,1416.585
0:00:00.082883,5.120,271.756,1331.707
0:00:00.087697,5.112,261.463,1341.463
0:00:00.092491,5.112,298.780,1519.024
0:00:00.097315,5.120,298.976,1587.317
0:00:00.102149,5.112,297.951,1512.195
0:00:00.107064,5.112,296.683,1512.195
0:00:00.111904,5.120,294.049,1526.829
0:00:00.116735,5.112,305.366,1519.024
0:00:00.121561,5.116,297.756,1524.878
0:00:00.126400,5.112,296.049,1524.878
0:00:00.131221,5.120,296.293,1529.756
0:00:00.136054,5.112,296.878,1521.951
0:00:00.140880,5.116,296.878,1531.707
0:00:00.145712,5.116,298.195,1527.805
0:00:00.150541,5.108,298.976,1580.488
0:00:00.155369,5.108,298.780,1520.000
0:00:00.160224,5.120,295.073,1607.805
0:00:00.165052,5.108,300.683,1537.561
0:00:00.169884,5.120,301.073,1575.610
0:00:00.174708,5.120,302.293,1554.146
0:00:00.179619,5.120,299.951,1550.244
0:00:00.184452,5.112,378.244,1550.244
0:00:00.189275,5.112,263.171,1324.878
0:00:00.194096,5.120,261.073,1341.463
