TimeStamp, Voltage (V), Current (mA), Power (mW)
0:00:00.000242,5.120,272.195,1387.317
0:00:00.005375,5.128,258.780,1332.683
0:00:00.010174,5.128,260.683,1337.561
0:00:00.014968,5.128,263.561,1331.707
0:00:00.019791,5.120,269.268,1334.634
0:00:00.024686,5.124,259.171,1329.756
0:00:00.029513,5.120,260.878,1349.268
0:00:00.034413,5.120,263.366,1397.073
0:00:00.039244,5.120,262.293,1352.195
0:00:00.044071,5.128,264.780,1347.317
0:00:00.048894,5.124,261.854,1350.244
0:00:00.053713,5.120,262.488,1414.634
0:00:00.058623,5.120,259.171,1329.756
0:00:00.063448,5.120,263.366,1332.683
0:00:00.068272,5.128,258.780,1324.878
0:00:00.073097,5.120,271.366,1344.390
0:00:00.078009,5.128,258.195,1355.122
0:00:00.082833,5.128,260.293,1347.317
0:00:00.087650,5.124,259.171,1347.317
0:00:00.092477,5.108,310.780,1595.122
0:00:00.097280,5.112,298.390,1550.244
0:00:00.103864,5.112,302.488,1552.195
0:00:00.108832,5.116,312.146,1540.488
0:00:00.113656,5.112,302.293,1552.195
0:00:00.118476,5.104,303.951,1580.488
0:00:00.123296,5.116,261.659,1347.317
0:00:00.128121,5.120,260.683,1319.024
