TimeStamp, Voltage (V), Current (mA), Power (mW)
0:00:00.000241,5.120,291.756,1462.439
0:00:00.005366,5.116,286.585,1521.951
0:00:00.010305,5.112,284.585,1462.439
0:00:00.015163,5.112,287.854,1477.073
0:00:00.020021,5.120,284.195,1470.244
0:00:00.024890,5.112,298.780,1532.683
0:00:00.029763,5.120,288.878,1469.268
0:00:00.034614,5.120,290.390,1472.195
0:00:00.039688,5.120,287.463,1482.927
0:00:00.044598,5.120,292.780,1467.317
0:00:00.049539,5.124,287.268,1469.268
0:00:00.054405,5.124,285.951,1456.585
0:00:00.059263,5.124,286.585,1519.024
0:00:00.064152,5.112,289.463,1481.951
0:00:00.069052,5.116,286.195,1446.829
0:00:00.073936,5.112,287.463,1456.585
0:00:00.078876,5.120,292.585,1474.146
0:00:00.083763,5.124,283.951,1477.073
0:00:00.088630,5.120,283.366,1461.463
0:00:00.093496,5.112,285.366,1510.244
0:00:00.098390,5.116,297.756,1451.707
0:00:00.103252,5.116,284.585,1462.439
0:00:00.108113,5.112,290.585,1470.244
0:00:00.113191,5.120,286.195,1452.683
0:00:00.118116,5.124,284.976,1462.439
0:00:00.123114,5.112,282.488,1464.390
0:00:00.127977,5.116,287.463,1459.512
0:00:00.132960,5.120,296.049,1491.707
0:00:00.137829,5.120,286.195,1449.756
0:00:00.142680,5.112,282.293,1441.951
0:00:00.147539,5.120,282.488,1459.512
0:00:00.152420,5.120,288.049,1529.756
0:00:00.157281,5.124,287.463,1509.268
0:00:00.162276,5.116,282.878,1449.756
0:00:00.167146,5.120,283.561,1449.756
0:00:00.172099,5.120,284.585,1462.439
0:00:00.176977,5.112,287.659,1464.390
0:00:00.181838,5.116,284.585,1449.756
0:00:00.186684,5.116,288.293,1492.683
0:00:00.191571,5.120,285.756,1449.756
0:00:00.196430,5.120,282.049,1462.439
0:00:00.201375,5.120,284.585,1454.634
0:00:00.206241,5.116,296.488,1456.585
0:00:00.211187,5.120,287.463,1454.634
0:00:00.216045,5.124,284.195,1446.829
0:00:00.220955,5.120,282.878,1456.585
0:00:00.225847,5.120,284.976,1474.146
0:00:00.230703,5.128,287.659,1451.707
0:00:00.235557,5.116,286.390,1487.805
0:00:00.242432,5.124,296.683,1440.000
0:00:00.247322,5.128,281.073,1470.244
0:00:00.252274,5.116,284.976,1456.585
0:00:00.257178,5.120,283.073,1452.683
0:00:00.262115,5.120,284.780,1443.902
0:00:00.266975,5.124,284.195,1446.829
0:00:00.271841,5.120,294.049,1462.439
0:00:00.276700,5.124,285.951,1527.805
0:00:00.281565,5.120,288.293,1456.585
0:00:00.286451,5.120,285.366,1443.902
0:00:00.291388,5.120,283.561,1440.000
0:00:00.296259,5.120,294.878,1464.390
0:00:00.301193,5.120,286.390,1475.122
0:00:00.306053,5.120,283.951,1456.585
0:00:00.310983,5.112,289.463,1441.951
0:00:00.315844,5.120,284.976,1454.634
0:00:00.320786,5.116,283.951,1467.317
0:00:00.325652,5.112,281.463,1456.585
0:00:00.330595,5.104,286.585,1500.488
0:00:00.335454,5.128,285.756,1452.683
0:00:00.340411,5.116,284.976,1470.244
0:00:00.345287,5.120,284.585,1470.244
0:00:00.350174,5.120,284.195,1446.829
0:00:00.355033,5.112,285.951,1475.122
0:00:00.359902,5.120,284.780,1449.756
0:00:00.364757,5.116,282.049,1443.902
0:00:00.369694,5.112,282.878,1461.463
0:00:00.374572,5.120,285.756,1475.122
0:00:00.379539,5.112,287.854,1459.512
0:00:00.384417,5.112,284.780,1499.512
0:00:00.389288,5.120,281.659,1443.902
0:00:00.394144,5.120,283.561,1457.561
0:00:00.399002,5.112,282.293,1452.683
0:00:00.403886,5.112,296.683,1475.122
0:00:00.408769,5.120,285.171,1443.902
0:00:00.413696,5.120,286.390,1465.366
0:00:00.418552,5.120,284.390,1446.829
0:00:00.423410,5.120,281.463,1457.561
0:00:00.428275,5.128,281.463,1477.073
0:00:00.433135,5.120,283.073,1461.463
0:00:00.438000,5.120,283.366,1499.512
0:00:00.443026,5.124,283.756,1444.878
0:00:00.447894,5.120,285.756,1470.244
0:00:00.452770,5.112,279.366,1470.244
0:00:00.457630,5.112,295.854,1469.268
0:00:00.462483,5.120,287.463,1462.439
0:00:00.467328,5.120,282.878,1437.073
0:00:00.472298,5.128,288.293,1489.756
0:00:00.478998,5.112,284.195,1456.585
0:00:00.483892,5.116,283.756,1469.268
0:00:00.488751,5.112,282.878,1465.366
0:00:00.493634,5.124,295.463,1472.195
0:00:00.498501,5.120,289.659,1457.561
0:00:00.503358,5.120,282.049,1435.122
0:00:00.508259,5.124,280.683,1449.756
0:00:00.513129,5.120,283.366,1462.439
0:00:00.517985,5.112,286.195,1462.439
0:00:00.523008,5.128,286.195,1449.756
0:00:00.527882,5.112,284.195,1441.951
0:00:00.532760,5.120,281.659,1452.683
0:00:00.537663,5.120,284.585,1467.317
0:00:00.542526,5.120,284.195,1464.390
0:00:00.547384,5.116,294.049,1443.902
0:00:00.552318,5.124,284.780,1452.683
0:00:00.557176,5.120,283.951,1475.122
0:00:00.562109,5.116,282.293,1461.463
0:00:00.566970,5.116,293.659,1461.463
0:00:00.571874,5.120,287.463,1457.561
0:00:00.576753,5.112,284.976,1439.024
0:00:00.581620,5.120,281.463,1452.683
0:00:00.586482,5.120,282.049,1454.634
0:00:00.591407,5.120,284.976,1475.122
0:00:00.596272,5.120,287.268,1454.634
0:00:00.601245,5.120,288.293,1492.683
0:00:00.606103,5.112,285.561,1449.756
0:00:00.610964,5.120,283.073,1439.024
0:00:00.615825,5.120,280.293,1452.683
0:00:00.620730,5.120,286.195,1469.268
0:00:00.625591,5.120,285.366,1443.902
0:00:00.630573,5.112,284.390,1435.122
0:00:00.635428,5.124,282.683,1514.146
0:00:00.640363,5.116,284.195,1462.439
0:00:00.645229,5.120,285.561,1472.195
0:00:00.650075,5.120,286.195,1457.561
0:00:00.654933,5.116,305.171,1486.829
0:00:00.659799,5.116,281.854,1446.829
0:00:00.664768,5.124,281.463,1457.561
0:00:00.669725,5.120,286.585,1454.634
0:00:00.674591,5.108,291.171,1451.707
0:00:00.679517,5.128,283.073,1440.000
0:00:00.684384,5.120,282.049,1459.512
0:00:00.689250,5.124,285.366,1524.878
0:00:00.694144,5.120,284.976,1457.561
0:00:00.698998,5.116,286.195,1459.512
0:00:00.703858,5.120,283.366,1452.683
0:00:00.708715,5.128,282.049,1454.634
0:00:00.715243,5.116,283.756,1447.805
0:00:00.720457,5.112,286.195,1461.463
0:00:00.725389,5.124,286.195,1451.707
0:00:00.730342,5.120,287.073,1441.951
0:00:00.735207,5.116,284.195,1446.829
0:00:00.740063,5.112,282.683,1461.463
0:00:00.744917,5.120,295.268,1475.122
0:00:00.749777,5.112,283.366,1459.512
0:00:00.754633,5.124,289.659,1439.024
0:00:00.759624,5.112,282.488,1437.073
0:00:00.764503,5.112,294.488,1465.366
0:00:00.769373,5.120,281.854,1465.366
0:00:00.774239,5.120,283.756,1502.439
0:00:00.779107,5.120,285.951,1465.366
0:00:00.783960,5.116,285.756,1440.000
0:00:00.788929,5.124,282.488,1441.951
0:00:00.793805,5.128,281.463,1462.439
0:00:00.798667,5.112,284.585,1509.268
0:00:00.803532,5.116,282.878,1457.561
0:00:00.808393,5.120,282.683,1440.000
0:00:00.813342,5.116,286.195,1457.561
0:00:00.818245,5.120,294.049,1461.463
0:00:00.823153,5.120,283.756,1462.439
0:00:00.828013,5.116,285.366,1452.683
0:00:00.833019,5.120,281.268,1443.902
0:00:00.837892,5.116,281.268,1449.756
0:00:00.842779,5.120,285.951,1456.585
0:00:00.847684,5.120,285.561,1459.512
0:00:00.852548,5.112,284.195,1504.390
0:00:00.857411,5.120,287.659,1444.878
0:00:00.862286,5.120,284.195,1439.024
0:00:00.867143,5.120,281.073,1451.707
0:00:00.872085,5.120,284.780,1461.463
0:00:00.876959,5.120,297.561,1464.390
0:00:00.881859,5.112,285.171,1444.878
0:00:00.886728,5.120,281.659,1439.024
0:00:00.891598,5.112,284.195,1446.829
0:00:00.896448,5.112,282.878,1465.366
0:00:00.901390,5.112,283.951,1482.927
0:00:00.906255,5.120,286.878,1494.634
0:00:00.911224,5.120,282.049,1446.829
0:00:00.916095,5.120,283.756,1444.878
0:00:00.920963,5.116,281.073,1454.634
0:00:00.925816,5.116,295.268,1462.439
0:00:00.930682,5.112,285.171,1454.634
0:00:00.935533,5.120,285.366,1446.829
0:00:00.940528,5.120,281.073,1441.951
0:00:00.945397,5.116,287.073,1465.366
0:00:00.950256,5.112,287.854,1440.000
0:00:00.956833,5.120,283.756,1454.634
0:00:00.961713,5.116,292.390,1443.902
0:00:00.966559,5.112,283.366,1467.317
0:00:00.971454,5.120,286.585,1461.463
0:00:00.976368,5.120,284.585,1504.390
0:00:00.981306,5.108,282.878,1443.902
0:00:00.986155,5.112,257.561,1332.683
0:00:00.991012,5.124,303.268,1555.122
0:00:00.995868,5.116,301.073,1598.049
0:00:01.000732,5.124,304.390,1554.146
0:00:01.005638,5.120,304.780,1552.195
0:00:01.010589,5.112,301.854,1554.146
0:00:01.015467,5.116,300.195,1557.073
0:00:01.020418,5.116,300.683,1544.390
0:00:01.025339,5.124,301.073,1542.439
0:00:01.030196,5.120,303.463,1545.366
0:00:01.035051,5.120,299.756,1536.585
0:00:01.039936,5.112,302.683,1542.439
0:00:01.044797,5.112,304.780,1552.195
0:00:01.049744,5.116,304.780,1560.000
0:00:01.054618,5.112,301.073,1545.366
0:00:01.059612,5.120,300.878,1561.951
0:00:01.064481,5.116,301.073,1549.268
0:00:01.069372,5.120,312.976,1584.390
0:00:01.074245,5.112,304.780,1550.244
0:00:01.079117,5.108,310.049,1534.634
0:00:01.083981,5.112,303.659,2020.488
0:00:01.088913,5.092,394.976,1998.049
0:00:01.093791,5.092,390.878,1991.220
0:00:01.098676,5.096,394.146,2000.976
0:00:01.103553,5.088,392.878,2020.488
0:00:01.108409,5.092,391.073,1990.244
0:00:01.113273,5.096,387.171,1991.220
0:00:01.118135,5.096,390.049,2000.976
0:00:01.123096,5.088,400.780,2030.244
0:00:01.127960,5.096,394.146,1991.220
0:00:01.132940,5.096,389.171,1990.244
0:00:01.137792,5.088,389.854,1988.293
0:00:01.142654,5.092,392.878,2004.878
0:00:01.147518,5.096,391.268,2004.878
0:00:01.152382,5.088,395.366,2020.488
0:00:01.157240,5.096,392.878,2071.220
0:00:01.162218,5.088,391.659,1995.122
0:00:01.167082,5.096,393.951,1993.171
0:00:01.172026,5.092,392.439,1996.098
0:00:01.176916,5.092,404.878,2057.561
0:00:01.181777,5.092,392.439,1995.122
0:00:01.186627,5.096,395.366,2010.732
0:00:01.193256,5.096,391.073,1988.293
0:00:01.198144,5.096,391.073,2010.732
0:00:01.203113,5.096,392.683,2005.854
0:00:01.207952,5.092,392.683,1990.244
0:00:01.212982,5.092,393.561,2010.732
0:00:01.217849,5.092,392.878,2002.927
0:00:01.222712,5.096,392.244,2010.732
0:00:01.227598,5.088,392.049,2000.976
0:00:01.232455,5.088,394.976,2009.756
0:00:01.237305,5.096,395.756,2004.878
0:00:01.242263,5.092,392.439,1990.244
0:00:01.247133,5.092,391.659,2000.976
0:00:01.252073,5.100,391.854,2007.805
0:00:01.256973,5.104,394.585,2000.976
0:00:01.261833,5.068,516.732,1998.049
0:00:01.266685,5.096,399.073,2053.659
0:00:01.271554,5.096,392.878,1985.366
0:00:01.276422,5.096,391.659,1996.098
0:00:01.281358,5.096,394.976,1996.098
0:00:01.286256,5.088,402.780,2002.927
0:00:01.291198,5.096,391.268,1988.293
0:00:01.296051,5.092,391.854,1996.098
0:00:01.300898,5.088,390.049,2009.756
0:00:01.305764,5.096,390.049,2000.976
0:00:01.310620,5.096,394.146,2000.976
0:00:01.319841,5.100,394.976,2020.488
0:00:01.324828,5.088,392.049,1998.049
0:00:01.329758,5.092,389.171,2012.683
