TimeStamp, Voltage (V), Current (mA), Power (mW)
0:00:00.000240,5.116,298.195,1454.634
0:00:00.005305,5.116,285.171,1452.683
0:00:00.010141,5.120,285.171,1452.683
0:00:00.015069,5.116,285.366,1454.634
0:00:00.019910,5.108,285.171,1486.829
0:00:00.024830,5.120,285.951,1469.268
0:00:00.029664,5.120,287.854,1467.317
0:00:00.034493,5.124,287.463,1519.024
0:00:00.039323,5.108,287.073,1462.439
0:00:00.044232,5.120,287.073,1452.683
0:00:00.049055,5.120,287.268,1467.317
0:00:00.053958,5.120,285.756,1491.707
0:00:00.058796,5.116,284.780,1470.244
0:00:00.063631,5.112,288.293,1481.951
0:00:00.068461,5.120,287.854,1472.195
0:00:00.073382,5.116,291.366,1475.122
0:00:00.078236,5.116,286.390,1452.683
0:00:00.083153,5.116,284.780,1457.561
0:00:00.087992,5.128,287.073,1539.512
0:00:00.092825,5.088,384.683,1962.927
0:00:00.097654,5.092,387.951,1980.488
0:00:00.102553,5.092,388.780,1991.220
0:00:00.107389,5.088,387.756,2027.317
0:00:00.112210,5.100,387.951,1977.561
0:00:00.117042,5.096,389.171,1975.610
0:00:00.121919,5.088,389.854,1991.220
0:00:00.126750,5.088,399.073,1978.537
0:00:00.131597,5.088,385.463,1972.683
0:00:00.136524,5.100,390.049,1987.317
0:00:00.141353,5.096,390.244,1988.293
0:00:00.146159,5.096,390.683,2022.439
0:00:00.150953,5.096,389.659,1980.488
0:00:00.155872,5.092,392.244,1977.561
0:00:00.160716,5.096,387.756,2035.122
0:00:00.165657,5.096,399.463,1965.854
0:00:00.170488,5.096,387.756,1990.244
0:00:00.175327,5.100,389.171,1982.439
0:00:00.180163,5.092,402.585,1990.244
0:00:00.185012,5.096,390.878,1990.244
0:00:00.189838,5.096,387.756,1975.610
0:00:00.194656,5.096,388.341,1973.659
0:00:00.199455,5.084,393.756,1990.244
0:00:00.204375,5.100,389.171,1975.610
0:00:00.209211,5.092,388.146,1975.610
0:00:00.214116,5.092,388.585,2005.854
0:00:00.218958,5.092,388.341,1980.488
0:00:00.223793,5.100,388.780,1983.415
0:00:00.228639,5.096,390.049,1996.098
0:00:00.233463,5.092,394.976,1980.488
0:00:00.240214,5.096,390.439,1983.415
0:00:00.245070,5.092,387.171,2007.805
0:00:00.249895,5.096,389.659,2025.366
0:00:00.254830,5.096,388.585,1985.366
0:00:00.259666,5.096,390.244,1975.610
0:00:00.264489,5.096,389.854,2027.317
0:00:00.269309,5.092,390.878,2040.000
0:00:00.274220,5.088,389.171,1977.561
0:00:00.279046,5.100,391.463,1996.098
0:00:00.283956,5.092,388.780,1982.439
0:00:00.288797,5.096,401.171,1987.317
0:00:00.293639,5.092,392.049,1970.732
0:00:00.298463,5.096,387.951,1978.537
0:00:00.303392,5.096,387.951,1982.439
0:00:00.308233,5.100,388.780,1993.171
0:00:00.313137,5.096,392.439,1988.293
0:00:00.317980,5.096,392.439,1995.122
0:00:00.322807,5.088,390.878,2045.854
0:00:00.327641,5.092,388.341,1985.366
0:00:00.332554,5.092,388.976,1995.122
0:00:00.337389,5.088,388.976,1977.561
0:00:00.342219,5.096,399.951,1977.561
0:00:00.347051,5.104,391.268,1975.610
0:00:00.351890,5.088,392.244,1993.171
0:00:00.356730,5.096,391.073,1977.561
0:00:00.361560,5.088,393.756,1983.415
0:00:00.366572,5.096,390.878,1990.244
0:00:00.371852,5.092,391.268,1978.537
0:00:00.377180,5.096,401.561,2597.073
0:00:00.382714,5.064,508.634,2548.293
0:00:00.388183,5.076,491.561,2568.780
0:00:00.393342,5.096,391.268,1987.317
0:00:00.398161,5.096,390.878,1991.220
0:00:00.402977,5.096,389.366,1985.366
0:00:00.407809,5.092,388.780,1977.561
0:00:00.412640,5.088,389.854,2042.927
0:00:00.417472,5.096,390.244,1980.488
0:00:00.422373,5.092,389.659,1996.098
0:00:00.427267,5.088,390.878,1995.122
0:00:00.432097,5.096,394.976,2005.854
0:00:00.436926,5.088,389.854,1980.488
0:00:00.441823,5.096,389.171,1990.244
0:00:00.446689,5.088,393.366,1993.171
0:00:00.451528,5.088,388.780,1990.244
0:00:00.456445,5.092,390.439,1982.439
0:00:00.461287,5.088,390.049,1988.293
0:00:00.466120,5.088,388.585,2040.976
0:00:00.470941,5.096,389.171,1991.220
0:00:00.477507,5.088,387.561,1972.683
0:00:00.482350,5.096,390.244,1996.098
0:00:00.487202,5.088,393.756,1990.244
0:00:00.492023,5.088,389.659,1978.537
0:00:00.496844,5.096,391.268,1985.366
0:00:00.501665,5.096,393.171,1988.293
0:00:00.506583,5.092,390.049,1980.488
0:00:00.511407,5.096,389.171,1975.610
0:00:00.516235,5.096,390.878,2010.732
0:00:00.521067,5.092,388.976,1987.317
0:00:00.525945,5.096,389.659,1975.610
0:00:00.530774,5.092,389.854,1995.122
0:00:00.535679,5.092,389.659,1991.220
0:00:00.540516,5.092,401.951,1990.244
0:00:00.545359,5.100,390.878,1980.488
0:00:00.550178,5.096,390.049,1980.488
0:00:00.555007,5.088,390.439,2004.878
0:00:00.559833,5.092,389.659,1973.659
0:00:00.564678,5.092,390.878,1973.659
0:00:00.569517,5.096,403.659,1991.220
0:00:00.574348,5.096,389.659,1991.220
0:00:00.579175,5.096,389.659,1998.049
0:00:00.584114,5.092,391.854,2002.927
0:00:00.588949,5.088,388.976,1983.415
0:00:00.593775,5.100,400.780,2000.976
0:00:00.598571,5.096,390.439,1990.244
0:00:00.603427,5.096,390.878,1993.171
0:00:00.608257,5.096,391.268,1983.415
0:00:00.613163,5.080,395.171,1977.561
0:00:00.617995,5.104,390.049,1972.683
0:00:00.622833,5.088,387.951,1977.561
0:00:00.627705,5.096,389.659,1996.098
0:00:00.632560,5.092,388.585,1988.293
0:00:00.637399,5.096,390.244,1996.098
0:00:00.642231,5.092,389.854,1990.244
0:00:00.647034,5.092,392.683,2042.927
0:00:00.651880,5.096,389.659,1985.366
0:00:00.656731,5.096,393.171,2002.927
0:00:00.661564,5.088,388.585,1988.293
0:00:00.666484,5.092,400.585,1980.488
0:00:00.671321,5.104,390.878,1985.366
0:00:00.676153,5.092,389.854,1995.122
0:00:00.680977,5.092,388.341,2000.000
0:00:00.685902,5.092,389.366,1980.488
0:00:00.690741,5.096,390.244,1988.293
0:00:00.695647,5.092,391.659,1990.244
