TimeStamp, Voltage (V), Current (mA), Power (mW)
0:00:00.000244,5.120,270.585,1384.390
0:00:00.005299,5.132,260.293,1326.829
0:00:00.010229,5.124,256.195,1317.073
0:00:00.015041,5.120,258.976,1602.927
0:00:00.019854,5.120,268.098,1328.780
0:00:00.024683,5.128,258.976,1349.268
0:00:00.029511,5.120,262.293,1341.463
0:00:00.034339,5.120,263.756,1347.317
0:00:00.039168,5.120,262.098,1339.512
0:00:00.044018,5.124,263.366,1337.561
0:00:00.048837,5.124,261.659,1352.195
0:00:00.053654,5.120,259.854,1397.073
0:00:00.058485,5.128,260.683,1323.902
0:00:00.063416,5.128,260.878,1321.951
0:00:00.068240,5.124,259.854,1328.780
0:00:00.073068,5.132,270.195,1341.463
0:00:00.077887,5.128,260.488,1355.122
0:00:00.082807,5.128,258.585,1347.317
0:00:00.087640,5.120,262.780,1355.122
0:00:00.092546,5.104,315.463,1580.488
0:00:00.097417,5.108,303.268,1542.439
0:00:00.102235,5.120,306.195,1560.000
0:00:00.108791,5.120,310.049,1598.049
0:00:00.113725,5.108,312.976,1549.268
0:00:00.118555,5.120,300.683,1532.683
0:00:00.123470,5.128,256.976,1323.902
0:00:00.128297,5.120,268.488,1329.756
