TimeStamp, Voltage (V), Current (mA), Power (mW)
0:00:00.000242,5.124,261.463,1331.707
0:00:00.005288,5.120,261.463,1339.512
0:00:00.010126,5.128,264.390,1342.439
0:00:00.014944,5.116,264.195,1323.902
0:00:00.019776,5.124,262.976,1328.780
0:00:00.024607,5.116,260.878,1339.512
0:00:00.029429,5.128,258.195,1341.463
0:00:00.034326,5.124,259.171,1326.829
0:00:00.039156,5.124,272.390,1341.463
0:00:00.044073,5.124,261.073,1339.512
0:00:00.048902,5.128,260.098,1344.390
0:00:00.053726,5.120,263.171,1342.439
0:00:00.058550,5.128,271.366,1341.463
0:00:00.063451,5.128,264.780,1347.317
0:00:00.068275,5.128,260.878,1339.512
0:00:00.073167,5.120,258.780,1329.756
0:00:00.078007,5.120,260.098,1349.268
0:00:00.082849,5.132,260.098,1331.707
0:00:00.089460,5.128,261.854,1629.268
0:00:00.094371,5.108,313.756,1542.439
0:00:00.099198,5.112,305.171,1552.195
0:00:00.104123,5.120,305.171,1557.073
0:00:00.108946,5.108,305.561,1540.488
0:00:00.113822,5.116,303.951,1540.488
0:00:00.118658,5.116,301.073,1311.220
0:00:00.123485,5.120,258.390,1320.000
0:00:00.128314,5.120,257.951,1386.341
