Name,                                 Length (s),Voltage (V),Current (mA),Power (mW), Energy consumption (Ws)
12_31_01_678627_fibonacci_alg_python,      3.215,      5.101,    356.481,   1819.322,      5.846
12_31_06_604704_fibonacci_alg_python,      3.215,      5.101,    358.262,   1825.033,      5.857
12_31_11_943020_fibonacci_alg_python,      3.215,      5.101,    360.507,   1839.552,      5.872
12_31_17_024713_fibonacci_alg_python,      3.215,      5.101,    356.886,   1819.328,      5.849
12_31_23_467342_fibonacci_alg_python,      3.215,      5.101,    357.460,   1823.944,      5.856
12_31_28_639246_fibonacci_alg_python,      3.215,      5.101,    358.923,   1830.533,      5.857
12_31_33_831814_fibonacci_alg_python,      3.215,      5.100,    360.759,   1840.807,      5.905
12_31_38_675141_fibonacci_alg_python,      3.215,      5.100,    360.930,   1839.178,      5.905
12_31_43_700580_fibonacci_alg_python,      3.215,      5.100,    362.157,   1844.448,      5.911
12_31_48_633530_fibonacci_alg_python,      3.215,      5.101,    358.033,   1827.018,      5.876

12_31_51_295307_fibonacci_alg_js    ,      3.215,      5.097,    373.816,   1900.732,      5.262
12_31_53_984770_fibonacci_alg_js    ,      3.215,      5.095,    381.741,   1944.590,      5.498
12_31_56_597737_fibonacci_alg_js    ,      3.215,      5.094,    387.921,   1976.674,      5.466
12_31_59_349867_fibonacci_alg_js    ,      3.215,      5.094,    387.869,   1976.667,      5.440
12_32_02_186264_fibonacci_alg_js    ,      3.215,      5.095,    384.229,   1960.204,      5.492
12_32_05_101139_fibonacci_alg_js    ,      3.215,      5.095,    383.880,   1956.447,      5.437
12_32_08_015004_fibonacci_alg_js    ,      3.215,      5.095,    384.716,   1956.299,      5.431
12_32_10_932263_fibonacci_alg_js    ,      3.215,      5.095,    383.694,   1955.249,      5.453
12_32_13_817097_fibonacci_alg_js    ,      3.215,      5.095,    383.590,   1955.413,      5.421
12_32_16_687121_fibonacci_alg_js    ,      3.215,      5.095,    384.052,   1953.152,      5.425

12_39_18_115562_fibonacci_cpp_O0    ,      3.215,      5.118,    286.592,   1445.803,      4.449
12_39_25_476799_fibonacci_cpp_O0    ,      3.215,      5.117,    289.606,   1476.448,      5.035
12_39_29_061266_fibonacci_cpp_O0    ,      3.215,      5.118,    283.097,   1466.627,      4.440
12_39_31_728348_fibonacci_cpp_O0    ,      3.215,      5.119,    279.853,   1434.866,      4.348
12_39_38_131191_fibonacci_cpp_O0    ,      3.215,      5.117,    283.461,   1450.506,      4.452
