TimeStamp, Voltage (V), Current (mA), Power (mW)
0:00:00.006854,5.096,282.293,1440.000
0:00:00.026550,5.096,286.049,1439.024
0:00:00.045930,5.096,282.780,1444.878
0:00:00.065317,5.096,281.854,1437.073
0:00:00.084711,5.096,281.951,1435.122
0:00:00.104080,5.096,282.390,1437.073
0:00:00.123452,5.100,282.049,1439.024
0:00:00.142811,5.096,284.293,1435.122
0:00:00.162179,5.096,281.756,1441.951
0:00:00.181619,5.096,281.951,1437.073
0:00:00.201038,5.096,281.659,1507.317
0:00:00.220492,5.100,287.073,1482.927
0:00:00.239899,5.092,290.585,1435.122
0:00:00.259257,5.096,282.195,1435.122
0:00:00.278648,5.096,283.561,1437.073
0:00:00.298125,5.096,281.951,1439.024
0:00:00.317520,5.100,281.854,1437.073
0:00:00.336910,5.096,281.756,1435.122
0:00:00.356362,5.096,281.659,1437.073
0:00:00.375735,5.096,281.756,1440.000
0:00:00.395132,5.096,281.659,1437.073
0:00:00.414504,5.100,283.073,1435.122
0:00:00.433866,5.096,281.854,1437.073
0:00:00.453220,5.096,280.976,1437.073
0:00:00.472578,5.096,283.268,1482.927
0:00:00.491967,5.096,292.488,1437.073
0:00:00.511321,5.096,281.854,1437.073
0:00:00.530689,5.096,282.293,1437.073
0:00:00.550037,5.096,282.585,1437.073
0:00:00.569409,5.096,281.073,1437.073
0:00:00.588906,5.096,282.049,1439.024
0:00:00.608275,5.092,282.049,1437.073
0:00:00.627635,5.096,281.756,1435.122
0:00:00.647074,5.104,260.195,1321.951
0:00:00.666534,5.104,259.366,1321.951
0:00:00.685932,5.104,258.488,1321.951
0:00:00.705295,5.104,258.878,1371.707
0:00:00.724661,5.104,267.561,1376.585
0:00:00.744025,5.100,268.878,1332.683
0:00:00.763386,5.104,261.171,1339.512
0:00:00.782845,5.108,262.293,1331.707
0:00:00.802219,5.104,260.976,1331.707
0:00:00.823432,5.104,259.073,1321.951
0:00:00.842825,5.104,258.878,1321.951
0:00:00.862192,5.108,258.683,1323.902
0:00:00.881578,5.100,260.098,1336.585
0:00:00.900958,5.100,258.683,1326.829
0:00:00.920333,5.104,258.976,1321.951
0:00:00.939809,5.104,258.878,1352.195
0:00:00.959167,5.104,268.195,1350.244
0:00:00.978535,5.104,262.878,1321.951
0:00:00.998090,5.084,322.683,1632.195
0:00:01.017780,5.080,321.854,1619.512
0:00:01.037282,5.084,322.780,1640.000
0:00:01.056673,5.104,304.585,1329.756
0:00:01.076050,5.104,260.488,1407.805
0:00:01.095580,5.104,260.585,1326.829
0:00:01.114961,5.080,300.683,1527.805
0:00:01.134346,5.084,303.268,1534.634
0:00:01.153724,5.088,301.659,1536.585
0:00:01.173110,5.048,261.951,1360.000
0:00:01.192517,5.104,446.049,1630.244
0:00:01.211878,5.048,348.878,1336.585
0:00:01.231284,5.044,441.366,2221.463
0:00:01.250652,5.048,436.537,1524.878
0:00:01.270028,5.100,272.780,1409.756
0:00:01.289437,5.048,264.878,1350.244
0:00:01.308918,5.076,324.146,2235.122
0:00:01.328306,5.044,440.146,2226.341
0:00:01.347681,5.048,398.780,2320.976
0:00:01.367149,5.096,284.780,2207.805
0:00:01.386656,5.056,413.073,2218.537
0:00:01.406045,5.100,261.854,1367.805
0:00:01.425508,5.036,308.878,1371.707
0:00:01.444902,5.044,397.561,1376.585
0:00:01.464257,5.096,308.488,1425.366
0:00:01.483763,5.100,281.366,1349.268
0:00:01.503129,5.036,431.366,2313.171
0:00:01.522496,5.088,365.073,2400.976
0:00:01.541856,5.084,338.390,1715.122
0:00:01.561215,5.068,410.976,1804.878
0:00:01.580589,5.092,441.268,2031.220
0:00:01.599981,5.100,440.341,1684.878
0:00:01.619352,5.100,503.561,2461.463
0:00:01.638809,5.096,266.195,2125.854
0:00:01.658179,5.044,415.756,2143.415
0:00:01.677546,5.064,449.659,2458.537
0:00:01.696931,5.072,419.463,2340.488
0:00:01.716393,5.052,300.195,2319.024
0:00:01.735771,5.032,439.756,2233.171
0:00:01.756821,5.100,263.951,1346.341
0:00:01.776313,5.088,440.146,2044.878
0:00:01.795709,5.048,468.049,2271.220
0:00:01.815058,5.040,303.366,1354.146
0:00:01.834427,5.088,444.439,1339.512
0:00:01.853788,5.036,300.049,1349.268
0:00:01.873154,5.096,292.195,2230.244
0:00:01.892538,5.096,441.366,1531.707
0:00:01.911891,5.044,305.659,1424.390
0:00:01.931245,5.044,322.780,1526.829
0:00:01.950603,5.100,273.659,2018.537
0:00:01.969987,5.044,462.878,2295.610
0:00:01.989396,5.048,441.366,2162.927
0:00:02.008867,5.068,413.659,2212.683
0:00:02.028272,5.048,439.171,1825.366
0:00:02.047634,5.092,441.171,1606.829
0:00:02.067137,5.044,264.195,1347.317
0:00:02.086559,5.092,446.439,1475.122
0:00:02.105936,5.084,411.659,2090.732
0:00:02.125312,5.044,478.244,2228.293
0:00:02.144679,5.032,483.366,2238.049
0:00:02.164052,5.048,441.951,2263.415
0:00:02.183433,5.100,320.390,2226.341
0:00:02.202804,5.100,263.756,1346.341
0:00:02.222171,5.048,483.854,2228.293
0:00:02.241537,5.044,441.659,2230.244
0:00:02.260912,5.036,441.854,2248.780
0:00:02.280318,5.104,274.683,1414.634
0:00:02.299821,5.048,437.854,1342.439
0:00:02.319207,5.044,441.756,1372.683
0:00:02.338585,5.092,440.780,2226.341
0:00:02.358055,5.044,439.463,1682.927
0:00:02.377431,5.064,441.366,2230.244
0:00:02.396823,5.044,450.049,2240.976
0:00:02.416276,5.048,439.171,1549.268
0:00:02.435658,5.048,458.780,2084.878
0:00:02.455022,5.044,442.878,2218.537
0:00:02.474404,5.044,478.732,1797.073
0:00:02.493873,5.048,441.366,2225.366
0:00:02.513543,5.048,444.537,2240.976
0:00:02.532953,5.052,437.659,2207.805
0:00:02.552360,5.048,441.561,1973.659
0:00:02.571727,5.052,440.976,2226.341
0:00:02.591139,5.048,357.659,2416.585
0:00:02.610506,5.100,441.854,2228.293
0:00:02.629886,5.048,439.463,2216.585
0:00:02.649252,5.060,276.878,2260.488
0:00:02.668624,5.052,449.073,2230.244
0:00:02.689804,5.044,440.537,2225.366
0:00:02.709249,5.044,440.634,2230.244
0:00:02.728622,5.048,440.634,2221.463
0:00:02.748062,5.048,440.976,2230.244
0:00:02.767435,5.044,441.073,2245.854
0:00:02.786809,5.048,320.683,1985.366
0:00:02.806253,5.104,263.854,1670.244
0:00:02.825700,5.048,441.073,2230.244
0:00:02.845073,5.048,358.488,2245.854
0:00:02.864439,5.048,440.634,2225.366
0:00:02.883806,5.100,261.854,1487.805
0:00:02.903176,5.048,453.659,2265.366
0:00:02.922536,5.044,449.268,2239.024
0:00:02.941892,5.048,439.659,2221.463
0:00:02.961264,5.048,441.171,2225.366
0:00:02.980630,5.044,439.268,2233.171
0:00:03.000021,5.096,282.780,1412.683
0:00:03.019760,5.104,264.878,1352.195
0:00:03.039176,5.104,443.073,2255.610
0:00:03.058549,5.056,382.683,1772.683
0:00:03.078016,5.064,477.659,2097.561
0:00:03.097409,5.048,443.366,2235.122
0:00:03.116771,5.048,438.049,2212.683
0:00:03.136147,5.048,446.341,1700.488
0:00:03.155591,5.048,407.951,1889.756
0:00:03.175016,5.044,441.171,2225.366
0:00:03.194420,5.044,445.073,2243.902
0:00:03.213779,5.100,441.659,2233.171
0:00:03.233148,5.044,388.341,2418.537
0:00:03.252512,5.048,442.244,2231.220
0:00:03.271880,5.048,440.780,2236.098
0:00:03.291289,5.048,442.634,2230.244
0:00:03.310720,5.048,337.366,2215.610
0:00:03.330098,5.048,438.878,2212.683
0:00:03.349471,5.080,440.780,2228.293
0:00:03.368925,5.104,259.659,1323.902
0:00:03.388344,5.104,258.976,1366.829
0:00:03.407716,5.100,268.878,1342.439
0:00:03.427191,5.100,260.780,1323.902
0:00:03.446565,5.104,259.073,1321.951
0:00:03.465920,5.104,259.171,1321.951
0:00:03.485312,5.104,259.171,1329.756
0:00:03.504687,5.104,258.976,1321.951
0:00:03.524046,5.104,258.780,1321.951
0:00:03.543400,5.104,260.390,1334.634
0:00:03.562781,5.104,258.976,1321.951
0:00:03.582168,5.104,259.463,1328.780
