TimeStamp, Voltage (V), Current (mA), Power (mW)
0:00:00.012805,5.060,377.366,1910.244
0:00:00.031438,5.056,376.976,1910.244
0:00:00.049832,5.056,377.366,1916.585
0:00:00.068189,5.060,376.463,1903.902
0:00:00.086527,5.060,376.268,1903.902
0:00:00.104887,5.060,376.463,1904.390
0:00:00.123221,5.060,376.756,1908.780
0:00:00.141580,5.060,376.659,1906.341
0:00:00.159938,5.056,376.976,1907.805
0:00:00.178332,5.060,376.976,1925.366
0:00:00.196689,5.060,377.976,1912.683
0:00:00.215030,5.056,376.561,1905.366
0:00:00.233374,5.060,376.756,1904.390
0:00:00.251719,5.060,377.561,1910.244
0:00:00.270118,5.056,377.366,1910.244
0:00:00.288476,5.060,376.659,1904.390
0:00:00.306812,5.056,376.976,1910.244
0:00:00.325156,5.060,375.756,1901.463
0:00:00.343492,5.060,376.561,1905.366
0:00:00.361836,5.060,377.073,1907.805
0:00:00.380178,5.056,377.463,1906.829
0:00:00.398524,5.060,377.366,1906.341
0:00:00.416870,5.060,376.976,1909.268
0:00:00.435215,5.060,380.171,1906.341
0:00:00.453566,5.060,377.268,1906.829
0:00:00.471980,5.060,377.073,1907.805
0:00:00.490324,5.060,380.073,1922.927
0:00:00.508668,5.056,376.976,1908.780
0:00:00.527008,5.060,377.073,1907.805
0:00:00.545357,5.060,377.268,1908.780
0:00:00.563692,5.056,376.268,1904.390
0:00:00.582027,5.060,376.756,1904.390
0:00:00.600364,5.056,377.171,1906.829
0:00:00.618721,5.056,380.976,1926.341
0:00:00.637090,5.060,382.976,1936.585
0:00:00.655434,5.060,383.659,1954.146
0:00:00.673794,5.056,388.463,1988.293
0:00:00.692136,5.060,387.268,1948.293
0:00:00.710470,5.056,388.366,1935.122
0:00:00.728814,5.056,386.171,1920.000
0:00:00.747149,5.056,377.976,1912.683
0:00:00.765493,5.056,377.463,1908.780
0:00:00.783837,5.056,378.171,1915.610
0:00:00.802192,5.040,377.756,1914.146
0:00:00.820790,5.060,393.659,1920.000
0:00:00.839170,5.056,379.463,1915.610
0:00:00.857536,5.060,377.171,1906.829
0:00:00.875905,5.060,377.073,1907.805
0:00:00.894251,5.056,379.659,1917.561
0:00:00.914952,5.056,377.268,1906.829
0:00:00.934347,5.060,377.171,1905.366
0:00:00.953761,5.060,376.854,1909.268
0:00:00.973138,5.056,377.171,1909.268
