TimeStamp, Voltage (V), Current (mA), Power (mW)
0:00:00.012817,5.060,374.659,1895.122
0:00:00.031432,5.060,373.854,1900.000
0:00:00.049802,5.060,374.073,1894.146
0:00:00.068188,5.060,374.366,1895.610
0:00:00.086528,5.064,374.976,1921.463
0:00:00.104858,5.064,374.561,1928.780
0:00:00.123188,5.060,374.073,1921.463
0:00:00.141563,5.060,375.659,1936.585
0:00:00.159889,5.060,386.463,1995.122
0:00:00.178216,5.060,388.756,1989.268
0:00:00.196537,5.060,393.854,1991.707
0:00:00.214868,5.060,393.951,1991.707
0:00:00.233215,5.056,390.951,1976.585
0:00:00.251544,5.056,389.756,1943.902
0:00:00.269878,5.056,379.268,1915.610
0:00:00.288206,5.060,378.561,1906.341
0:00:00.306535,5.060,376.171,1907.805
0:00:00.324931,5.064,375.976,1911.707
0:00:00.343267,5.060,377.171,1908.780
0:00:00.361622,5.064,375.659,1901.951
0:00:00.380042,5.060,376.976,1917.561
0:00:00.398382,5.060,377.463,1924.390
0:00:00.416708,5.060,376.756,1906.341
0:00:00.435064,5.060,376.463,1919.024
0:00:00.453457,5.060,384.073,1955.122
0:00:00.471812,5.060,385.171,1947.805
0:00:00.490147,5.060,384.561,1946.341
0:00:00.508468,5.056,385.463,1950.244
0:00:00.526804,5.060,385.561,1950.244
0:00:00.545139,5.060,385.463,1949.268
0:00:00.563462,5.064,370.976,1892.683
0:00:00.581780,5.060,375.561,1891.707
0:00:00.600117,5.060,377.854,1894.146
0:00:00.618454,5.060,374.659,1891.220
0:00:00.636812,5.064,375.463,1900.000
0:00:00.655138,5.060,376.366,1904.390
0:00:00.673459,5.060,374.854,1901.463
0:00:00.691881,5.060,376.854,1908.780
0:00:00.710510,5.052,376.854,1908.780
0:00:00.728910,5.060,378.854,1918.049
0:00:00.747254,5.060,384.366,1946.829
0:00:00.765609,5.060,384.951,1942.927
0:00:00.783942,5.060,384.659,1941.951
0:00:00.802287,5.060,384.073,1941.951
0:00:00.820676,5.056,384.366,1949.268
0:00:00.839035,5.056,385.366,1948.293
0:00:00.857357,5.060,376.171,1903.902
0:00:00.875683,5.064,375.561,1900.488
0:00:00.894007,5.064,375.756,1901.463
0:00:00.913227,5.064,376.659,1898.049
0:00:00.931612,5.060,377.659,1915.122
0:00:00.949997,5.060,377.659,1909.268
0:00:00.968338,5.064,377.268,1903.902
0:00:00.986664,5.060,377.463,1910.244
0:00:01.004996,5.060,380.268,1924.390
0:00:01.023352,5.060,381.854,1930.732
0:00:01.041709,5.056,396.463,2002.927
0:00:01.060186,5.060,394.951,1943.902
0:00:01.079552,5.056,385.073,1944.390
0:00:01.098953,5.060,384.561,1943.902
0:00:01.118293,5.060,384.951,1949.268
0:00:01.137646,5.056,385.659,1955.122
0:00:01.157044,5.064,376.366,1900.000
0:00:01.176387,5.060,373.561,1895.122
0:00:01.195714,5.060,373.976,1900.000
0:00:01.215039,5.060,373.366,1891.220
0:00:01.234384,5.064,374.171,1895.122
0:00:01.253726,5.060,373.854,1894.146
0:00:01.273144,5.060,374.561,1897.561
0:00:01.292501,5.064,374.561,1911.707
0:00:01.311827,5.064,383.659,1901.951
0:00:01.331187,5.056,383.854,1946.829
0:00:01.350606,5.060,384.268,1946.341
0:00:01.369980,5.056,385.366,1950.244
0:00:01.389324,5.056,384.268,1942.927
0:00:01.408687,5.056,385.659,1944.390
0:00:01.428039,5.056,384.073,1957.561
0:00:01.447370,5.056,375.854,1909.268
0:00:01.466690,5.060,375.756,1909.268
0:00:01.486051,5.060,375.854,1910.732
0:00:01.505381,5.060,376.976,1902.927
0:00:01.524740,5.064,377.073,1907.805
0:00:01.544098,5.060,377.366,1907.805
0:00:01.563433,5.060,377.756,1955.122
0:00:01.582794,5.060,377.854,1895.122
0:00:01.602231,5.060,376.854,1903.902
0:00:01.621644,5.064,376.854,1907.805
0:00:01.641051,5.056,384.951,1943.902
0:00:01.660393,5.048,385.561,1937.561
0:00:01.679806,5.060,384.756,1945.366
0:00:01.699147,5.060,386.268,1950.244
0:00:01.718473,5.060,385.268,1944.390
0:00:01.737826,5.060,385.756,1955.122
0:00:01.757182,5.060,378.976,1910.244
0:00:01.776512,5.060,376.976,1909.268
0:00:01.795876,5.060,376.756,1941.463
0:00:01.815215,5.060,384.561,1910.244
0:00:01.836343,5.060,376.463,1910.244
0:00:01.855697,5.064,374.756,1897.561
0:00:01.875054,5.060,374.561,1900.000
0:00:01.894426,5.064,373.756,1896.585
0:00:01.913818,5.060,377.463,1970.732
0:00:01.933195,5.060,383.659,1946.829
0:00:01.952518,5.056,384.366,1947.805
0:00:01.971851,5.060,384.561,1944.390
0:00:01.991180,5.060,384.756,1943.902
0:00:02.010609,5.056,384.366,1941.463
0:00:02.030029,5.060,376.073,1901.951
0:00:02.049378,5.060,381.756,1948.293
0:00:02.068706,5.064,386.171,1915.122
0:00:02.088030,5.056,377.854,1922.927
0:00:02.107400,5.060,376.659,1909.268
0:00:02.126745,5.060,376.561,1906.829
0:00:02.146092,5.064,377.366,1910.732
0:00:02.165434,5.060,491.049,2520.000
0:00:02.184775,5.060,377.073,1907.805
0:00:02.204574,5.060,376.659,1906.341
0:00:02.224032,5.060,385.561,1949.268
0:00:02.243479,5.056,384.366,1943.902
0:00:02.262842,5.060,386.171,1943.902
0:00:02.282297,5.060,384.756,1975.122
0:00:02.301648,5.056,392.854,1983.902
0:00:02.321000,5.056,390.951,1950.244
0:00:02.340377,5.056,373.976,1894.146
0:00:02.359810,5.064,374.561,1898.049
0:00:02.379159,5.064,390.951,1896.585
0:00:02.398480,5.060,374.854,1896.585
0:00:02.417824,5.060,374.366,1892.683
0:00:02.437195,5.060,375.366,1902.927
0:00:02.456519,5.060,375.073,1895.122
0:00:02.475835,5.064,374.756,1895.610
0:00:02.495157,5.064,375.073,1896.585
0:00:02.514571,5.060,384.756,1943.902
0:00:02.533972,5.060,384.659,1975.122
0:00:02.553324,5.056,390.756,1986.829
0:00:02.572681,5.056,393.366,1950.244
0:00:02.592025,5.056,384.756,1946.341
0:00:02.611477,5.060,383.854,1947.805
0:00:02.630887,5.056,377.463,1912.683
0:00:02.650235,5.060,376.756,1906.829
0:00:02.669571,5.064,378.976,1903.902
0:00:02.689010,5.060,376.073,1905.366
0:00:02.708342,5.060,382.268,1909.268
0:00:02.727722,5.060,375.854,1924.390
0:00:02.747089,5.064,377.561,1907.805
0:00:02.768252,5.060,381.463,1955.122
0:00:02.787685,5.060,390.366,1970.732
0:00:02.807011,5.060,387.073,1959.512
0:00:02.826350,5.056,387.366,1964.390
0:00:02.845812,5.056,387.268,1959.512
0:00:02.865169,5.060,384.854,1953.171
0:00:02.884518,5.056,385.073,1946.341
0:00:02.903845,5.060,384.756,1949.268
0:00:02.923184,5.064,371.561,1891.707
0:00:02.942621,5.060,373.756,1894.146
0:00:02.961987,5.056,373.659,1892.683
0:00:02.981412,5.064,374.268,1894.146
0:00:03.000753,5.060,374.268,1895.122
0:00:03.020468,5.064,374.561,1928.780
0:00:03.039908,5.060,381.463,1935.610
0:00:03.059331,5.060,382.976,1895.122
0:00:03.078660,5.060,374.463,1900.488
0:00:03.097974,5.056,386.073,1949.268
0:00:03.117297,5.056,385.366,1946.341
0:00:03.136676,5.060,384.268,1946.829
0:00:03.156040,5.060,384.659,1950.244
0:00:03.175407,5.060,384.854,1946.341
0:00:03.194744,5.056,383.854,1944.390
0:00:03.214076,5.060,381.073,1910.244
0:00:03.233430,5.060,376.073,1904.390
0:00:03.252746,5.060,377.976,1906.829
0:00:03.272083,5.060,377.073,1922.927
0:00:03.291533,5.060,383.561,1952.683
0:00:03.310869,5.056,385.268,1900.488
0:00:03.330244,5.056,376.561,1907.805
0:00:03.349572,5.060,379.854,1910.244
0:00:03.369034,5.060,376.976,1910.732
0:00:03.388398,5.060,382.756,1920.000
0:00:03.407727,5.056,385.073,1955.122
0:00:03.427091,5.056,385.073,1947.805
0:00:03.446444,5.060,385.659,1949.268
0:00:03.465773,5.056,385.073,1944.390
0:00:03.485147,5.056,385.463,1943.902
0:00:03.504491,5.060,384.951,1949.268
0:00:03.523816,5.060,374.659,1900.000
0:00:03.543224,5.060,376.659,1950.732
0:00:03.562565,5.060,383.463,1909.268
0:00:03.581933,5.060,374.854,1895.122
0:00:03.601341,5.060,374.463,1895.610
0:00:03.620745,5.060,374.268,1896.585
0:00:03.640112,5.060,374.561,1894.146
0:00:03.659478,5.060,374.976,1904.390
0:00:03.678877,5.064,387.756,1896.585
0:00:03.698374,5.052,384.171,1947.805
0:00:03.719883,5.060,384.659,1944.390
0:00:03.739331,5.060,423.268,1946.341
0:00:03.758696,5.056,384.171,1978.049
0:00:03.778093,5.056,395.463,1959.024
0:00:03.797470,5.060,376.854,1923.902
0:00:03.816827,5.060,377.561,1917.561
0:00:03.836194,5.060,378.366,1913.171
0:00:03.855522,5.060,379.366,1919.024
0:00:03.874858,5.060,376.976,1908.780
0:00:03.894268,5.060,376.854,1906.341
0:00:03.913623,5.064,376.854,1910.244
0:00:03.932987,5.064,378.171,1906.341
0:00:03.952427,5.060,377.073,1906.829
0:00:03.971806,5.056,377.171,1907.805
0:00:03.991135,5.056,382.756,1937.561
0:00:04.010603,5.060,387.073,2001.463
0:00:04.029989,5.060,394.659,1961.463
0:00:04.049352,5.056,385.073,1947.805
0:00:04.068684,5.056,387.561,1951.707
0:00:04.088015,5.060,384.854,1958.049
0:00:04.107383,5.060,374.659,1900.000
0:00:04.126722,5.060,374.171,1897.561
0:00:04.146084,5.064,373.976,1891.220
0:00:04.165410,5.064,373.659,1895.122
0:00:04.184741,5.060,374.463,1895.122
0:00:04.204099,5.064,374.463,1903.902
0:00:04.223487,5.064,374.854,1895.610
0:00:04.242869,5.060,374.756,1897.561
0:00:04.262298,5.060,374.659,1928.780
0:00:04.282110,5.060,392.854,1971.707
0:00:04.301684,5.056,388.951,1949.268
0:00:04.321036,5.056,384.366,1945.366
0:00:04.340420,5.060,384.951,1949.268
0:00:04.359831,5.060,385.171,1943.902
0:00:04.379163,5.060,385.073,1950.244
0:00:04.398496,5.060,377.073,1903.902
0:00:04.417836,5.060,376.756,1920.488
0:00:04.437209,5.060,377.463,1906.829
0:00:04.456536,5.064,376.756,1907.805
0:00:04.475864,5.060,377.171,1916.585
0:00:04.495209,5.060,375.756,1910.244
0:00:04.514523,5.060,378.073,1947.805
0:00:04.533885,5.060,381.756,1945.366
0:00:04.553227,5.060,383.073,1905.366
0:00:04.572563,5.060,377.268,1911.707
0:00:04.591892,5.056,385.171,1947.805
0:00:04.611216,5.056,384.561,1950.732
0:00:04.630779,5.060,384.756,1950.244
0:00:04.652030,5.056,385.659,1946.829
0:00:04.671481,5.060,384.561,1945.366
0:00:04.690805,5.068,365.463,1873.171
0:00:04.710129,5.064,375.073,1888.780
0:00:04.729460,5.060,374.854,1898.049
0:00:04.748907,5.060,377.659,1939.024
0:00:04.768339,5.060,385.854,1933.171
0:00:04.787679,5.060,375.756,1895.122
0:00:04.807020,5.060,375.073,1898.049
0:00:04.826356,5.060,374.463,1898.049
0:00:04.845758,5.064,374.073,1897.561
0:00:04.865094,5.064,389.561,1961.951
0:00:04.884422,5.060,386.756,1960.488
0:00:04.903745,5.056,386.756,1961.463
0:00:04.923082,5.060,387.756,1965.366
0:00:04.942439,5.056,386.951,1959.024
0:00:04.961812,5.056,386.366,1955.122
0:00:04.981136,5.060,376.659,1920.488
0:00:05.000568,5.060,375.561,1930.732
0:00:05.019971,5.060,385.366,1953.171
0:00:05.039371,5.060,384.463,1908.780
0:00:05.058743,5.060,377.073,1911.707
0:00:05.078085,5.060,377.756,1909.268
0:00:05.097435,5.064,376.659,1923.902
0:00:05.116766,5.064,378.073,1909.268
0:00:05.136119,5.060,377.976,1911.707
0:00:05.155443,5.064,377.366,1919.024
0:00:05.174830,5.056,385.659,1947.805
0:00:05.194252,5.060,384.951,1950.244
0:00:05.213893,5.060,385.073,1949.268
0:00:05.233377,5.060,386.561,1947.805
0:00:05.252746,5.056,390.366,1993.171
0:00:05.272139,5.056,394.561,1949.268
0:00:05.291581,5.060,374.463,1904.390
0:00:05.310916,5.060,375.268,1894.146
0:00:05.330257,5.060,374.463,1894.146
0:00:05.349694,5.064,374.756,1897.561
0:00:05.369097,5.060,377.756,1896.585
