TimeStamp, Voltage (V), Current (mA), Power (mW)
0:00:00.000243,5.088,288.463,1468.293
0:00:00.019869,5.092,288.683,1491.220
0:00:00.039263,5.088,289.366,1472.195
0:00:00.058641,5.092,289.073,1505.854
0:00:00.078021,5.092,296.976,1535.122
0:00:00.097406,5.088,294.561,1468.780
0:00:00.116753,5.088,289.366,1468.780
0:00:00.136163,5.088,289.073,1468.780
0:00:00.155533,5.092,288.878,1469.756
0:00:00.174931,5.092,288.976,1472.195
0:00:00.194400,5.092,288.463,1469.756
0:00:00.213770,5.088,288.976,1482.439
0:00:00.236968,5.092,288.683,1468.780
0:00:00.256602,5.088,288.683,1494.634
0:00:00.276029,5.088,295.976,1503.415
0:00:00.295415,5.088,295.073,1467.317
0:00:00.314807,5.084,288.463,1468.293
0:00:00.334216,5.092,290.683,1467.317
0:00:00.353683,5.088,298.976,1466.829
0:00:00.373039,5.092,288.268,1467.317
0:00:00.392403,5.088,289.780,1475.610
0:00:00.411851,5.092,288.366,1467.317
0:00:00.431273,5.092,289.780,1468.293
0:00:00.450676,5.088,287.780,1468.293
0:00:00.470033,5.088,288.878,1478.537
0:00:00.489389,5.092,288.268,1467.317
0:00:00.508759,5.092,293.463,1514.634
0:00:00.528141,5.092,297.463,1468.780
0:00:00.547501,5.088,288.366,1466.829
0:00:00.566861,5.088,288.780,1466.829
0:00:00.586226,5.092,288.073,1470.732
0:00:00.605597,5.092,288.268,1481.951
0:00:00.624949,5.092,288.268,1468.293
0:00:00.644420,5.088,288.268,1467.317
0:00:00.663836,5.096,263.780,1344.878
0:00:00.683189,5.096,264.073,1342.927
0:00:00.702557,5.096,263.683,1344.390
0:00:00.721982,5.096,263.780,1344.878
0:00:00.741352,5.096,263.780,1351.707
0:00:00.760737,5.100,264.073,1389.756
0:00:00.780109,5.100,273.366,1364.390
0:00:00.799477,5.096,265.585,1341.951
0:00:00.818844,5.092,263.585,1346.829
0:00:00.838202,5.100,263.463,1347.317
0:00:00.857545,5.100,263.683,1343.415
0:00:00.876906,5.096,263.683,1343.415
0:00:00.896278,5.096,265.171,1352.195
0:00:00.915637,5.096,263.366,1345.854
0:00:00.934992,5.100,263.585,1343.415
0:00:00.956161,5.100,263.780,1344.390
0:00:00.975597,5.100,264.073,1372.195
0:00:00.994987,5.100,348.756,1729.756
0:00:01.014439,5.076,332.878,1688.780
0:00:01.033830,5.076,324.073,1751.707
0:00:01.053181,5.088,295.683,1508.780
0:00:01.072540,5.072,301.561,1522.439
0:00:01.091981,5.084,299.463,1524.878
0:00:01.111364,5.060,399.854,1900.000
0:00:01.130748,5.060,376.561,1904.390
0:00:01.150116,5.064,378.561,1944.390
0:00:01.169469,5.064,377.073,2059.512
0:00:01.188838,5.060,377.976,1909.268
0:00:01.208265,5.056,378.463,1922.927
0:00:01.227619,5.060,377.073,1909.268
0:00:01.246997,5.060,382.171,1961.951
0:00:01.266358,5.064,385.561,1918.049
0:00:01.285727,5.060,375.268,1939.512
0:00:01.305108,5.060,378.659,1912.683
0:00:01.324575,5.060,377.854,1911.707
0:00:01.343945,5.060,376.171,1903.902
0:00:01.363298,5.060,374.976,1911.707
0:00:01.382744,5.060,377.659,1906.341
0:00:01.402129,5.064,378.268,1910.244
0:00:01.421484,5.064,378.463,1998.049
0:00:01.440825,5.060,383.561,1915.610
0:00:01.460197,5.060,376.854,1929.268
0:00:01.479559,5.060,377.561,1910.732
0:00:01.498942,5.060,378.561,1959.024
0:00:01.518295,5.060,387.951,1946.829
0:00:01.537648,5.060,379.463,1912.683
0:00:01.557002,5.048,377.073,1903.902
0:00:01.576360,5.056,377.463,1915.610
0:00:01.595736,5.060,376.976,1915.122
0:00:01.615099,5.064,377.171,1900.488
0:00:01.634546,5.060,377.659,1910.732
0:00:01.653896,5.060,378.854,1918.049
0:00:01.673253,5.064,378.854,1914.146
0:00:01.692692,5.060,376.854,1914.146
