TimeStamp, Voltage (V), Current (mA), Power (mW)
0:00:00.005089,5.088,288.976,1472.195
0:00:00.024675,5.088,289.268,1472.195
0:00:00.044038,5.092,288.878,1471.220
0:00:00.063439,5.088,288.976,1468.293
0:00:00.082967,5.092,288.780,1469.756
0:00:00.102329,5.088,288.780,1497.561
0:00:00.121704,5.092,295.268,1509.756
0:00:00.141166,5.088,293.780,1468.780
0:00:00.160547,5.088,288.463,1468.780
0:00:00.179915,5.092,288.561,1467.317
0:00:00.199268,5.088,288.561,1466.829
0:00:00.218629,5.088,288.268,1477.561
0:00:00.237993,5.092,288.683,1469.756
0:00:00.257388,5.092,293.463,1468.293
0:00:00.276966,5.088,288.366,1467.317
0:00:00.296393,5.092,288.171,1468.780
0:00:00.315830,5.092,298.366,1468.293
0:00:00.335221,5.088,288.268,1468.293
0:00:00.354622,5.092,288.366,1488.780
0:00:00.374043,5.092,294.780,1513.659
0:00:00.393461,5.088,288.268,1466.829
0:00:00.412976,5.088,288.268,1468.293
0:00:00.432411,5.092,288.268,1467.317
0:00:00.451783,5.088,288.463,1467.317
0:00:00.471260,5.092,288.268,1464.878
0:00:00.490642,5.092,288.073,1467.317
0:00:00.510022,5.088,287.976,1467.317
0:00:00.529460,5.088,290.171,1466.829
0:00:00.548835,5.088,288.780,1466.829
0:00:00.568215,5.092,288.463,1464.878
0:00:00.587562,5.088,288.976,1466.829
0:00:00.606915,5.092,287.976,1509.756
0:00:00.626278,5.088,298.683,1488.780
0:00:00.645634,5.088,290.366,1466.829
0:00:00.665041,5.088,291.683,1472.195
0:00:00.684391,5.092,288.268,1465.854
0:00:00.703754,5.092,287.976,1466.829
0:00:00.723107,5.100,263.463,1343.415
0:00:00.742469,5.100,263.268,1343.415
0:00:00.761960,5.096,264.463,1344.878
0:00:00.781319,5.096,263.463,1343.415
0:00:00.800676,5.100,264.976,1343.415
0:00:00.820030,5.100,270.366,1343.415
0:00:00.839469,5.100,263.780,1342.927
0:00:00.858823,5.100,263.073,1370.732
0:00:00.878222,5.096,271.171,1378.537
0:00:00.897573,5.096,269.585,1343.415
0:00:00.916948,5.096,263.585,1342.927
0:00:00.936295,5.096,264.073,1344.390
0:00:00.957374,5.096,263.366,1339.512
0:00:00.976781,5.096,263.463,1343.415
0:00:00.996163,5.100,336.073,1679.024
0:00:01.015521,5.076,331.463,1736.585
0:00:01.034897,5.076,351.366,1687.317
0:00:01.054257,5.092,297.171,1504.390
0:00:01.073641,5.088,300.268,1522.439
0:00:01.092996,5.088,300.268,1563.902
0:00:01.112352,5.088,307.366,1533.659
0:00:01.131703,5.084,302.171,1537.561
0:00:01.151159,5.084,300.366,1532.195
0:00:01.170540,5.060,375.561,1896.585
0:00:01.189889,5.060,376.561,1901.951
0:00:01.209240,5.060,376.854,1901.463
0:00:01.228591,5.064,375.171,1915.610
0:00:01.247953,5.064,374.463,1900.488
0:00:01.267330,5.024,367.854,1886.341
0:00:01.286786,5.064,374.171,1888.780
0:00:01.306463,5.064,373.854,1900.000
0:00:01.325857,5.060,373.561,1898.049
0:00:01.345262,5.064,377.171,1933.171
0:00:01.364650,5.060,384.268,1917.561
0:00:01.384021,5.064,381.463,1900.488
0:00:01.403386,5.056,375.976,1901.951
0:00:01.422854,5.064,374.561,1893.171
0:00:01.442233,5.064,375.463,1886.829
0:00:01.461650,5.064,377.854,1897.561
0:00:01.481126,5.044,375.366,1882.927
0:00:01.500505,5.060,374.073,1896.585
0:00:01.519876,5.064,378.976,1891.220
0:00:01.539231,5.064,377.073,1899.024
0:00:01.558610,5.060,375.463,1921.463
0:00:01.578011,5.064,376.366,1943.902
0:00:01.597395,5.064,381.268,1950.244
0:00:01.616761,5.060,387.268,1906.829
0:00:01.636120,5.056,376.268,1898.049
0:00:01.655483,5.060,375.073,1893.171
0:00:01.674852,5.060,374.976,1888.780
0:00:01.694199,5.060,374.659,1898.049
0:00:01.713633,5.064,375.463,1903.902
0:00:01.732998,5.060,374.463,1895.610
0:00:01.752359,5.060,375.854,1911.707
0:00:01.771736,5.060,376.366,1900.488
0:00:01.791151,5.064,375.756,1900.488
0:00:01.810520,5.060,375.073,1891.707
0:00:01.829880,5.060,378.366,1902.927
0:00:01.849250,5.064,384.756,1950.732
