TimeStamp, Voltage (V), Current (mA), Power (mW)
0:00:00.008842,5.092,287.878,1466.829
0:00:00.028440,5.092,288.976,1468.780
0:00:00.047833,5.092,288.561,1468.780
0:00:00.067234,5.084,292.780,1468.780
0:00:00.086717,5.088,288.463,1469.756
0:00:00.106147,5.092,288.780,1468.293
0:00:00.125552,5.092,290.780,1508.780
0:00:00.144929,5.088,293.683,1468.293
0:00:00.164318,5.088,288.268,1470.732
0:00:00.183732,5.092,288.171,1468.293
0:00:00.203101,5.092,288.171,1466.829
0:00:00.222477,5.088,288.171,1465.854
0:00:00.241855,5.088,288.268,1466.829
0:00:00.261227,5.092,290.463,1468.293
0:00:00.280696,5.088,290.780,1467.317
0:00:00.300099,5.092,287.463,1466.829
0:00:00.319523,5.092,288.073,1467.317
0:00:00.339005,5.088,288.171,1465.854
0:00:00.358449,5.092,288.366,1493.171
0:00:00.377885,5.092,294.683,1512.195
0:00:00.397319,5.092,298.171,1466.829
0:00:00.416760,5.088,287.073,1468.293
0:00:00.436184,5.088,287.878,1466.829
0:00:00.455589,5.092,288.268,1466.829
0:00:00.474968,5.092,287.878,1466.829
0:00:00.494367,5.088,288.073,1465.854
0:00:00.513758,5.092,287.976,1466.829
0:00:00.533166,5.092,289.171,1467.317
0:00:00.552570,5.092,287.976,1465.854
0:00:00.571950,5.096,263.780,1344.390
0:00:00.591346,5.096,263.585,1342.927
0:00:00.610803,5.100,264.268,1388.293
0:00:00.630182,5.096,272.878,1358.537
0:00:00.649615,5.096,264.073,1343.415
0:00:00.669086,5.096,265.073,1342.927
0:00:00.688477,5.100,264.976,1351.707
0:00:00.707857,5.096,263.780,1343.415
0:00:00.727253,5.096,263.366,1342.927
0:00:00.746783,5.100,276.780,1342.927
0:00:00.766193,5.096,262.878,1343.415
0:00:00.785615,5.100,263.585,1342.927
0:00:00.804969,5.096,264.780,1344.878
0:00:00.824345,5.096,263.171,1342.927
0:00:00.843710,5.096,263.366,1343.415
0:00:00.863086,5.100,263.366,1372.195
0:00:00.882539,5.100,271.268,1370.732
0:00:00.902007,5.096,263.366,1341.951
0:00:00.921693,5.100,263.366,1343.415
0:00:00.941105,5.100,263.171,1340.976
0:00:00.962424,5.100,263.366,1341.951
0:00:00.981990,5.096,264.878,1348.293
0:00:01.001541,5.076,327.463,1637.073
0:00:01.020995,5.076,319.659,1618.537
0:00:01.040373,5.076,312.463,1611.220
0:00:01.059889,5.088,298.878,1536.098
0:00:01.079362,5.080,300.683,1574.634
0:00:01.098738,5.084,345.366,1916.585
0:00:01.118197,5.060,373.561,1993.171
0:00:01.137683,5.052,405.951,2049.268
0:00:01.157078,5.052,401.171,2011.707
0:00:01.176465,5.052,395.756,2011.707
0:00:01.195862,5.056,392.463,2003.902
0:00:01.215229,5.060,391.463,1977.073
0:00:01.234618,5.060,393.366,1985.854
0:00:01.253979,5.056,389.561,1984.390
0:00:01.273369,5.056,388.951,1968.293
0:00:01.292767,5.056,387.073,1978.049
0:00:01.312136,5.056,387.268,2000.488
0:00:01.331576,5.056,392.659,2025.854
0:00:01.350962,5.056,396.073,1976.585
0:00:01.370335,5.056,386.951,1969.268
0:00:01.389744,5.056,387.463,1959.512
0:00:01.409189,5.056,386.366,1949.268
0:00:01.428577,5.060,388.171,1972.683
0:00:01.447942,5.056,388.561,1968.293
0:00:01.467396,5.060,388.561,1974.146
0:00:01.486819,5.056,387.854,1948.293
0:00:01.506221,5.060,389.073,1961.463
0:00:01.525606,5.056,388.171,1958.049
0:00:01.544972,5.056,386.268,1959.024
0:00:01.564353,5.056,386.171,1983.902
0:00:01.583744,5.056,390.366,2010.244
0:00:01.603104,5.056,396.171,1951.707
0:00:01.622468,5.056,385.463,1946.341
0:00:01.641850,5.060,387.659,1956.585
0:00:01.661233,5.060,385.659,1952.683
0:00:01.680702,5.056,387.171,1963.902
0:00:01.700080,5.056,387.659,1967.805
0:00:01.719461,5.056,385.756,1950.732
0:00:01.738849,5.056,386.659,1955.610
0:00:01.758306,5.056,386.268,1950.244
0:00:01.777719,5.060,387.951,1962.927
0:00:01.797118,5.056,386.659,1955.610
0:00:01.816478,5.060,388.171,1945.366
0:00:01.835865,5.056,395.659,1994.146
0:00:01.855229,5.056,389.073,1955.122
0:00:01.874631,5.056,387.171,1970.732
0:00:01.895768,5.060,386.268,1950.244
0:00:01.915163,5.060,385.659,1957.561
0:00:01.934554,5.060,409.756,1962.927
0:00:01.953921,5.056,386.561,1955.610
0:00:01.973303,5.056,388.171,1956.585
0:00:01.992760,5.056,387.659,1962.927
0:00:02.012152,5.056,385.659,1963.902
0:00:02.031570,5.060,385.659,1951.707
0:00:02.050935,5.056,386.171,1977.073
0:00:02.070319,5.060,395.366,1955.610
0:00:02.089739,5.052,387.171,1955.610
0:00:02.109215,5.056,386.951,1950.732
0:00:02.128604,5.060,384.171,1955.122
0:00:02.147973,5.056,387.073,1970.732
0:00:02.167438,5.056,385.854,1954.146
0:00:02.186860,5.056,385.366,1950.244
0:00:02.206224,5.060,386.171,1955.610
0:00:02.225596,5.060,388.854,1957.561
0:00:02.245020,5.056,386.854,1954.146
0:00:02.264397,5.056,387.073,1959.512
0:00:02.283793,5.056,385.268,1999.512
0:00:02.303148,5.060,386.951,2005.366
0:00:02.322533,5.056,396.951,1965.366
0:00:02.341906,5.056,387.951,1953.171
0:00:02.361274,5.056,386.268,1948.293
0:00:02.380737,5.056,385.268,1955.610
0:00:02.400203,5.060,385.756,1959.512
0:00:02.419974,5.060,385.854,1974.146
0:00:02.439377,5.056,385.268,1955.610
0:00:02.458772,5.060,386.463,1950.244
0:00:02.478242,5.060,385.268,1950.732
0:00:02.497654,5.060,385.268,1951.707
0:00:02.517039,5.056,387.366,1954.146
0:00:02.536435,5.060,386.073,1983.902
0:00:02.555798,5.060,392.073,2005.366
0:00:02.575191,5.056,393.171,1944.390
0:00:02.594590,5.056,386.659,1957.561
0:00:02.613958,5.060,385.756,1951.707
0:00:02.633344,5.056,386.756,1960.488
0:00:02.652711,5.060,386.171,1951.707
0:00:02.672130,5.060,384.561,1950.244
0:00:02.691544,5.056,386.366,1968.293
0:00:02.710921,5.060,386.756,1954.146
0:00:02.730312,5.056,387.073,1946.829
0:00:02.749689,5.056,383.561,1951.707
0:00:02.769175,5.060,385.561,1955.610
0:00:02.788584,5.056,385.756,1985.854
0:00:02.807975,5.056,390.463,1954.146
0:00:02.829159,5.056,388.366,1951.707
0:00:02.848609,5.056,385.463,1950.244
0:00:02.867995,5.060,385.171,1944.390
0:00:02.887468,5.056,385.854,1953.171
0:00:02.906859,5.056,386.463,1954.146
0:00:02.926231,5.056,386.561,1947.805
0:00:02.945599,5.056,385.268,1952.683
0:00:02.964964,5.060,389.171,1953.171
0:00:02.984365,5.056,386.463,1954.146
0:00:03.003901,5.060,385.659,1954.146
0:00:03.023322,5.056,385.854,1970.732
0:00:03.042696,5.056,393.561,1961.463
0:00:03.062081,5.056,386.561,1955.610
0:00:03.081584,5.060,386.951,1951.707
0:00:03.101012,5.060,389.659,1950.244
0:00:03.120391,5.056,385.171,1943.902
0:00:03.139838,5.056,384.659,1955.610
0:00:03.159277,5.056,386.366,1951.707
0:00:03.178687,5.060,386.268,1953.171
0:00:03.198185,5.056,386.073,1951.707
0:00:03.217616,5.060,385.561,1942.927
0:00:03.236995,5.056,386.854,1947.805
0:00:03.256368,5.056,383.268,1966.341
0:00:03.275752,5.056,391.951,2002.927
0:00:03.295145,5.056,406.659,1957.561
0:00:03.314532,5.056,385.854,1949.268
0:00:03.333922,5.056,384.756,1955.610
0:00:03.353293,5.056,386.756,1950.244
0:00:03.372687,5.056,389.268,1938.049
0:00:03.392094,5.060,382.366,1937.561
0:00:03.411456,5.060,382.268,1943.902
0:00:03.431018,5.056,386.756,1953.171
0:00:03.450425,5.060,385.073,1950.732
0:00:03.469877,5.060,385.366,1951.707
0:00:03.489288,5.056,385.659,1946.341
0:00:03.508658,5.056,388.951,1994.146
0:00:03.528040,5.056,396.073,1981.951
0:00:03.547476,5.056,389.171,1951.707
0:00:03.566852,5.056,385.951,1932.683
0:00:03.586242,5.060,384.561,1933.171
0:00:03.605607,5.060,381.854,1948.293
0:00:03.624971,5.060,380.463,1953.171
0:00:03.644331,5.060,385.366,1968.293
0:00:03.663699,5.060,385.659,1943.902
0:00:03.683093,5.060,386.268,1953.171
0:00:03.702475,5.060,387.463,1951.707
0:00:03.721854,5.060,386.073,1955.122
0:00:03.741226,5.060,386.951,1950.244
0:00:03.760688,5.060,395.756,1928.780
0:00:03.782016,5.056,385.171,1910.732
0:00:03.801430,5.056,381.976,1943.902
0:00:03.820877,5.060,378.561,1957.561
0:00:03.840254,5.056,385.561,1955.122
0:00:03.859655,5.060,386.366,1961.463
0:00:03.879108,5.060,386.854,1953.171
0:00:03.898593,5.056,385.854,1990.244
0:00:03.918351,5.060,385.268,1955.122
0:00:03.937770,5.056,386.854,1953.171
0:00:03.957183,5.056,386.171,1954.146
0:00:03.976569,5.056,388.268,1992.683
0:00:03.996008,5.060,395.463,1921.951
0:00:04.015378,5.056,384.463,1940.488
0:00:04.034791,5.056,371.463,1954.146
0:00:04.054182,5.060,385.366,1950.244
0:00:04.073577,5.060,385.854,1955.122
0:00:04.093008,5.060,385.463,1950.244
0:00:04.112374,5.056,384.659,1947.805
0:00:04.131761,5.060,384.268,1947.805
0:00:04.151135,5.060,384.463,1950.732
0:00:04.170502,5.056,387.073,1950.244
0:00:04.190042,5.056,384.854,1940.488
0:00:04.209457,5.060,385.366,1941.951
0:00:04.228839,5.056,385.268,1979.024
0:00:04.248286,5.060,390.854,1989.268
0:00:04.267677,5.060,414.268,2114.634
0:00:04.287085,5.060,381.976,1943.902
0:00:04.306468,5.060,381.463,1957.561
0:00:04.325872,5.056,387.268,1957.561
0:00:04.345445,5.056,386.561,1955.122
0:00:04.364835,5.064,386.561,1959.024
0:00:04.384235,5.056,385.854,1955.122
0:00:04.403614,5.060,386.171,1950.732
0:00:04.422990,5.060,384.268,1943.902
0:00:04.442357,5.060,384.756,1941.463
0:00:04.461732,5.056,382.366,1932.683
0:00:04.481107,5.060,388.463,1995.610
0:00:04.500527,5.056,393.073,1946.341
0:00:04.520000,5.056,383.171,1936.585
0:00:04.539388,5.056,384.854,1943.902
0:00:04.558783,5.060,384.659,1944.390
0:00:04.578234,5.056,385.366,1948.293
0:00:04.597635,5.056,383.659,1943.902
0:00:04.617010,5.060,384.561,1954.146
0:00:04.636395,5.060,385.171,1944.390
0:00:04.655765,5.056,385.366,1945.366
0:00:04.675138,5.060,384.073,1946.829
0:00:04.694533,5.056,384.756,1969.268
0:00:04.715712,5.060,389.659,1991.707
0:00:04.735160,5.056,392.171,1944.390
0:00:04.754545,5.056,384.171,1946.341
0:00:04.773916,5.056,384.073,1951.707
0:00:04.793302,5.056,385.268,1944.390
0:00:04.812678,5.060,384.268,1949.268
0:00:04.832055,5.056,384.951,1946.341
0:00:04.851430,5.056,385.268,1957.561
0:00:04.870907,5.056,384.366,1946.341
0:00:04.890337,5.060,383.976,1947.805
0:00:04.909731,5.060,396.268,1946.341
0:00:04.929187,5.060,384.073,1946.341
0:00:04.948565,5.056,384.463,1966.341
0:00:04.968012,5.056,391.561,1955.610
0:00:04.987520,5.052,386.268,1966.341
0:00:05.006923,5.056,385.854,1947.805
0:00:05.026334,5.056,385.756,1949.268
0:00:05.045703,5.060,385.171,1947.805
0:00:05.065081,5.060,385.659,1946.341
0:00:05.084459,5.060,385.659,1949.268
0:00:05.103878,5.056,385.171,1939.512
0:00:05.123267,5.060,385.659,1946.341
0:00:05.142631,5.056,384.268,1946.341
0:00:05.162006,5.056,384.659,1946.829
0:00:05.181366,5.060,385.073,1937.561
0:00:05.200927,5.056,384.561,1983.902
0:00:05.220299,5.056,393.268,1979.512
0:00:05.239693,5.056,388.073,1947.805
0:00:05.259148,5.056,385.561,1939.512
0:00:05.278535,5.056,384.659,1943.902
0:00:05.297938,5.060,386.073,1940.488
0:00:05.317392,5.056,384.561,1946.341
0:00:05.336782,5.060,384.854,1943.902
0:00:05.356160,5.060,383.854,1957.561
0:00:05.375538,5.056,383.854,2484.878
