TimeStamp, Voltage (V), Current (mA), Power (mW)
0:00:00.000254,5.092,299.073,1473.171
0:00:00.019890,5.088,288.780,1473.171
0:00:00.039286,5.092,288.780,1470.732
0:00:00.058670,5.088,288.976,1468.780
0:00:00.078043,5.092,288.561,1471.220
0:00:00.097438,5.088,290.073,1476.098
0:00:00.116816,5.092,288.561,1469.756
0:00:00.136243,5.092,288.780,1468.293
0:00:00.155623,5.088,288.366,1468.780
0:00:00.175022,5.092,288.366,1468.780
0:00:00.194589,5.088,288.171,1467.317
0:00:00.213984,5.092,288.366,1466.829
0:00:00.233397,5.092,296.878,1495.122
0:00:00.252852,5.088,292.073,1465.854
0:00:00.272232,5.088,288.878,1466.829
0:00:00.291618,5.092,288.366,1467.317
0:00:00.311072,5.092,288.463,1466.829
0:00:00.330455,5.092,288.073,1467.317
0:00:00.349880,5.088,288.463,1467.317
0:00:00.369257,5.088,290.366,1463.415
0:00:00.388608,5.092,288.171,1465.854
0:00:00.408000,5.088,288.976,1468.293
0:00:00.427368,5.092,287.976,1466.829
0:00:00.446781,5.092,287.878,1465.854
0:00:00.466187,5.092,288.073,1498.537
0:00:00.485554,5.064,293.268,1500.976
0:00:00.505024,5.088,288.073,1472.195
0:00:00.524814,5.092,287.878,1466.829
0:00:00.544225,5.088,288.561,1465.854
0:00:00.563751,5.088,287.976,1466.829
0:00:00.583144,5.092,287.976,1464.878
0:00:00.602558,5.088,287.976,1460.976
0:00:00.622010,5.088,287.976,1466.829
0:00:00.641396,5.096,263.585,1344.390
0:00:00.660823,5.096,263.976,1344.390
0:00:00.680227,5.100,264.268,1343.415
0:00:00.699743,5.096,263.878,1341.951
0:00:00.719115,5.096,265.878,1392.195
0:00:00.738510,5.100,272.585,1356.098
0:00:00.757884,5.096,263.780,1344.390
0:00:00.777338,5.096,265.780,1354.634
0:00:00.796730,5.100,265.780,1353.659
0:00:00.816105,5.096,267.683,1353.659
0:00:00.835484,5.096,265.683,1349.756
0:00:00.854844,5.100,265.683,1354.634
0:00:00.874246,5.096,263.463,1341.951
0:00:00.893725,5.100,263.585,1343.415
0:00:00.913109,5.100,264.878,1344.390
0:00:00.932487,5.096,263.366,1374.634
0:00:00.953714,5.084,305.878,1522.439
0:00:00.973121,5.096,272.683,1354.634
0:00:00.992506,5.096,265.683,1771.220
0:00:01.011978,5.076,329.780,1680.976
0:00:01.031376,5.076,327.780,1782.439
0:00:01.050755,5.088,326.073,1523.902
0:00:01.070114,5.088,302.463,1642.439
0:00:01.089494,5.084,302.073,1523.902
0:00:01.108893,5.088,301.366,1539.512
0:00:01.128280,5.088,299.561,1531.220
0:00:01.147664,5.060,377.268,1910.244
0:00:01.167027,5.060,375.756,1899.024
0:00:01.186395,5.064,376.854,1955.610
0:00:01.205788,5.060,385.854,1918.049
0:00:01.225260,5.060,371.171,1886.829
0:00:01.244669,5.064,370.561,1874.146
0:00:01.264049,5.060,370.659,1920.000
0:00:01.283501,5.068,368.976,1864.390
0:00:01.302916,5.064,368.171,1871.707
0:00:01.322280,5.064,362.171,1836.585
0:00:01.341655,5.068,365.366,1842.439
0:00:01.361104,5.064,364.171,1844.390
0:00:01.380484,5.068,365.073,1846.829
0:00:01.399857,5.068,364.171,1854.146
0:00:01.419231,5.064,364.463,1841.463
0:00:01.438602,5.064,364.073,1881.463
0:00:01.457964,5.064,373.561,1875.122
0:00:01.477350,5.064,369.171,1845.366
0:00:01.496727,5.068,365.463,1846.341
0:00:01.516111,5.068,364.976,1846.829
0:00:01.535473,5.064,364.854,1846.829
0:00:01.554838,5.068,364.854,1849.268
0:00:01.574202,5.068,364.756,1847.805
0:00:01.593674,5.060,381.561,1926.829
0:00:01.613067,5.060,381.268,1928.780
0:00:01.632441,5.056,379.659,1930.732
0:00:01.651963,5.060,381.268,1937.561
