TimeStamp, Voltage (V), Current (mA), Power (mW)
0:00:00.002823,5.088,290.561,1474.634
0:00:00.021383,5.088,298.171,1473.659
0:00:00.039732,5.088,289.780,1472.195
0:00:00.058097,5.092,289.366,1472.195
0:00:00.076464,5.088,290.780,1479.512
0:00:00.094799,5.092,289.171,1476.098
0:00:00.113152,5.088,288.463,1472.195
0:00:00.131608,5.092,289.268,1482.439
0:00:00.149954,5.088,289.561,1476.098
0:00:00.168321,5.088,293.171,1491.220
0:00:00.186657,5.088,295.683,1504.390
0:00:00.205067,5.092,295.780,1521.951
0:00:00.223686,5.088,296.268,1505.854
0:00:00.242050,5.088,298.171,1497.073
0:00:00.260425,5.088,292.683,1488.780
0:00:00.278865,5.088,290.780,1468.780
0:00:00.297950,5.088,288.976,1472.195
0:00:00.317338,5.088,288.780,1468.780
0:00:00.336715,5.092,288.683,1468.780
0:00:00.356087,5.088,290.268,1469.756
0:00:00.375482,5.088,289.073,1470.732
0:00:00.394860,5.088,289.073,1467.317
0:00:00.414237,5.088,288.683,1469.756
0:00:00.433608,5.092,288.561,1469.756
0:00:00.453081,5.092,288.683,1471.220
0:00:00.472470,5.092,289.073,1468.780
0:00:00.491875,5.092,290.268,1498.537
0:00:00.511334,5.092,298.366,1510.732
0:00:00.530709,5.088,293.878,1468.780
0:00:00.550098,5.092,290.268,1476.098
0:00:00.569523,5.088,288.463,1523.415
0:00:00.588891,5.096,263.976,1347.317
0:00:00.608315,5.100,264.171,1344.878
0:00:00.627692,5.100,264.878,1347.317
0:00:00.647068,5.096,263.878,1345.854
0:00:00.666445,5.096,263.878,1344.878
0:00:00.685819,5.096,265.683,1345.854
0:00:00.705289,5.100,263.976,1346.829
0:00:00.724679,5.096,263.780,1364.390
0:00:00.744049,5.096,269.366,1391.707
0:00:00.763419,5.100,274.585,1349.268
0:00:00.782809,5.096,264.171,1354.634
0:00:00.802250,5.096,263.976,1344.390
0:00:00.821616,5.096,263.780,1345.854
0:00:00.840983,5.100,263.780,1344.878
0:00:00.860438,5.100,265.171,1344.878
0:00:00.879834,5.096,262.976,1347.317
0:00:00.899195,5.100,264.683,1343.415
0:00:00.918617,5.096,264.268,1350.732
0:00:00.939889,5.096,264.171,1343.415
0:00:00.959307,5.100,263.878,1370.732
0:00:00.978715,5.100,271.366,1384.390
0:00:00.998080,5.068,339.463,1680.976
0:00:01.017455,5.076,339.756,1674.634
0:00:01.036881,5.080,333.073,1647.317
0:00:01.056260,5.084,305.268,1552.683
0:00:01.075650,5.084,305.878,1549.756
0:00:01.095013,5.088,305.366,1552.195
0:00:01.114378,5.060,381.171,1944.390
0:00:01.133880,5.060,381.073,1929.268
0:00:01.153274,5.060,381.854,1970.732
0:00:01.172665,5.060,379.561,1920.000
0:00:01.192108,5.060,379.561,1920.488
0:00:01.211483,5.052,405.463,2073.171
0:00:01.230853,5.048,413.756,2050.732
0:00:01.250263,5.056,394.756,1955.122
0:00:01.269788,5.060,384.073,1932.683
0:00:01.289201,5.060,382.976,1952.683
0:00:01.308577,5.060,383.366,1947.805
0:00:01.327964,5.060,387.951,1944.390
0:00:01.347356,5.060,385.659,1946.341
0:00:01.366745,5.060,383.073,1938.049
0:00:01.386115,5.060,381.463,1930.732
0:00:01.405496,5.060,380.561,1930.732
0:00:01.424862,5.060,383.268,1939.512
0:00:01.444234,5.056,389.171,1946.829
0:00:01.463663,5.060,384.951,1990.732
0:00:01.483162,5.060,392.659,1950.244
0:00:01.502553,5.056,383.171,1935.610
0:00:01.521922,5.056,382.756,1936.585
0:00:01.541371,5.060,384.171,1946.829
0:00:01.560759,5.052,386.073,1953.171
0:00:01.580181,5.060,384.073,1941.951
0:00:01.599881,5.060,382.463,1934.146
0:00:01.619284,5.060,381.561,1935.610
