TimeStamp, Voltage (V), Current (mA), Power (mW)
0:00:00.004989,5.088,295.780,1504.878
0:00:00.023530,5.092,294.976,1513.659
0:00:00.041874,5.092,299.561,1511.220
0:00:00.060201,5.092,299.976,1512.195
0:00:00.078539,5.088,299.780,1491.220
0:00:00.096895,5.084,298.366,1480.000
0:00:00.115219,5.088,288.976,1471.220
0:00:00.133628,5.088,287.683,1463.415
0:00:00.151951,5.088,287.976,1466.829
0:00:00.170657,5.088,288.780,1496.098
0:00:00.189214,5.088,289.073,1514.634
0:00:00.208614,5.092,288.683,1473.171
0:00:00.227991,5.088,289.268,1470.732
0:00:00.247345,5.088,288.976,1472.195
0:00:00.266681,5.088,290.683,1469.756
0:00:00.286050,5.092,288.683,1471.220
0:00:00.305458,5.088,288.561,1470.732
0:00:00.324805,5.088,288.683,1468.780
0:00:00.344143,5.092,288.683,1469.756
0:00:00.363568,5.088,288.780,1488.780
0:00:00.382978,5.088,293.976,1515.122
0:00:00.402361,5.092,296.366,1468.293
0:00:00.421721,5.088,288.683,1468.780
0:00:00.441130,5.088,288.561,1468.293
0:00:00.460542,5.088,289.171,1471.220
0:00:00.479883,5.088,290.780,1470.732
0:00:00.499265,5.088,289.561,1479.512
0:00:00.518608,5.088,290.683,1480.000
0:00:00.537938,5.092,290.878,1481.951
0:00:00.557275,5.088,290.561,1479.512
0:00:00.576602,5.088,290.780,1480.976
0:00:00.595943,5.084,288.878,1466.829
0:00:00.615320,5.096,263.878,1349.268
0:00:00.634663,5.100,265.683,1398.049
0:00:00.653972,5.100,273.171,1358.537
0:00:00.673345,5.096,265.463,1353.171
0:00:00.692754,5.096,266.171,1344.390
0:00:00.712201,5.100,263.976,1345.854
0:00:00.731569,5.096,264.171,1340.488
0:00:00.750904,5.096,269.585,1345.854
0:00:00.770236,5.100,263.878,1343.415
0:00:00.789565,5.096,263.780,1344.878
0:00:00.808933,5.096,263.976,1344.878
0:00:00.828279,5.100,265.366,1345.854
0:00:00.847656,5.100,263.585,1344.878
0:00:00.866986,5.096,263.683,1655.122
0:00:00.886310,5.100,263.683,1378.049
0:00:00.905637,5.100,272.878,1370.732
0:00:00.925061,5.096,263.683,1344.878
0:00:00.946140,5.096,263.463,1344.878
0:00:00.965505,5.096,263.683,1341.951
0:00:00.984846,5.100,263.780,1344.390
0:00:01.004196,5.080,330.561,1653.659
0:00:01.023656,5.080,321.366,1649.756
0:00:01.043053,5.072,319.878,1829.268
0:00:01.062393,5.088,298.366,1519.512
0:00:01.081729,5.088,298.463,1520.000
0:00:01.101166,5.088,300.780,1536.098
0:00:01.120526,5.088,305.463,1569.756
0:00:01.139917,5.088,310.268,1633.659
0:00:01.159252,5.084,300.683,1534.634
0:00:01.178603,5.084,302.268,1527.317
0:00:01.197959,5.060,373.073,1915.610
0:00:01.217281,5.060,374.073,1892.683
0:00:01.236623,5.056,373.561,1886.341
0:00:01.256009,5.060,370.463,1875.610
0:00:01.275344,5.064,370.561,1880.000
0:00:01.294693,5.064,370.854,1881.463
0:00:01.314024,5.064,370.976,1877.561
0:00:01.333358,5.064,370.976,1876.585
0:00:01.352823,5.060,370.659,1876.585
0:00:01.372175,5.060,371.268,1921.951
0:00:01.391509,5.060,383.366,1911.707
0:00:01.410822,5.060,388.268,1881.951
0:00:01.430164,5.060,371.268,1882.927
0:00:01.449514,5.060,371.073,1880.488
0:00:01.468889,5.064,372.366,1881.463
0:00:01.488239,5.064,371.976,1882.927
0:00:01.507588,5.064,371.976,1881.951
0:00:01.526910,5.060,372.854,1886.829
0:00:01.546237,5.060,371.268,1878.049
0:00:01.565592,5.064,371.366,1875.122
0:00:01.584935,5.064,371.268,1879.024
0:00:01.604279,5.060,371.756,1880.000
0:00:01.623688,5.064,371.366,1910.732
0:00:01.643026,5.068,378.366,1920.000
0:00:01.662430,5.056,376.854,1881.463
0:00:01.682165,5.060,371.976,1875.122
0:00:01.701575,5.064,373.171,1885.366
0:00:01.720996,5.064,373.073,1890.244
0:00:01.740339,5.060,371.659,1882.927
0:00:01.759936,5.064,372.756,1888.780
0:00:01.779345,5.060,372.073,1883.902
0:00:01.798760,5.064,372.366,1885.366
0:00:01.818088,5.064,371.854,1881.951
0:00:01.837448,5.060,372.268,1885.366
0:00:01.856780,5.068,374.268,1932.683
0:00:01.877789,5.060,381.659,1898.049
0:00:01.897185,5.060,372.463,1880.488
0:00:01.916532,5.060,371.171,1883.902
0:00:01.935862,5.060,371.854,1881.463
