TimeStamp, Voltage (V), Current (mA), Power (mW)
0:00:00.000249,5.088,290.268,1474.634
0:00:00.019814,5.088,289.366,1475.610
0:00:00.039154,5.092,289.268,1473.659
0:00:00.058495,5.088,289.073,1472.195
0:00:00.077830,5.092,289.268,1473.659
0:00:00.097243,5.088,288.976,1471.220
0:00:00.116608,5.092,288.878,1471.220
0:00:00.135953,5.092,288.976,1471.220
0:00:00.155291,5.088,288.976,1472.195
0:00:00.174634,5.088,288.780,1469.756
0:00:00.194077,5.092,288.780,1470.732
0:00:00.213534,5.088,288.976,1503.415
0:00:00.232880,5.088,297.780,1497.073
0:00:00.252219,5.092,292.561,1471.220
0:00:00.271568,5.088,289.463,1475.610
0:00:00.290927,5.092,288.878,1480.000
0:00:00.310289,5.092,288.878,1467.317
0:00:00.329645,5.088,288.463,1468.780
0:00:00.348972,5.084,288.463,1468.780
0:00:00.368314,5.092,288.683,1468.780
0:00:00.387672,5.092,288.463,1468.293
0:00:00.407003,5.088,289.171,1468.780
0:00:00.426382,5.092,288.268,1468.293
0:00:00.445835,5.092,288.683,1475.610
0:00:00.465214,5.088,288.366,1500.976
0:00:00.484570,5.092,292.878,1509.756
0:00:00.503904,5.088,297.463,1468.293
0:00:00.523395,5.088,288.463,1468.780
0:00:00.542763,5.088,288.683,1471.220
0:00:00.562103,5.088,289.073,1467.317
0:00:00.581476,5.092,288.561,1520.976
0:00:00.600812,5.096,263.366,1344.878
0:00:00.620163,5.100,263.878,1347.317
0:00:00.639613,5.096,266.585,1361.951
0:00:00.658963,5.100,263.683,1344.878
0:00:00.678299,5.096,263.976,1346.829
0:00:00.697657,5.100,262.976,1340.488
0:00:00.717037,5.096,262.976,1353.171
0:00:00.736509,5.096,272.780,1353.659
0:00:00.756212,5.092,263.585,1344.878
0:00:00.775573,5.096,264.976,1344.878
0:00:00.795036,5.100,263.585,1344.390
0:00:00.814413,5.096,263.878,1345.854
0:00:00.833800,5.096,263.878,1342.927
0:00:00.853252,5.100,263.878,1344.878
0:00:00.872685,5.096,263.683,1343.415
0:00:00.892060,5.100,263.780,1344.390
0:00:00.911404,5.096,264.780,1345.854
0:00:00.930746,5.100,263.463,1344.878
0:00:00.951880,5.100,269.171,1382.439
0:00:00.971276,5.096,270.268,1346.829
0:00:00.990647,5.096,263.366,1344.878
0:00:01.009983,5.072,332.976,1663.902
0:00:01.029354,5.080,329.463,1663.902
0:00:01.048740,5.076,306.878,1562.439
0:00:01.068103,5.084,303.268,1543.902
0:00:01.087454,5.084,305.878,1537.561
0:00:01.106786,5.084,304.878,1544.878
0:00:01.126154,5.084,303.683,1539.512
0:00:01.145500,5.084,304.366,1537.073
0:00:01.164991,5.084,302.561,1537.561
0:00:01.184347,5.060,374.756,1910.244
0:00:01.203677,5.056,380.463,1957.561
0:00:01.223044,5.060,387.171,1901.951
0:00:01.242457,5.060,381.073,1905.366
0:00:01.261906,5.060,376.854,1906.341
0:00:01.281268,5.056,376.659,1932.683
0:00:01.300617,5.060,377.366,1910.244
0:00:01.319958,5.060,382.659,1905.366
0:00:01.339286,5.060,376.463,1910.244
0:00:01.358622,5.060,377.976,1928.780
0:00:01.378014,5.060,376.463,1915.122
0:00:01.397391,5.060,377.756,1913.171
0:00:01.416742,5.056,375.976,1912.683
0:00:01.436079,5.060,377.561,1919.024
0:00:01.455400,5.060,383.268,1989.268
0:00:01.474754,5.060,386.171,1930.244
0:00:01.494188,5.056,378.073,1924.390
0:00:01.513530,5.060,376.463,1903.902
0:00:01.532865,5.060,376.659,1908.780
0:00:01.552201,5.064,376.659,1907.805
0:00:01.571536,5.048,380.659,1922.927
0:00:01.590908,5.060,378.854,1949.268
0:00:01.610308,5.060,377.073,1904.390
