TimeStamp, Voltage (V), Current (mA), Power (mW)
0:00:00.000252,5.084,310.561,1473.171
0:00:00.019825,5.088,288.976,1518.537
0:00:00.039182,5.092,290.268,1479.512
0:00:00.058546,5.088,288.683,1466.829
0:00:00.077913,5.092,289.976,1469.756
0:00:00.097308,5.088,288.780,1478.537
0:00:00.116670,5.092,288.976,1468.780
0:00:00.136003,5.088,288.366,1469.756
0:00:00.155362,5.088,288.366,1469.756
0:00:00.174718,5.088,290.780,1468.293
0:00:00.194057,5.092,288.561,1493.659
0:00:00.213452,5.092,298.171,1466.829
0:00:00.232886,5.088,290.780,1473.659
0:00:00.252288,5.088,288.683,1467.317
0:00:00.271661,5.092,288.366,1467.317
0:00:00.291101,5.092,289.366,1475.610
0:00:00.310462,5.092,290.561,1467.317
0:00:00.329830,5.092,288.171,1468.293
0:00:00.349183,5.092,288.561,1472.195
0:00:00.368541,5.088,288.268,1469.756
0:00:00.387879,5.092,288.268,1466.829
0:00:00.407267,5.092,287.780,1470.732
0:00:00.426650,5.092,288.171,1466.829
0:00:00.445985,5.088,291.366,1513.659
0:00:00.465342,5.092,297.683,1484.390
0:00:00.484673,5.084,289.561,1473.171
0:00:00.504023,5.088,288.171,1465.854
0:00:00.523402,5.092,288.171,1465.854
0:00:00.542863,5.088,287.366,1466.829
0:00:00.562225,5.088,288.268,1465.854
0:00:00.581581,5.088,290.463,1486.341
0:00:00.600931,5.092,289.561,1467.317
0:00:00.620302,5.092,287.976,1464.878
0:00:00.639667,5.092,288.073,1467.317
0:00:00.659030,5.088,286.976,1462.439
0:00:00.678369,5.100,263.878,1344.878
0:00:00.697727,5.100,263.780,1373.659
0:00:00.717056,5.096,271.463,1384.390
0:00:00.736408,5.096,268.585,1343.415
0:00:00.755765,5.092,263.463,1344.878
0:00:00.775107,5.096,263.683,1340.488
0:00:00.794544,5.096,263.585,1343.415
0:00:00.813865,5.100,263.463,1344.390
0:00:00.833253,5.096,263.463,1344.390
0:00:00.852681,5.096,263.463,1352.195
0:00:00.872113,5.100,263.585,1344.390
0:00:00.891477,5.096,263.585,1338.537
0:00:00.910821,5.100,269.366,1341.951
0:00:00.930158,5.100,263.366,1392.195
0:00:00.951331,5.096,272.683,1349.756
0:00:00.970721,5.092,263.585,1343.415
0:00:00.990058,5.100,264.878,1345.854
0:00:01.009397,5.080,335.366,1694.146
0:00:01.028754,5.080,330.878,1672.195
0:00:01.048103,5.080,310.561,1595.122
0:00:01.067451,5.088,298.171,1517.073
0:00:01.086871,5.088,297.780,1569.756
0:00:01.106744,5.088,300.561,1534.634
0:00:01.126147,5.060,379.659,1907.805
0:00:01.145532,5.060,375.976,1901.463
0:00:01.164914,5.060,377.561,1915.610
0:00:01.184269,5.060,375.976,1939.024
0:00:01.203700,5.060,385.854,1929.268
0:00:01.223050,5.032,377.561,1895.122
0:00:01.242393,5.060,375.366,1893.171
0:00:01.261773,5.064,375.854,1901.951
0:00:01.281327,5.060,374.976,1894.146
0:00:01.300761,5.060,395.073,1911.707
0:00:01.320099,5.060,374.463,1899.024
0:00:01.339501,5.064,376.171,1910.244
0:00:01.358871,5.060,374.659,1888.780
0:00:01.378213,5.064,378.073,1903.902
0:00:01.397556,5.060,375.171,1910.244
