TimeStamp, Voltage (V), Current (mA), Power (mW)
0:00:00.012949,5.088,289.073,1518.537
0:00:00.032521,5.088,289.268,1467.317
0:00:00.051871,5.092,289.073,1468.780
0:00:00.071282,5.088,288.780,1472.195
0:00:00.090608,5.092,288.976,1470.732
0:00:00.110017,5.088,288.878,1471.220
0:00:00.129384,5.092,288.780,1468.293
0:00:00.148741,5.092,288.683,1468.780
0:00:00.168121,5.092,288.463,1469.756
0:00:00.187541,5.092,289.268,1468.780
0:00:00.206896,5.092,288.780,1500.976
0:00:00.226256,5.092,294.366,1520.000
0:00:00.245602,5.084,295.561,1473.659
0:00:00.265084,5.084,288.463,1470.732
0:00:00.284442,5.092,288.683,1468.293
0:00:00.303778,5.092,288.878,1469.756
0:00:00.323156,5.092,288.683,1467.317
0:00:00.342514,5.088,287.976,1468.780
0:00:00.361904,5.092,288.780,1480.000
0:00:00.381279,5.088,288.366,1466.829
0:00:00.400600,5.092,288.366,1467.317
0:00:00.419981,5.088,289.463,1468.780
0:00:00.439324,5.092,290.878,1496.098
0:00:00.458660,5.088,288.780,1485.854
0:00:00.478046,5.092,295.171,1513.659
0:00:00.497527,5.088,295.976,1470.732
0:00:00.516912,5.088,288.366,1468.293
0:00:00.536250,5.092,288.463,1468.780
0:00:00.555595,5.088,288.268,1468.293
0:00:00.575068,5.088,288.780,1465.854
0:00:00.594428,5.088,288.463,1466.829
0:00:00.613786,5.092,288.268,1466.829
0:00:00.633122,5.088,288.171,1478.537
0:00:00.652436,5.092,288.463,1477.073
0:00:00.671791,5.088,288.366,1466.829
0:00:00.691175,5.092,288.683,1472.195
0:00:00.710532,5.092,288.073,1467.317
0:00:00.729890,5.088,290.171,1519.512
0:00:00.749237,5.096,272.878,1358.537
0:00:00.768565,5.096,263.683,1343.415
0:00:00.787943,5.100,263.780,1343.415
0:00:00.807275,5.100,263.585,1344.878
0:00:00.826725,5.100,265.683,1344.878
0:00:00.846084,5.100,265.073,1350.732
0:00:00.865436,5.096,265.171,1351.707
0:00:00.884774,5.096,265.585,1350.732
0:00:00.904244,5.100,267.780,1339.512
0:00:00.923631,5.096,264.366,1358.537
0:00:00.943180,5.100,268.683,1382.439
0:00:00.964474,5.096,271.585,1343.415
0:00:00.983860,5.096,263.878,1344.390
0:00:01.003231,5.076,326.268,1669.756
0:00:01.022666,5.080,325.268,1681.463
0:00:01.042028,5.084,326.659,1528.780
