TimeStamp, Voltage (V), Current (mA), Power (mW)
0:00:00.005259,5.088,289.683,1473.659
0:00:00.024821,5.088,289.366,1500.000
0:00:00.044273,5.088,295.976,1508.780
0:00:00.063632,5.084,296.073,1473.171
0:00:00.082977,5.088,288.976,1470.732
0:00:00.102361,5.092,290.976,1471.220
0:00:00.121786,5.092,290.878,1477.561
0:00:00.141140,5.092,289.171,1468.780
0:00:00.160481,5.092,288.976,1470.732
0:00:00.179834,5.088,289.268,1474.634
0:00:00.199205,5.092,290.171,1469.756
0:00:00.218565,5.088,289.878,1468.780
0:00:00.237933,5.088,291.463,1493.171
0:00:00.257447,5.088,291.268,1481.951
0:00:00.276803,5.088,288.683,1493.171
0:00:00.296245,5.092,297.976,1474.634
0:00:00.315627,5.084,288.463,1468.780
0:00:00.335077,5.092,290.268,1469.756
0:00:00.354582,5.088,288.683,1469.756
0:00:00.373926,5.088,288.780,1483.415
0:00:00.393372,5.088,288.683,1468.780
0:00:00.412756,5.088,288.878,1468.780
0:00:00.432100,5.092,287.463,1470.732
0:00:00.451431,5.092,288.683,1468.780
0:00:00.470875,5.092,289.976,1470.732
0:00:00.490293,5.088,288.463,1467.317
0:00:00.509660,5.088,288.683,1479.512
0:00:00.528994,5.092,288.561,1517.073
0:00:00.548334,5.092,297.878,1490.732
0:00:00.567689,5.096,265.268,1340.976
0:00:00.587042,5.096,263.171,1343.415
0:00:00.606590,5.100,265.073,1344.878
0:00:00.626233,5.096,263.878,1344.878
0:00:00.645594,5.100,263.878,1351.707
0:00:00.664969,5.100,263.073,1344.390
0:00:00.684304,5.100,263.780,1344.390
0:00:00.703669,5.100,263.585,1344.878
0:00:00.723000,5.096,263.683,1344.390
0:00:00.742348,5.096,264.073,1348.293
0:00:00.761771,5.096,263.780,1345.854
0:00:00.781123,5.100,263.683,1365.854
0:00:00.800506,5.100,270.976,1344.878
0:00:00.819988,5.096,263.780,1346.829
0:00:00.839403,5.096,265.073,1354.634
0:00:00.858761,5.100,263.585,1345.854
