TimeStamp, Voltage (V), Current (mA), Power (mW)
0:00:00.011341,5.092,296.171,1513.171
0:00:00.030907,5.088,294.463,1472.195
0:00:00.050295,5.084,289.073,1480.000
0:00:00.069636,5.088,289.073,1468.780
0:00:00.088978,5.092,290.171,1468.780
0:00:00.108365,5.092,288.780,1473.659
0:00:00.127702,5.088,288.561,1472.195
0:00:00.147053,5.088,288.780,1470.732
0:00:00.166383,5.088,288.878,1469.756
0:00:00.185818,5.088,288.780,1471.220
0:00:00.205174,5.088,288.780,1464.878
0:00:00.224525,5.092,288.976,1480.976
0:00:00.243902,5.092,288.878,1493.171
0:00:00.263286,5.088,294.976,1517.561
0:00:00.282612,5.088,296.780,1468.780
0:00:00.301976,5.088,289.073,1466.829
0:00:00.321336,5.092,288.561,1464.390
0:00:00.340667,5.092,288.463,1473.171
0:00:00.360000,5.088,289.780,1493.659
0:00:00.379335,5.092,288.463,1468.780
0:00:00.398668,5.088,288.561,1467.317
0:00:00.418029,5.092,288.561,1466.829
0:00:00.437444,5.092,288.463,1472.195
0:00:00.456833,5.088,288.268,1468.780
0:00:00.476187,5.088,288.171,1468.293
0:00:00.495531,5.088,288.268,1478.537
0:00:00.514968,5.088,290.780,1519.512
0:00:00.534342,5.092,297.878,1479.512
0:00:00.553698,5.096,268.366,1340.976
0:00:00.573109,5.100,263.171,1364.390
0:00:00.592629,5.100,263.780,1344.878
0:00:00.612276,5.100,263.683,1344.878
0:00:00.631641,5.096,263.976,1353.171
0:00:00.651004,5.100,263.585,1344.878
0:00:00.670397,5.100,263.780,1344.878
0:00:00.689766,5.100,263.585,1344.390
0:00:00.709192,5.096,263.683,1344.878
0:00:00.728535,5.096,263.976,1344.878
0:00:00.747881,5.096,263.366,1344.878
0:00:00.767214,5.100,263.878,1382.439
0:00:00.786655,5.100,280.463,1373.171
0:00:00.806028,5.096,263.780,1341.951
0:00:00.825380,5.096,264.463,1344.878
0:00:00.844709,5.096,263.683,1343.415
0:00:00.864140,5.100,263.878,1344.878
0:00:00.883525,5.100,263.585,1344.390
0:00:00.902877,5.096,263.878,1344.878
0:00:00.922243,5.100,263.073,1342.927
0:00:00.941565,5.100,263.463,1344.878
0:00:00.962567,5.096,263.585,1343.415
0:00:00.981908,5.100,263.976,1353.171
0:00:01.001455,5.080,332.463,1703.902
0:00:01.020851,5.080,331.366,1665.366
0:00:01.040180,5.080,334.561,1782.927
