TimeStamp, Voltage (V), Current (mA), Power (mW)
0:00:00.000313,5.088,290.366,1477.561
0:00:00.018839,5.092,289.780,1487.317
0:00:00.037180,5.092,289.683,1473.171
0:00:00.055510,5.088,290.976,1480.976
0:00:00.073924,5.092,289.878,1468.293
0:00:00.092260,5.092,289.366,1473.659
0:00:00.110602,5.092,289.878,1474.634
0:00:00.128927,5.088,291.878,1484.878
0:00:00.147296,5.088,289.268,1473.171
0:00:00.165650,5.088,289.171,1471.220
0:00:00.183976,5.088,289.073,1472.195
0:00:00.202309,5.088,289.268,1473.659
0:00:00.220645,5.092,290.878,1470.732
0:00:00.238967,5.088,289.366,1472.195
0:00:00.257350,5.088,288.780,1470.732
0:00:00.276415,5.088,289.171,1470.732
0:00:00.295749,5.092,292.463,1523.415
0:00:00.315096,5.092,298.268,1480.976
0:00:00.334576,5.088,288.976,1471.220
0:00:00.353932,5.088,289.463,1508.293
0:00:00.373327,5.088,288.561,1471.220
0:00:00.392791,5.088,288.683,1471.220
0:00:00.412151,5.092,288.976,1470.732
0:00:00.431494,5.092,288.976,1474.634
0:00:00.450827,5.088,288.976,1468.780
0:00:00.470240,5.088,289.073,1468.780
0:00:00.489601,5.088,288.683,1466.829
0:00:00.508927,5.088,396.268,1793.659
0:00:00.528265,5.100,263.463,1342.927
0:00:00.547662,5.096,271.585,1377.073
0:00:00.567300,5.096,269.366,1345.854
0:00:00.586651,5.092,263.976,1345.854
0:00:00.606093,5.096,264.463,1343.415
0:00:00.625438,5.096,264.073,1345.854
0:00:00.644780,5.100,265.463,1351.707
0:00:00.664144,5.096,265.976,1353.171
0:00:00.683600,5.100,265.463,1344.390
0:00:00.702952,5.096,264.073,1344.878
0:00:00.722291,5.096,263.683,1345.854
0:00:00.741642,5.096,265.171,1353.171
0:00:00.760986,5.100,264.366,1346.829
0:00:00.780319,5.096,263.878,1371.707
0:00:00.799702,5.100,271.171,1391.707
0:00:00.819040,5.096,273.073,1346.829
0:00:00.838373,5.096,263.683,1345.854
0:00:00.857704,5.096,267.073,1340.488
0:00:00.877062,5.096,263.366,1340.488
0:00:00.896438,5.096,263.976,1343.415
0:00:00.915801,5.096,263.878,1345.854
0:00:00.936999,5.100,263.780,1344.878
0:00:00.956374,5.096,264.073,1340.488
0:00:00.975727,5.096,263.780,1344.878
0:00:00.995070,5.100,263.683,1344.878
0:00:01.014559,5.072,328.463,1671.220
0:00:01.033931,5.076,329.561,1721.463
0:00:01.053270,5.084,330.659,1513.659
0:00:01.072715,5.084,302.976,1535.122
0:00:01.092130,5.088,312.366,1547.317
0:00:01.111528,5.060,376.854,2001.951
0:00:01.130874,5.060,377.756,1910.244
0:00:01.150202,5.060,382.171,2277.073
0:00:01.169557,5.060,497.049,1918.049
0:00:01.188924,5.060,377.976,1914.146
0:00:01.208258,5.064,376.366,1904.390
0:00:01.227646,5.060,378.659,1901.463
0:00:01.247004,5.060,378.976,1903.902
0:00:01.266365,5.060,379.268,1917.561
0:00:01.285702,5.056,379.073,2001.463
0:00:01.305033,5.060,384.463,2423.902
0:00:01.324503,5.056,476.244,1927.805
0:00:01.343864,5.060,379.171,1920.000
0:00:01.363224,5.060,386.854,1904.390
0:00:01.382562,5.064,378.854,1911.707
0:00:01.401909,5.060,377.756,1915.610
0:00:01.421263,5.056,387.561,1946.829
0:00:01.440645,5.064,377.561,1907.805
0:00:01.459990,5.060,377.976,1909.268
0:00:01.479339,5.060,376.976,1910.244
0:00:01.498672,5.056,379.073,1932.683
0:00:01.517995,5.060,379.561,1922.927
0:00:01.537362,5.060,376.561,1950.244
0:00:01.556701,5.052,388.268,2160.976
0:00:01.576141,5.056,377.268,1910.732
0:00:01.595489,5.060,380.756,1929.268
0:00:01.614826,5.056,381.854,1930.732
0:00:01.634154,5.060,381.659,1949.268
0:00:01.653658,5.056,382.366,1932.683
0:00:01.673022,5.056,384.561,1939.024
0:00:01.692352,5.056,552.341,2775.610
0:00:01.711701,5.056,382.561,2590.244
0:00:01.731033,5.056,381.268,1932.683
0:00:01.750364,5.056,381.659,1930.732
0:00:01.769723,5.060,382.659,1935.122
0:00:01.789041,5.056,382.659,1976.585
0:00:01.808364,5.064,391.561,1950.244
0:00:01.827691,5.056,550.146,1934.146
0:00:01.847033,5.056,547.854,1926.829
0:00:01.868101,5.060,399.073,1960.488
