TimeStamp, Voltage (V), Current (mA), Power (mW)
0:00:00.012713,5.096,266.073,1394.634
0:00:00.031302,5.096,270.171,1393.659
0:00:00.049674,5.096,269.976,1392.195
0:00:00.068033,5.096,270.585,1378.537
0:00:00.086363,5.092,269.780,1374.634
0:00:00.104708,5.096,268.366,1367.317
0:00:00.123055,5.096,266.268,1341.951
0:00:00.141378,5.096,263.878,1343.415
0:00:00.159712,5.096,263.878,1343.415
0:00:00.178050,5.096,263.366,1346.829
0:00:00.196405,5.100,263.171,1343.415
0:00:00.214828,5.076,329.780,1674.634
0:00:00.233258,5.076,324.463,1647.317
0:00:00.251617,5.076,328.878,1693.659
0:00:00.269981,5.084,301.561,1528.293
0:00:00.288310,5.080,301.268,1540.976
0:00:00.306673,5.088,301.878,1533.659
0:00:00.325147,5.056,382.756,1936.585
0:00:00.343662,5.056,380.659,2021.463
0:00:00.362068,5.020,495.146,1905.366
0:00:00.380432,5.060,379.854,1915.610
0:00:00.398883,5.056,381.366,1928.780
0:00:00.417505,5.060,380.171,1959.512
0:00:00.435896,5.056,379.854,1915.122
0:00:00.454333,5.060,378.756,1922.927
0:00:00.472678,5.060,379.073,1920.000
0:00:00.491019,5.056,381.268,1929.268
0:00:00.509349,5.060,377.756,1910.244
0:00:00.527690,5.060,378.976,1917.561
0:00:00.546021,5.056,379.171,1920.488
0:00:00.564345,5.056,379.366,1912.683
0:00:00.582677,5.060,380.268,1924.390
0:00:00.601013,5.060,377.854,1915.610
0:00:00.619349,5.056,379.268,1923.902
0:00:00.637678,5.060,380.561,1918.049
0:00:00.656001,5.056,380.463,1925.366
0:00:00.674333,5.060,389.073,1966.829
0:00:00.692654,5.060,380.268,1924.390
0:00:00.710999,5.060,379.756,1922.927
0:00:00.729327,5.060,380.463,1940.488
0:00:00.747645,5.056,378.659,1926.829
0:00:00.765961,5.056,377.976,1921.463
0:00:00.784391,5.056,378.073,1940.488
0:00:00.802792,5.060,378.073,1921.463
0:00:00.821831,5.056,379.854,1957.561
0:00:00.841164,5.060,387.659,1989.268
0:00:00.860488,5.056,384.659,1922.927
0:00:00.879816,5.056,380.976,1925.366
0:00:00.899161,5.056,379.976,1924.390
0:00:00.920189,5.056,381.561,1922.927
