TimeStamp, Voltage (V), Current (mA), Power (mW)
0:00:00.007203,5.088,289.073,1466.829
0:00:00.026891,5.092,289.073,1494.634
0:00:00.046302,5.092,290.976,1470.732
0:00:00.065697,5.088,288.878,1468.780
0:00:00.085070,5.088,290.268,1500.000
0:00:00.104473,5.088,296.878,1501.951
0:00:00.123834,5.084,293.683,1464.390
0:00:00.143229,5.088,288.463,1470.732
0:00:00.162615,5.088,288.561,1467.317
0:00:00.182055,5.088,290.171,1468.293
0:00:00.201510,5.088,288.268,1468.780
0:00:00.220889,5.088,288.683,1467.317
0:00:00.240281,5.084,288.561,1464.390
0:00:00.259870,5.092,288.561,1465.854
0:00:00.279270,5.088,288.268,1468.780
0:00:00.298641,5.088,288.366,1466.829
0:00:00.318100,5.088,290.463,1465.854
0:00:00.337491,5.088,288.268,1502.439
0:00:00.356868,5.088,294.268,1462.439
0:00:00.376265,5.088,288.268,1468.780
0:00:00.395639,5.088,288.171,1467.317
0:00:00.415014,5.088,288.171,1467.317
0:00:00.434413,5.088,288.878,1468.293
0:00:00.453793,5.088,290.073,1464.878
0:00:00.473204,5.088,288.073,1467.317
0:00:00.492582,5.092,288.171,1474.634
0:00:00.511957,5.088,288.171,1465.854
0:00:00.531424,5.092,288.463,1465.854
0:00:00.550793,5.088,288.073,1464.878
0:00:00.570173,5.088,288.366,1466.829
0:00:00.589694,5.088,290.878,1515.122
0:00:00.609076,5.088,297.366,1483.415
0:00:00.628527,5.088,295.171,1473.659
0:00:00.647979,5.088,289.780,1469.756
0:00:00.667422,5.088,288.268,1467.317
0:00:00.686867,5.096,263.585,1344.878
0:00:00.706249,5.100,263.585,1345.854
0:00:00.725624,5.100,264.976,1342.927
0:00:00.745030,5.096,263.683,1341.951
0:00:00.764408,5.096,263.780,1349.268
0:00:00.783778,5.100,263.463,1344.878
0:00:00.803143,5.100,263.366,1343.415
0:00:00.822526,5.096,263.463,1343.415
0:00:00.841902,5.092,269.878,1380.976
0:00:00.861387,5.096,270.878,1341.951
0:00:00.880760,5.096,263.171,1341.951
0:00:00.900171,5.100,262.976,1345.854
0:00:00.919731,5.096,262.780,1340.488
0:00:00.939509,5.096,263.780,1342.927
0:00:00.960804,5.096,264.073,1344.390
0:00:00.980273,5.096,264.268,1349.268
0:00:00.999749,5.076,326.561,1652.683
0:00:01.019285,5.072,324.976,1639.024
