TimeStamp, Voltage (V), Current (mA), Power (mW)
0:00:00.008035,5.088,287.878,1532.195
0:00:00.027625,5.088,287.976,1468.780
0:00:00.047008,5.092,288.561,1487.317
0:00:00.066607,5.088,297.976,1474.634
0:00:00.086015,5.088,288.780,1468.780
0:00:00.105535,5.088,290.073,1468.780
0:00:00.124944,5.088,288.366,1468.293
0:00:00.144329,5.092,287.463,1481.951
0:00:00.163807,5.088,288.683,1467.317
0:00:00.183349,5.092,288.463,1468.293
0:00:00.202791,5.088,289.780,1483.415
0:00:00.222254,5.092,288.561,1468.293
0:00:00.241641,5.092,290.171,1468.293
0:00:00.261016,5.088,287.268,1468.293
0:00:00.280420,5.092,288.463,1475.610
0:00:00.299812,5.088,288.561,1508.780
0:00:00.319226,5.088,298.561,1489.756
0:00:00.338623,5.088,288.171,1468.293
0:00:00.357996,5.088,288.366,1468.293
0:00:00.377392,5.088,289.073,1466.829
0:00:00.396771,5.088,288.073,1468.293
0:00:00.416152,5.088,287.976,1475.610
0:00:00.435621,5.088,288.073,1466.829
0:00:00.454993,5.088,288.366,1464.878
0:00:00.474398,5.088,288.171,1464.878
0:00:00.493852,5.088,287.463,1464.878
0:00:00.513245,5.088,300.561,1464.878
0:00:00.532643,5.092,287.976,1497.073
0:00:00.552142,5.092,293.976,1515.122
0:00:00.571534,5.088,295.780,1464.878
0:00:00.590917,5.084,288.073,1465.854
0:00:00.610286,5.088,288.073,1464.390
0:00:00.629654,5.088,288.073,1467.317
0:00:00.649082,5.092,287.780,1465.854
0:00:00.668460,5.088,287.976,1465.854
0:00:00.687846,5.096,263.463,1350.732
0:00:00.707370,5.096,263.976,1340.488
0:00:00.729163,5.096,263.683,1343.415
0:00:00.748671,5.096,263.463,1369.756
0:00:00.768079,5.096,271.171,1384.390
0:00:00.787484,5.096,268.878,1343.415
0:00:00.806869,5.096,263.366,1344.390
0:00:00.826362,5.096,263.463,1339.512
0:00:00.845744,5.096,263.366,1341.951
0:00:00.865182,5.096,263.878,1342.927
0:00:00.884682,5.096,263.366,1341.951
0:00:00.904074,5.096,263.780,1349.268
0:00:00.923451,5.100,263.585,1341.951
0:00:00.942869,5.096,263.366,1340.488
0:00:00.962258,5.100,263.366,1368.293
0:00:00.981699,5.096,263.268,1341.951
0:00:01.001484,5.076,331.171,1695.122
0:00:01.020943,5.080,329.463,1645.854
0:00:01.040383,5.072,314.780,1618.537
0:00:01.059834,5.088,296.683,1510.732
0:00:01.079235,5.088,297.683,1519.512
0:00:01.098632,5.088,298.073,1513.659
0:00:01.118023,5.088,297.683,1568.780
0:00:01.137414,5.076,322.073,1635.122
0:00:01.156835,5.076,321.073,1632.195
0:00:01.176394,5.064,381.171,1939.512
0:00:01.195799,5.056,381.854,1936.585
0:00:01.215187,5.056,381.976,1934.146
0:00:01.234647,5.060,380.171,1924.390
0:00:01.254047,5.060,381.171,1966.829
0:00:01.273435,5.056,383.268,1928.780
0:00:01.292810,5.056,379.659,1921.463
0:00:01.312195,5.056,381.073,1941.463
0:00:01.331565,5.060,379.073,1916.585
0:00:01.350941,5.060,379.073,1913.171
0:00:01.370491,5.056,379.976,1920.000
0:00:01.390191,5.060,381.171,1926.341
0:00:01.409621,5.060,381.073,1919.024
0:00:01.429029,5.056,381.268,1931.707
0:00:01.448427,5.060,380.976,1936.585
0:00:01.467810,5.056,381.561,1919.024
0:00:01.487362,5.056,380.366,1955.122
0:00:01.506750,5.060,383.854,1968.293
0:00:01.526152,5.056,382.073,1917.561
0:00:01.545710,5.060,381.171,1921.951
0:00:01.565102,5.060,381.366,1921.463
0:00:01.584527,5.060,381.171,1936.585
0:00:01.604044,5.056,382.073,1922.927
0:00:01.623445,5.056,385.463,1942.927
0:00:01.642823,5.056,379.268,1930.732
0:00:01.664104,5.060,381.073,1926.341
0:00:01.683554,5.056,379.976,1925.366
0:00:01.702925,5.060,380.268,1966.829
0:00:01.722307,5.060,389.561,1959.024
0:00:01.741672,5.056,385.073,1926.341
0:00:01.761056,5.056,382.366,1922.927
0:00:01.780482,5.056,381.366,1928.780
0:00:01.799857,5.056,380.561,1926.829
0:00:01.819236,5.056,380.756,1922.927
0:00:01.838613,5.056,380.463,1928.780
0:00:01.857995,5.056,381.854,1928.780
0:00:01.877488,5.060,381.268,1921.951
0:00:01.896889,5.056,381.171,1925.366
0:00:01.916345,5.060,380.171,1930.244
0:00:01.935730,5.060,380.171,1931.707
0:00:01.955099,5.056,381.366,1962.927
0:00:01.974537,5.056,387.463,1969.268
0:00:01.994015,5.056,391.854,1926.829
0:00:02.013397,5.060,381.463,1919.024
0:00:02.032844,5.060,381.366,1919.024
0:00:02.052213,5.056,380.659,1937.561
