TimeStamp, Voltage (V), Current (mA), Power (mW)
0:00:00.004721,5.088,289.268,1470.732
0:00:00.023252,5.092,288.878,1480.976
0:00:00.041620,5.088,288.976,1470.732
0:00:00.059986,5.092,291.463,1483.415
0:00:00.078315,5.092,293.878,1515.122
0:00:00.096660,5.084,295.683,1515.122
0:00:00.114997,5.092,294.366,1508.780
0:00:00.133354,5.088,296.366,1500.976
0:00:00.151845,5.088,294.073,1496.098
0:00:00.170205,5.088,291.878,1484.878
0:00:00.188539,5.088,288.780,1468.780
0:00:00.206882,5.088,288.780,1480.976
0:00:00.225216,5.088,396.268,2039.512
0:00:00.243676,5.088,287.268,1462.439
0:00:00.263158,5.088,288.878,1468.780
0:00:00.282865,5.088,288.463,1468.293
0:00:00.302263,5.088,288.463,1468.780
0:00:00.321749,5.088,288.171,1467.317
0:00:00.341197,5.088,288.171,1467.317
0:00:00.360608,5.088,288.171,1467.317
0:00:00.380116,5.092,288.780,1466.829
0:00:00.399541,5.088,288.976,1477.561
0:00:00.418910,5.088,288.073,1508.780
0:00:00.438340,5.088,298.683,1490.732
0:00:00.457762,5.088,290.683,1468.780
0:00:00.477152,5.088,288.073,1466.829
0:00:00.496559,5.088,288.366,1507.317
0:00:00.515946,5.088,288.366,1466.829
0:00:00.535398,5.096,265.976,1344.878
0:00:00.554806,5.096,263.463,1344.878
0:00:00.574185,5.096,263.585,1343.415
0:00:00.593548,5.096,263.585,1343.415
0:00:00.612947,5.096,263.463,1343.415
0:00:00.632321,5.096,263.463,1344.878
0:00:00.651810,5.096,263.780,1343.415
0:00:00.671194,5.096,264.171,1371.707
0:00:00.690623,5.096,270.463,1380.976
0:00:00.710081,5.096,271.463,1344.390
0:00:00.729449,5.096,263.463,1342.927
0:00:00.748856,5.096,263.780,1344.878
0:00:00.768259,5.096,263.878,1344.390
0:00:00.787658,5.096,263.683,1342.927
0:00:00.807032,5.096,264.171,1342.927
0:00:00.826402,5.096,263.585,1344.390
0:00:00.845773,5.100,263.171,1343.415
0:00:00.865150,5.100,263.463,1342.927
0:00:00.884573,5.096,263.878,1342.927
0:00:00.903948,5.096,264.780,1341.951
0:00:00.923407,5.096,272.683,1357.073
0:00:00.944631,5.096,264.268,1341.951
0:00:00.964049,5.096,263.268,1342.927
0:00:00.983524,5.096,263.268,1342.927
0:00:01.002916,5.076,328.878,1661.463
0:00:01.022317,5.076,322.561,1661.463
0:00:01.041860,5.072,316.463,1671.220
0:00:01.061239,5.088,299.366,1508.293
0:00:01.080648,5.088,295.366,1512.195
0:00:01.100137,5.084,315.878,1901.951
0:00:01.119524,5.060,382.171,1903.902
0:00:01.138927,5.064,373.561,1936.585
0:00:01.158289,5.048,417.366,2185.854
0:00:01.177654,5.044,409.756,2074.146
0:00:01.197069,5.044,412.049,2084.390
0:00:01.216463,5.052,409.951,2134.146
0:00:01.235851,5.048,410.463,2084.390
0:00:01.255249,5.044,406.268,2055.610
0:00:01.274626,5.048,409.951,2095.610
0:00:01.294042,5.048,404.463,2076.585
0:00:01.313536,5.048,402.756,2021.463
0:00:01.333004,5.048,407.659,2073.171
0:00:01.352482,5.048,406.561,2058.049
