TimeStamp, Voltage (V), Current (mA), Power (mW)
0:00:00.005892,5.088,288.366,1466.829
0:00:00.025475,5.088,287.780,1465.854
0:00:00.044921,5.092,290.268,1464.878
0:00:00.064601,5.092,288.463,1468.780
0:00:00.084041,5.088,288.463,1477.561
0:00:00.103427,5.088,288.366,1468.293
0:00:00.122834,5.088,288.463,1497.073
0:00:00.142409,5.092,294.780,1505.854
0:00:00.161833,5.088,293.683,1468.780
0:00:00.181255,5.084,288.171,1467.317
0:00:00.200746,5.088,288.268,1467.317
0:00:00.220163,5.088,288.171,1477.561
0:00:00.239530,5.088,288.463,1466.829
0:00:00.258907,5.088,288.268,1466.829
0:00:00.278299,5.088,288.366,1466.829
0:00:00.297672,5.088,287.878,1467.317
0:00:00.317067,5.088,287.878,1468.293
0:00:00.336439,5.088,289.171,1466.829
0:00:00.355861,5.088,288.366,1480.976
0:00:00.375246,5.088,291.976,1511.220
0:00:00.394624,5.092,297.683,1473.171
0:00:00.414042,5.084,287.976,1464.390
0:00:00.433422,5.088,287.878,1468.780
0:00:00.452791,5.088,291.878,1484.390
0:00:00.472318,5.088,289.976,1475.610
0:00:00.491697,5.092,290.366,1475.610
0:00:00.511075,5.088,290.073,1477.073
0:00:00.530546,5.088,290.268,1475.610
0:00:00.549942,5.088,287.976,1464.878
0:00:00.569356,5.092,288.171,1464.878
0:00:00.588739,5.092,287.780,1468.293
0:00:00.608108,5.096,263.463,1380.488
0:00:00.627499,5.100,263.585,1382.439
0:00:00.646878,5.096,273.366,1364.878
0:00:00.666260,5.096,265.976,1343.415
0:00:00.685623,5.096,263.878,1341.951
0:00:00.705002,5.100,263.463,1342.927
0:00:00.724426,5.096,263.463,1343.415
0:00:00.743923,5.100,263.780,1344.390
0:00:00.763331,5.100,262.683,1340.976
0:00:00.782747,5.096,263.463,1342.927
0:00:00.802205,5.104,263.463,1343.415
0:00:00.821594,5.100,263.268,1342.927
0:00:00.843359,5.096,267.073,1391.707
0:00:00.862767,5.096,274.171,1357.073
0:00:00.882230,5.096,263.366,1341.951
0:00:00.901701,5.096,264.878,1342.927
0:00:00.921095,5.096,263.366,1342.927
0:00:00.940566,5.096,269.878,1340.976
0:00:00.959949,5.100,263.585,1343.415
0:00:00.979353,5.096,263.683,1342.927
0:00:00.998778,5.076,324.366,1648.780
0:00:01.018393,5.076,327.659,1642.439
0:00:01.037798,5.072,322.659,1643.902
0:00:01.057164,5.084,297.073,1504.878
0:00:01.076551,5.088,300.780,1533.171
0:00:01.095964,5.088,304.976,1548.293
0:00:01.115369,5.060,374.366,1873.171
0:00:01.134740,5.048,385.268,1952.683
0:00:01.154154,5.056,388.854,1966.829
0:00:01.173520,5.052,394.171,1968.293
0:00:01.192887,5.056,388.463,1962.927
0:00:01.212474,5.056,392.854,1963.902
0:00:01.231867,5.056,388.951,1970.244
0:00:01.251237,5.056,389.268,1962.927
0:00:01.270706,5.056,389.561,1974.146
0:00:01.290082,5.056,389.659,1970.732
0:00:01.309463,5.056,395.171,1964.390
0:00:01.328903,5.056,388.854,2000.488
0:00:01.348338,5.056,396.268,2031.707
0:00:01.367721,5.052,388.463,1972.683
0:00:01.387115,5.056,388.951,1961.463
0:00:01.406526,5.052,388.171,1963.902
0:00:01.425975,5.056,390.854,1969.268
0:00:01.445350,5.052,403.366,1954.146
0:00:01.464725,5.056,390.268,1975.122
0:00:01.484107,5.052,388.854,1975.122
0:00:01.503498,5.020,382.366,1947.805
0:00:01.522943,5.056,388.756,1960.488
0:00:01.542548,5.052,388.268,1966.829
0:00:01.562344,5.056,389.756,1964.390
0:00:01.581769,5.052,398.171,2019.512
0:00:01.601169,5.052,393.561,1971.707
0:00:01.620680,5.052,391.854,1966.829
0:00:01.640070,5.056,388.659,1970.732
0:00:01.659471,5.056,392.756,1972.683
0:00:01.678858,5.052,390.366,1969.268
0:00:01.698247,5.052,390.463,1972.683
0:00:01.717665,5.056,394.171,1974.146
0:00:01.737027,5.052,390.073,1975.122
0:00:01.756428,5.056,391.366,1975.122
0:00:01.777564,5.056,390.659,1975.122
0:00:01.796991,5.056,388.561,1991.707
0:00:01.816404,5.056,397.268,1969.268
0:00:01.835780,5.052,388.854,2000.488
0:00:01.855145,5.056,388.463,1972.683
0:00:01.874520,5.056,388.366,1972.683
0:00:01.893900,5.056,390.463,1970.732
0:00:01.913275,5.052,389.366,1970.244
0:00:01.932683,5.056,390.659,1968.293
0:00:01.952071,5.052,389.951,1967.805
0:00:01.971534,5.056,389.366,1972.683
0:00:01.990919,5.052,391.073,1971.707
0:00:02.010327,5.056,391.073,1969.268
0:00:02.029867,5.056,389.268,1970.244
0:00:02.049258,5.056,390.951,2025.366
0:00:02.068651,5.052,400.659,2003.902
0:00:02.088020,5.052,390.171,1972.683
0:00:02.107420,5.056,389.659,1972.683
0:00:02.126873,5.056,390.756,1970.732
0:00:02.146248,5.052,388.951,1968.293
0:00:02.165636,5.056,391.366,1972.683
0:00:02.185034,5.056,390.463,1970.732
0:00:02.204411,5.056,389.561,1969.268
0:00:02.223896,5.056,389.561,1959.024
0:00:02.243294,5.052,390.951,1969.268
0:00:02.262763,5.056,389.659,1970.732
0:00:02.282223,5.056,389.561,2009.268
0:00:02.301626,5.056,395.073,2010.244
0:00:02.321063,5.056,396.463,1975.122
0:00:02.340564,5.052,390.659,1976.585
0:00:02.359949,5.052,392.561,1978.049
0:00:02.379325,5.056,390.366,1964.390
0:00:02.398718,5.052,392.854,1990.732
0:00:02.418144,5.056,389.366,1977.073
0:00:02.437517,5.056,391.756,1977.073
0:00:02.456886,5.056,393.756,1970.244
0:00:02.476265,5.056,389.366,1975.122
0:00:02.495658,5.056,390.268,1972.683
0:00:02.515064,5.056,388.854,1968.293
0:00:02.534483,5.056,390.756,1979.512
0:00:02.553873,5.056,395.561,2015.610
0:00:02.573254,5.056,402.756,1972.683
0:00:02.592639,5.052,390.268,1975.610
0:00:02.612020,5.056,391.463,1970.244
0:00:02.631531,5.056,390.073,1972.683
0:00:02.650915,5.052,390.463,1979.512
0:00:02.670294,5.056,389.366,1974.146
0:00:02.689836,5.056,391.854,1972.683
0:00:02.709244,5.052,390.951,1972.683
0:00:02.730547,5.056,390.073,1971.707
0:00:02.749950,5.056,394.366,1975.122
0:00:02.769342,5.052,392.073,2006.829
0:00:02.788748,5.056,403.659,1975.610
0:00:02.808158,5.048,391.268,1993.171
0:00:02.827596,5.052,391.561,1982.927
0:00:02.846961,5.056,390.854,1975.122
0:00:02.866347,5.056,392.171,1965.366
0:00:02.885715,5.056,391.073,1970.732
0:00:02.905122,5.052,389.756,1974.146
0:00:02.924533,5.056,389.756,1997.073
0:00:02.943902,5.052,390.366,1975.122
0:00:02.963288,5.052,389.756,1974.146
0:00:02.982654,5.052,390.756,1974.146
0:00:03.002022,5.012,497.146,1973.171
0:00:03.021563,5.056,392.854,2019.024
0:00:03.041046,5.056,399.659,1971.707
0:00:03.060842,5.056,395.366,1975.122
0:00:03.080269,5.052,391.463,1981.463
0:00:03.099885,5.056,391.756,1972.683
0:00:03.119362,5.052,387.659,1967.805
0:00:03.138754,5.052,388.561,1975.122
0:00:03.158147,5.056,388.463,1980.488
0:00:03.177519,5.060,388.268,1968.293
0:00:03.196898,5.056,393.659,1965.366
0:00:03.216328,5.056,389.659,1975.122
0:00:03.235720,5.060,389.171,1965.366
0:00:03.255108,5.056,388.659,2001.463
0:00:03.274507,5.056,398.463,1992.683
0:00:03.293894,5.052,393.171,1969.268
0:00:03.313270,5.052,389.366,1970.732
0:00:03.332725,5.056,394.659,1962.927
0:00:03.352249,5.056,390.561,1961.463
0:00:03.371636,5.056,389.659,1965.366
0:00:03.391009,5.052,390.171,1970.732
0:00:03.410378,5.056,390.171,1972.683
0:00:03.429876,5.056,391.268,1965.366
0:00:03.449259,5.052,388.561,1964.390
0:00:03.468656,5.056,395.073,1970.732
0:00:03.488021,5.052,390.268,2001.463
0:00:03.507397,5.052,394.951,2017.073
0:00:03.526813,5.052,401.366,1969.268
0:00:03.546180,5.052,389.268,1961.951
0:00:03.565548,5.056,389.756,1967.805
0:00:03.584913,5.056,389.171,1970.732
0:00:03.604295,5.056,389.366,1993.171
0:00:03.623711,5.056,389.756,1969.268
0:00:03.643173,5.056,389.073,1970.732
0:00:03.664332,5.056,388.171,1987.805
0:00:03.683719,5.052,389.073,1968.293
0:00:03.703212,5.056,389.463,1967.805
0:00:03.722641,5.056,389.268,1999.512
0:00:03.742025,5.056,396.561,1998.049
0:00:03.761487,5.052,394.659,1972.683
0:00:03.780869,5.056,388.171,1966.829
0:00:03.800244,5.052,389.951,1965.366
0:00:03.819738,5.052,391.854,1969.268
0:00:03.839126,5.056,389.756,1962.927
0:00:03.858510,5.056,389.756,1970.732
0:00:03.877876,5.056,389.951,1982.927
0:00:03.897259,5.056,388.951,1971.707
0:00:03.916651,5.056,388.951,1971.707
0:00:03.936057,5.056,391.561,1970.732
0:00:03.955451,5.056,387.951,1965.366
0:00:03.974830,5.052,388.171,1995.122
0:00:03.994189,5.052,395.659,2008.293
0:00:04.013565,5.056,388.463,1966.341
0:00:04.033106,5.056,387.951,1962.927
0:00:04.052558,5.052,390.854,1973.171
0:00:04.071945,5.056,389.854,1964.390
0:00:04.091450,5.056,389.951,1967.805
0:00:04.110855,5.052,390.659,1969.268
0:00:04.130297,5.052,388.854,1970.732
0:00:04.149762,5.056,390.171,1971.707
0:00:04.169149,5.056,392.659,2023.415
0:00:04.188622,5.056,389.659,1974.146
0:00:04.208035,5.052,389.854,1967.805
0:00:04.227488,5.056,390.268,2020.488
0:00:04.246867,5.056,397.561,1989.268
0:00:04.266249,5.052,390.854,1977.073
0:00:04.285616,5.056,394.268,1967.805
0:00:04.304994,5.052,390.171,1974.146
0:00:04.324412,5.052,389.171,1969.268
0:00:04.343958,5.056,390.854,1976.585
0:00:04.363391,5.056,388.854,1967.805
0:00:04.382755,5.056,388.854,1968.293
0:00:04.402232,5.056,388.366,1966.341
0:00:04.421698,5.056,389.463,1969.268
0:00:04.441076,5.056,388.756,1965.366
0:00:04.460538,5.056,390.073,2004.390
0:00:04.479923,5.056,395.268,2005.366
0:00:04.499294,5.052,398.561,1964.390
0:00:04.518820,5.048,388.463,2029.268
0:00:04.538278,5.056,388.073,1970.732
0:00:04.557977,5.056,388.171,1978.049
0:00:04.577408,5.056,390.659,1972.683
0:00:04.598584,5.052,389.171,1968.293
0:00:04.618171,5.056,389.659,1967.805
