TimeStamp, Voltage (V), Current (mA), Power (mW)
0:00:00.008908,5.092,288.561,1469.756
0:00:00.028509,5.080,300.268,1472.195
0:00:00.047944,5.092,289.268,1472.195
0:00:00.067351,5.092,289.171,1472.195
0:00:00.086717,5.088,290.463,1475.610
0:00:00.106100,5.092,288.561,1473.171
0:00:00.125467,5.088,289.780,1469.756
0:00:00.144858,5.092,288.878,1514.634
0:00:00.164339,5.088,299.463,1491.220
0:00:00.183734,5.084,290.366,1470.732
0:00:00.203120,5.088,288.780,1469.756
0:00:00.222494,5.092,288.780,1468.293
0:00:00.241991,5.092,288.878,1468.780
0:00:00.261420,5.088,290.976,1477.073
0:00:00.280830,5.088,288.561,1468.780
0:00:00.300203,5.088,288.976,1470.732
0:00:00.319593,5.088,287.463,1464.390
0:00:00.339066,5.088,287.683,1465.854
0:00:00.358818,5.092,288.780,1467.317
0:00:00.378235,5.088,288.561,1500.976
0:00:00.397643,5.088,294.366,1508.780
0:00:00.417002,5.088,295.268,1471.220
0:00:00.436379,5.088,288.561,1468.780
0:00:00.455767,5.092,288.268,1468.293
0:00:00.475296,5.088,288.463,1468.293
0:00:00.494703,5.088,288.463,2057.073
0:00:00.514075,5.088,290.780,1480.000
0:00:00.533565,5.088,288.463,1467.317
0:00:00.552963,5.100,266.366,1359.512
0:00:00.572341,5.096,266.463,1358.537
0:00:00.591852,5.096,263.976,1344.878
0:00:00.611304,5.100,263.878,1345.854
0:00:00.630688,5.096,265.683,1364.878
0:00:00.650090,5.096,269.073,1391.707
0:00:00.669469,5.096,273.683,1354.634
0:00:00.688854,5.096,263.780,1344.878
0:00:00.708271,5.100,263.780,1345.854
0:00:00.727638,5.096,263.878,1346.829
0:00:00.747033,5.100,263.878,1344.878
0:00:00.766407,5.096,263.976,1344.878
0:00:00.785794,5.096,263.878,1344.878
0:00:00.805283,5.096,264.171,1344.878
0:00:00.824659,5.096,263.780,1343.415
0:00:00.844050,5.096,263.780,1344.878
0:00:00.863525,5.096,263.683,1344.390
0:00:00.882917,5.096,263.683,1377.073
0:00:00.902307,5.096,272.976,1370.732
0:00:00.921701,5.096,267.780,1343.415
0:00:00.941223,5.096,263.585,1344.878
0:00:00.962356,5.100,263.878,1344.390
0:00:00.981839,5.100,264.073,1343.415
0:00:01.001232,5.080,323.463,1661.463
0:00:01.020684,5.080,322.268,1625.854
0:00:01.040085,5.076,318.366,1624.878
0:00:01.059482,5.088,297.683,1508.293
0:00:01.078852,5.084,297.268,1519.512
0:00:01.098217,5.088,297.171,1516.098
0:00:01.117588,5.060,374.561,1916.585
0:00:01.136970,5.060,381.756,1947.805
0:00:01.156358,5.056,376.073,1920.000
0:00:01.175739,5.056,376.463,1906.341
0:00:01.195307,5.060,377.463,1906.341
0:00:01.214753,5.060,377.463,1911.707
0:00:01.234144,5.060,380.463,1918.049
0:00:01.253629,5.056,376.756,1909.268
0:00:01.273021,5.060,385.268,1941.951
0:00:01.292394,5.060,384.073,1988.293
0:00:01.311853,5.056,384.171,1946.829
0:00:01.331282,5.060,385.854,1951.707
0:00:01.350701,5.056,387.854,1990.732
0:00:01.370082,5.060,390.561,1948.293
0:00:01.389467,5.056,384.366,1946.829
0:00:01.408835,5.056,384.951,1928.780
0:00:01.428214,5.060,378.268,1928.780
0:00:01.447627,5.060,379.561,1950.244
0:00:01.467004,5.060,385.366,1950.244
0:00:01.486397,5.056,384.756,1942.927
0:00:01.505758,5.060,380.073,1923.902
0:00:01.525240,5.060,380.268,1924.390
0:00:01.544656,5.056,378.561,1913.171
0:00:01.564050,5.060,377.976,1932.683
0:00:01.583515,5.056,382.073,1915.122
