TimeStamp, Voltage (V), Current (mA), Power (mW)
0:00:00.000252,5.084,290.171,1480.000
0:00:00.019903,5.088,289.171,1472.195
0:00:00.039289,5.088,288.976,1469.756
0:00:00.058868,5.088,289.268,1472.195
0:00:00.078265,5.088,288.780,1469.756
0:00:00.097661,5.088,288.976,1484.878
0:00:00.117124,5.080,288.683,1469.756
0:00:00.136507,5.092,288.683,1469.756
0:00:00.155883,5.088,289.561,1468.293
0:00:00.175370,5.092,288.780,1468.780
0:00:00.194880,5.088,293.463,1517.561
0:00:00.214280,5.088,297.780,1476.098
0:00:00.233720,5.084,288.366,1480.000
0:00:00.253121,5.088,288.683,1467.317
0:00:00.272491,5.088,288.561,1467.317
0:00:00.291853,5.088,289.073,1469.756
0:00:00.311275,5.092,288.780,1468.293
0:00:00.330661,5.088,288.878,1468.780
0:00:00.350079,5.088,287.878,1466.829
0:00:00.369614,5.088,287.683,1476.098
0:00:00.389298,5.088,288.268,1507.317
0:00:00.408792,5.088,288.268,1476.098
0:00:00.428239,5.088,288.780,1496.098
0:00:00.447676,5.088,296.171,1500.976
0:00:00.467143,5.088,294.073,1468.780
0:00:00.486527,5.088,288.366,1467.317
0:00:00.505920,5.088,288.171,1479.512
0:00:00.525361,5.092,288.463,1468.780
0:00:00.544788,5.092,288.463,1466.829
0:00:00.564226,5.088,288.561,1465.854
0:00:00.583635,5.088,288.366,1467.317
0:00:00.603047,5.096,264.073,1345.854
0:00:00.622414,5.096,263.683,1344.878
0:00:00.641798,5.096,263.683,1351.707
0:00:00.661282,5.096,264.073,1343.415
0:00:00.680689,5.096,268.878,1391.707
0:00:00.700088,5.096,272.683,1348.293
0:00:00.719546,5.092,265.780,1345.854
0:00:00.738938,5.096,264.268,1344.390
0:00:00.758330,5.096,263.683,1343.415
0:00:00.777765,5.096,263.683,1349.756
0:00:00.797370,5.100,263.683,1343.415
0:00:00.816767,5.096,263.976,1344.878
0:00:00.836218,5.096,263.463,1342.927
0:00:00.855653,5.096,263.780,1342.927
0:00:00.875068,5.096,264.585,1343.415
0:00:00.894471,5.096,263.463,1384.390
0:00:00.913933,5.096,263.463,1349.268
0:00:00.933307,5.096,269.268,1341.951
0:00:00.954437,5.096,263.585,1345.854
0:00:00.973821,5.096,263.463,1344.390
0:00:00.993243,5.096,263.268,1343.415
0:00:01.012621,5.072,329.878,1667.805
0:00:01.032045,5.076,332.463,1670.244
0:00:01.051422,5.088,295.683,1504.878
0:00:01.070802,5.088,299.268,1518.537
0:00:01.090181,5.088,298.268,1525.854
0:00:01.109631,5.060,375.659,1897.561
0:00:01.129022,5.060,376.366,1892.683
0:00:01.148426,5.060,376.561,1943.902
