TimeStamp, Voltage (V), Current (mA), Power (mW)
0:00:00.008710,5.088,302.683,1470.732
0:00:00.028314,5.088,289.171,1468.780
0:00:00.047735,5.088,288.780,1469.756
0:00:00.067145,5.084,288.976,1471.220
0:00:00.086514,5.088,288.780,1468.780
0:00:00.105893,5.088,289.073,1468.293
0:00:00.125267,5.092,288.561,1487.317
0:00:00.144642,5.088,294.073,1514.634
0:00:00.164082,5.088,296.878,1468.293
0:00:00.183520,5.088,288.561,1467.317
0:00:00.202898,5.088,288.976,1468.293
0:00:00.222295,5.092,288.268,1468.780
0:00:00.241754,5.092,288.561,1478.537
0:00:00.261179,5.088,288.366,1468.780
0:00:00.280571,5.088,288.366,1467.317
0:00:00.300017,5.092,288.561,1476.098
0:00:00.319407,5.088,288.268,1466.829
0:00:00.338779,5.088,310.878,1467.317
0:00:00.358142,5.088,287.976,1470.732
0:00:00.377546,5.088,288.268,1477.561
0:00:00.396919,5.088,289.171,1513.659
0:00:00.416308,5.088,297.463,1481.951
0:00:00.435688,5.088,289.780,1466.829
0:00:00.455056,5.088,288.171,1466.829
0:00:00.474474,5.088,288.683,1467.317
0:00:00.493852,5.088,287.976,1468.293
0:00:00.513331,5.088,288.073,1477.561
0:00:00.532724,5.088,288.268,1465.854
0:00:00.552110,5.092,288.171,1464.878
0:00:00.571468,5.092,263.878,1343.415
0:00:00.590988,5.100,263.585,1344.878
0:00:00.610366,5.096,265.976,1343.415
0:00:00.629750,5.100,263.463,1378.049
0:00:00.649202,5.092,269.878,1390.732
0:00:00.668601,5.096,269.780,1343.415
0:00:00.688014,5.096,262.780,1350.732
0:00:00.707402,5.096,262.683,1339.512
0:00:00.726790,5.100,263.683,1342.927
0:00:00.746161,5.084,272.780,1393.659
0:00:00.765532,5.096,263.585,1343.415
0:00:00.784922,5.096,265.780,1360.488
0:00:00.804338,5.100,265.780,1350.732
0:00:00.823720,5.100,265.683,1353.171
0:00:00.843086,5.096,265.683,1353.171
0:00:00.862543,5.100,265.585,1354.634
0:00:00.881940,5.096,263.366,1364.878
0:00:00.901330,5.096,269.073,1389.756
0:00:00.920836,5.096,263.463,1345.854
0:00:00.940222,5.096,263.585,1343.415
0:00:00.961931,5.096,263.463,1341.951
0:00:00.981336,5.100,263.268,1342.927
0:00:01.000792,5.076,326.073,1663.902
0:00:01.020224,5.076,327.463,1640.000
0:00:01.039612,5.076,334.073,1601.463
0:00:01.059002,5.088,293.780,1494.634
0:00:01.078389,5.084,302.366,1505.854
0:00:01.097820,5.084,295.683,1551.220
0:00:01.117266,5.088,301.073,1543.902
0:00:01.136708,5.084,302.171,1504.390
0:00:01.156093,5.084,294.878,1504.390
0:00:01.175472,5.088,302.878,1494.634
0:00:01.194857,5.068,362.366,1833.659
0:00:01.214589,5.064,362.976,1839.024
0:00:01.233997,5.064,363.073,1840.000
0:00:01.253428,5.064,362.171,1834.146
0:00:01.272814,5.064,360.854,1841.463
0:00:01.292723,5.064,363.268,1840.000
0:00:01.312243,5.068,362.561,1836.585
0:00:01.331754,5.064,363.366,1839.024
0:00:01.351159,5.064,366.561,1893.171
0:00:01.370582,5.064,365.268,1839.024
0:00:01.390059,5.060,363.268,1840.000
0:00:01.409448,5.064,363.854,1846.341
0:00:01.428877,5.064,365.659,1851.220
0:00:01.448243,5.064,363.073,1842.927
0:00:01.467646,5.068,363.659,1843.902
0:00:01.487071,5.064,364.756,1840.488
0:00:01.506479,5.060,362.854,1841.463
0:00:01.525895,5.064,363.463,1841.463
0:00:01.545267,5.064,363.756,1850.244
0:00:01.564653,5.060,363.756,1840.488
0:00:01.584026,5.064,363.976,1871.707
0:00:01.603402,5.060,371.073,1880.000
0:00:01.622863,5.064,368.171,1841.463
0:00:01.642238,5.064,363.976,1842.439
0:00:01.661725,5.064,363.659,1840.488
0:00:01.681111,5.064,364.171,1852.683
0:00:01.700482,5.068,363.976,1840.488
0:00:01.720039,5.064,364.756,1843.902
0:00:01.739486,5.064,363.561,1843.902
0:00:01.758879,5.064,364.756,1846.829
0:00:01.778264,5.064,364.463,1846.341
0:00:01.797688,5.064,364.561,1844.390
0:00:01.817095,5.064,363.976,1862.439
0:00:01.836469,5.064,369.268,1895.122
0:00:01.855890,5.068,372.756,1843.902
0:00:01.875271,5.060,363.976,1846.341
0:00:01.896422,5.064,363.659,1843.902
0:00:01.915845,5.064,364.659,1843.902
0:00:01.935267,5.064,364.463,1842.927
0:00:01.954638,5.064,366.073,1841.463
0:00:01.974095,5.064,363.854,1842.439
0:00:01.993479,5.060,363.976,1853.659
0:00:02.012847,5.064,363.976,1842.927
0:00:02.032285,5.064,364.268,1843.902
0:00:02.051853,5.064,364.268,1873.171
0:00:02.071241,5.064,370.756,1877.561
0:00:02.090667,5.064,370.756,1842.439
0:00:02.110125,5.064,363.854,1843.902
0:00:02.129532,5.060,364.268,1854.146
0:00:02.148902,5.064,364.561,1844.390
0:00:02.168273,5.068,364.073,1847.805
0:00:02.187641,5.064,364.268,1840.000
0:00:02.207003,5.064,364.268,1844.390
0:00:02.226464,5.064,365.756,1842.439
0:00:02.245835,5.064,364.171,1851.220
0:00:02.265206,5.064,364.171,1852.683
0:00:02.284577,5.052,404.268,2141.951
0:00:02.303957,5.052,407.659,2079.024
0:00:02.323394,5.048,414.561,2120.488
0:00:02.342822,5.052,422.463,2062.927
0:00:02.362201,5.044,399.268,2021.463
0:00:02.381688,5.044,410.463,2050.244
0:00:02.401081,5.048,403.366,2043.415
0:00:02.420480,5.032,409.561,2054.146
0:00:02.439840,5.048,405.561,2045.854
0:00:02.459331,5.052,412.854,2050.244
0:00:02.478720,5.048,405.171,2059.512
0:00:02.498092,5.048,304.780,1480.976
