TimeStamp, Voltage (V), Current (mA), Power (mW)
0:00:00.003468,5.088,289.073,1481.951
0:00:00.023101,5.088,288.463,1473.171
0:00:00.042483,5.092,288.366,1468.293
0:00:00.061891,5.088,288.268,1466.829
0:00:00.081241,5.088,288.561,1467.317
0:00:00.100609,5.088,288.366,1465.854
0:00:00.119966,5.088,287.976,1496.098
0:00:00.139481,5.088,295.073,1516.098
0:00:00.158861,5.088,293.463,1466.829
0:00:00.178281,5.088,292.463,1482.439
0:00:00.197846,5.088,288.268,1464.878
0:00:00.217226,5.092,288.463,1463.415
0:00:00.236645,5.088,288.073,1489.756
0:00:00.256037,5.088,288.073,1465.854
0:00:00.275400,5.088,288.073,1477.561
0:00:00.294842,5.088,287.878,1464.878
0:00:00.314221,5.088,287.976,1464.878
0:00:00.333602,5.088,288.561,1464.878
0:00:00.353018,5.092,287.878,1464.878
0:00:00.372403,5.092,289.366,1495.122
0:00:00.391855,5.092,294.171,1511.220
0:00:00.411304,5.092,295.780,1474.634
0:00:00.430705,5.048,287.171,1458.537
0:00:00.450188,5.088,286.976,1462.439
0:00:00.472089,5.088,287.366,1465.854
0:00:00.491683,5.088,287.780,1470.732
0:00:00.511191,5.092,287.683,1465.854
0:00:00.530578,5.092,287.878,1464.878
0:00:00.549958,5.088,288.171,1457.561
0:00:00.569441,5.092,287.878,1464.878
0:00:00.588818,5.092,287.683,1497.561
0:00:00.608191,5.088,293.683,1503.415
0:00:00.627563,5.088,294.268,1464.878
0:00:00.647028,5.088,287.976,1463.415
0:00:00.666493,5.088,287.463,1459.512
0:00:00.685872,5.096,263.463,1343.415
0:00:00.705270,5.096,263.366,1341.951
0:00:00.724645,5.096,263.463,1343.415
0:00:00.744001,5.100,263.585,1342.927
0:00:00.763398,5.096,263.268,1341.951
0:00:00.782812,5.092,264.878,1349.756
0:00:00.802206,5.100,263.073,1343.415
0:00:00.821636,5.100,263.366,1340.488
0:00:00.841113,5.096,267.073,1391.707
0:00:00.860482,5.100,272.585,1349.756
0:00:00.879885,5.092,263.073,1340.976
0:00:00.899425,5.096,262.878,1342.927
0:00:00.918813,5.096,263.366,1340.976
0:00:00.938181,5.096,263.366,1340.488
0:00:00.957652,5.096,263.073,1340.488
0:00:00.977106,5.096,263.171,1341.951
0:00:00.996576,5.072,331.073,1662.439
0:00:01.016000,5.076,346.366,1683.415
0:00:01.035430,5.076,330.659,1645.854
0:00:01.054861,5.084,298.171,1530.732
0:00:01.074233,5.088,300.683,1559.512
0:00:01.093655,5.084,312.073,1584.878
0:00:01.113043,5.080,308.976,1537.561
0:00:01.132419,5.084,303.976,1547.317
0:00:01.151845,5.080,303.878,1532.195
0:00:01.171209,5.088,301.366,1534.634
0:00:01.190572,5.084,301.268,1530.732
0:00:01.209969,5.084,374.756,1905.366
0:00:01.229527,5.060,376.756,1899.024
0:00:01.248908,5.060,378.073,1901.951
0:00:01.268320,5.056,413.756,1899.024
0:00:01.287773,5.056,376.073,1947.805
0:00:01.307198,5.060,376.073,1900.488
0:00:01.326579,5.060,375.561,1941.951
0:00:01.345956,5.060,381.854,1950.244
0:00:01.365378,5.056,376.561,1906.829
0:00:01.385219,5.060,377.561,1901.463
0:00:01.404656,5.060,377.366,1906.829
0:00:01.425753,5.064,376.171,1905.366
0:00:01.445149,5.060,379.268,1906.341
0:00:01.464548,5.060,375.659,1904.390
0:00:01.483941,5.060,377.171,1921.463
0:00:01.503402,5.060,376.854,1904.390
0:00:01.522785,5.060,376.366,1906.829
0:00:01.542157,5.060,377.268,1929.268
0:00:01.561514,5.056,384.366,1950.244
0:00:01.580900,5.056,385.756,1903.902
0:00:01.600368,5.060,378.976,1914.146
0:00:01.619754,5.060,376.976,1922.927
0:00:01.639124,5.060,376.854,1903.902
0:00:01.658592,5.060,376.268,1906.829
0:00:01.677966,5.060,378.854,1905.366
0:00:01.697418,5.060,377.561,1908.780
0:00:01.716898,5.064,390.854,1906.341
0:00:01.736357,5.060,377.268,1995.122
0:00:01.755752,5.060,378.171,1923.902
0:00:01.775117,5.060,377.171,1904.390
0:00:01.794474,5.056,376.659,1932.683
0:00:01.813878,5.060,383.171,1959.512
0:00:01.833253,5.056,383.659,1907.805
0:00:01.852656,5.056,377.171,1911.707
0:00:01.872026,5.060,378.366,1904.390
0:00:01.891397,5.060,376.854,1927.805
0:00:01.910808,5.060,377.366,1903.902
0:00:01.930271,5.016,492.561,1891.220
0:00:01.949655,5.060,376.268,1901.951
0:00:01.969096,5.056,376.366,1903.902
0:00:01.988783,5.052,380.561,1903.902
0:00:02.008232,5.060,377.854,1916.585
0:00:02.027720,5.060,377.171,1931.707
0:00:02.047128,5.056,377.976,1950.244
0:00:02.066513,5.060,388.463,1940.488
0:00:02.085931,5.056,381.171,1910.244
0:00:02.105395,5.056,377.659,1906.341
0:00:02.124780,5.056,378.756,1910.244
0:00:02.144158,5.060,377.756,1913.171
0:00:02.163540,5.060,379.073,1931.707
0:00:02.182911,5.060,376.976,1909.268
0:00:02.202311,5.056,378.463,1906.829
0:00:02.221712,5.060,378.073,1911.707
0:00:02.241270,5.060,377.268,1905.366
0:00:02.260679,5.060,379.659,1907.805
0:00:02.280143,5.060,377.366,1939.024
0:00:02.299590,5.056,382.268,1962.927
0:00:02.318975,5.060,387.463,1912.683
0:00:02.338363,5.056,376.756,1908.780
0:00:02.359651,5.060,377.463,1913.171
0:00:02.379042,5.056,377.268,1907.805
0:00:02.398592,5.060,382.073,1926.829
0:00:02.417989,5.060,379.366,1914.146
0:00:02.437349,5.060,378.366,1909.268
0:00:02.456729,5.060,377.976,1913.171
0:00:02.476094,5.056,378.976,1920.000
0:00:02.495460,5.060,377.561,1911.707
0:00:02.514864,5.056,376.756,1944.390
0:00:02.534219,5.060,387.073,1939.512
0:00:02.553589,5.056,380.659,1910.244
0:00:02.572955,5.060,379.854,2113.171
0:00:02.592335,5.060,377.976,1913.171
0:00:02.611733,5.060,378.463,1909.268
0:00:02.631252,5.060,377.171,1914.146
0:00:02.650636,5.060,376.854,1915.122
0:00:02.670002,5.060,377.073,1911.707
0:00:02.689445,5.060,378.171,1911.707
0:00:02.708898,5.056,380.073,1913.171
0:00:02.728279,5.056,380.171,1917.561
0:00:02.747746,5.056,379.659,1911.707
0:00:02.767126,5.056,377.756,1952.683
0:00:02.786490,5.060,386.073,1915.122
0:00:02.805892,5.052,381.366,1938.049
0:00:02.825272,5.056,379.561,1921.951
0:00:02.844664,5.060,382.854,1920.488
0:00:02.864039,5.060,380.561,1919.024
