TimeStamp, Voltage (V), Current (mA), Power (mW)
0:00:00.006482,5.092,290.683,1468.780
0:00:00.026113,5.088,288.683,1470.732
0:00:00.045488,5.088,288.780,1481.951
0:00:00.064900,5.088,288.780,1464.878
0:00:00.084282,5.088,288.463,1468.293
0:00:00.103682,5.092,288.268,1468.293
0:00:00.123059,5.088,288.366,1467.317
0:00:00.142476,5.088,289.463,1467.317
0:00:00.161968,5.084,288.366,1498.537
0:00:00.181354,5.088,293.561,1524.878
0:00:00.200758,5.088,294.878,1466.829
0:00:00.220267,5.084,288.268,1466.829
0:00:00.239677,5.088,288.683,1466.829
0:00:00.259051,5.088,288.073,1464.878
0:00:00.278432,5.088,289.366,1465.854
0:00:00.297810,5.088,288.268,1461.951
0:00:00.317239,5.088,287.976,1479.512
0:00:00.336661,5.088,288.073,1466.829
0:00:00.356038,5.088,287.976,1465.854
0:00:00.375416,5.088,288.683,1464.878
0:00:00.394783,5.088,289.976,1466.829
0:00:00.414161,5.088,294.463,1493.659
0:00:00.433623,5.092,292.976,1511.220
0:00:00.453005,5.092,287.976,1477.073
0:00:00.472376,5.088,287.878,1467.317
0:00:00.491758,5.088,290.561,1464.878
0:00:00.511303,5.092,288.073,1465.854
0:00:00.530686,5.096,263.683,1342.927
0:00:00.550154,5.096,263.366,1347.317
0:00:00.569606,5.096,263.683,1341.951
0:00:00.589010,5.096,263.463,1349.268
0:00:00.608396,5.096,263.463,1343.415
0:00:00.627803,5.100,263.268,1344.878
0:00:00.647228,5.096,263.366,1343.415
0:00:00.666660,5.096,263.878,1378.537
0:00:00.686150,5.096,272.585,1373.659
0:00:00.705591,5.092,267.073,1342.927
0:00:00.724975,5.096,263.171,1347.317
0:00:00.744433,5.096,262.463,1338.049
0:00:00.764172,5.096,263.073,1341.951
0:00:00.783620,5.100,263.073,1340.976
0:00:00.803037,5.096,263.366,1341.951
0:00:00.822422,5.096,264.073,1340.488
0:00:00.841880,5.096,264.780,1349.268
0:00:00.861363,5.096,262.976,1347.317
0:00:00.880751,5.096,263.073,1341.951
0:00:00.900217,5.100,264.463,1373.659
0:00:00.919663,5.096,269.976,1388.293
0:00:00.939046,5.096,263.366,1340.488
0:00:00.960634,5.096,263.073,1340.488
0:00:00.980110,5.100,263.171,1340.976
0:00:00.999581,5.076,325.171,1660.976
0:00:01.019186,5.076,330.366,1656.098
0:00:01.038615,5.080,325.659,1804.878
0:00:01.058003,5.088,300.683,1526.341
0:00:01.077387,5.084,299.463,1549.756
0:00:01.096799,5.088,299.561,1524.878
0:00:01.116181,5.060,371.659,1916.585
0:00:01.135579,5.060,388.854,1930.244
0:00:01.154998,5.060,378.976,1903.902
0:00:01.174379,5.056,374.756,1901.463
0:00:01.193816,5.060,374.171,1906.341
0:00:01.213177,5.064,376.463,1909.268
0:00:01.232585,5.056,383.854,1939.024
0:00:01.252037,5.060,382.268,1932.683
0:00:01.271465,5.060,383.073,1930.732
0:00:01.290871,5.060,381.976,1935.122
0:00:01.310306,5.056,383.073,1943.902
0:00:01.329690,5.056,383.854,1940.488
0:00:01.349054,5.060,385.073,1943.902
0:00:01.368424,5.056,384.756,1966.829
0:00:01.387811,5.056,394.756,1955.610
0:00:01.407197,5.052,385.463,1942.927
0:00:01.426562,5.056,382.463,1932.683
0:00:01.445932,5.060,382.659,1936.585
0:00:01.465301,5.060,383.073,1935.610
0:00:01.484670,5.056,382.976,1938.049
0:00:01.504070,5.056,383.073,1936.585
0:00:01.523483,5.056,383.171,1992.683
0:00:01.543002,5.060,386.073,1938.049
0:00:01.562382,5.056,384.366,1942.927
0:00:01.581752,5.056,383.756,1938.049
0:00:01.601242,5.056,383.268,1936.585
0:00:01.620615,5.056,383.659,1984.390
0:00:01.640035,5.056,394.366,1962.927
0:00:01.659490,5.056,387.268,1935.122
0:00:01.678870,5.056,385.366,2094.146
0:00:01.698275,5.056,383.756,1942.927
0:00:01.717636,5.056,384.854,1949.268
0:00:01.737020,5.056,384.073,1938.049
0:00:01.756488,5.060,384.366,1938.049
0:00:01.775880,5.056,384.171,1940.488
0:00:01.795309,5.056,384.659,1939.024
0:00:01.814682,5.056,385.659,1941.951
0:00:01.834066,5.056,383.366,1941.463
0:00:01.853434,5.056,383.659,1941.463
0:00:01.872940,5.056,393.268,1955.610
0:00:01.894079,5.052,384.561,1959.024
0:00:01.913495,5.056,385.073,1945.366
0:00:01.932984,5.060,384.366,1949.268
0:00:01.952355,5.056,383.561,1939.512
0:00:01.971715,5.056,384.366,1942.927
0:00:01.991219,5.056,384.366,1946.341
0:00:02.010609,5.060,384.171,1941.951
0:00:02.029994,5.060,385.463,1958.049
0:00:02.049488,5.056,384.659,1946.341
0:00:02.068866,5.056,384.756,1947.805
0:00:02.088346,5.052,384.073,1982.927
0:00:02.107756,5.060,394.073,1974.146
0:00:02.127157,5.052,387.171,1953.171
0:00:02.146537,5.056,384.756,1944.390
0:00:02.165903,5.056,384.951,1957.561
0:00:02.185278,5.056,384.659,1950.244
0:00:02.204673,5.056,385.561,1950.732
0:00:02.224045,5.056,384.171,1941.951
0:00:02.243603,5.056,383.756,1939.512
0:00:02.263294,5.052,383.756,1944.390
0:00:02.282775,5.056,385.268,1949.268
0:00:02.302207,5.056,384.366,1955.610
0:00:02.321582,5.060,384.073,1969.268
0:00:02.341045,5.056,393.951,2006.829
0:00:02.360492,5.052,395.171,1959.024
0:00:02.379886,5.056,386.463,1955.122
0:00:02.399381,5.056,386.561,1955.610
0:00:02.418806,5.056,386.854,1953.171
0:00:02.438189,5.056,388.073,1961.463
0:00:02.457557,5.056,384.659,1945.366
0:00:02.476952,5.056,385.366,1954.146
0:00:02.496370,5.056,385.171,1944.390
0:00:02.515742,5.056,384.268,1949.268
0:00:02.535114,5.056,385.561,1949.268
0:00:02.554473,5.056,384.854,1949.268
0:00:02.573836,5.056,384.756,1959.512
0:00:02.593236,5.056,389.171,1999.024
0:00:02.612649,5.056,393.756,1951.707
0:00:02.632102,5.056,383.561,1941.951
0:00:02.651481,5.056,384.366,1945.366
0:00:02.670851,5.056,384.659,1944.390
0:00:02.690404,5.060,384.756,1946.341
0:00:02.709809,5.056,384.659,1957.561
0:00:02.729196,5.056,385.268,1943.902
0:00:02.748637,5.056,385.073,1943.902
0:00:02.768019,5.056,384.366,1942.927
0:00:02.787421,5.056,384.756,1946.829
0:00:02.806837,5.056,384.756,1981.951
0:00:02.827950,5.056,393.268,1946.341
0:00:02.847425,5.056,385.951,1954.146
0:00:02.866797,5.056,384.854,1946.341
0:00:02.886165,5.056,385.561,1947.805
0:00:02.905575,5.056,385.366,1949.268
0:00:02.924938,5.056,384.073,1943.902
0:00:02.944322,5.056,384.561,1941.951
0:00:02.963693,5.056,384.854,1940.488
0:00:02.983070,5.056,386.463,1946.829
0:00:03.002482,5.056,384.659,1946.341
0:00:03.021980,5.056,384.951,1942.927
0:00:03.041379,5.056,384.171,1942.927
0:00:03.060744,5.056,386.951,1997.073
0:00:03.080207,5.056,394.268,1961.463
0:00:03.099646,5.052,383.659,1943.902
0:00:03.119018,5.056,388.073,1946.829
0:00:03.138413,5.060,384.659,1971.707
0:00:03.157781,5.056,384.951,1949.268
0:00:03.177142,5.056,385.659,1950.732
0:00:03.196564,5.056,385.463,1950.244
0:00:03.215931,5.056,384.366,1947.805
0:00:03.235301,5.056,385.561,1947.805
0:00:03.254670,5.056,388.951,1953.171
0:00:03.274046,5.056,384.463,1945.366
0:00:03.293590,5.056,384.366,1946.341
0:00:03.312991,5.056,385.268,1979.024
0:00:03.332383,5.056,394.561,1946.341
0:00:03.351747,5.052,386.756,1954.146
0:00:03.371193,5.056,387.268,1956.585
0:00:03.390619,5.056,389.951,1958.049
0:00:03.410019,5.060,386.561,1955.610
0:00:03.429471,5.056,387.463,1958.049
0:00:03.448870,5.056,384.561,1941.951
0:00:03.468239,5.056,385.073,1950.244
0:00:03.487612,5.056,384.268,1959.024
0:00:03.507009,5.056,385.268,1947.805
0:00:03.526374,5.056,389.171,1948.293
0:00:03.545750,5.056,384.756,1970.244
0:00:03.565118,5.056,390.951,1990.244
0:00:03.584504,5.052,392.659,1946.341
0:00:03.603910,5.052,385.171,1947.805
0:00:03.623276,5.056,385.073,1948.293
0:00:03.642810,5.056,385.073,1946.341
0:00:03.662182,5.056,385.171,1950.244
0:00:03.681570,5.056,385.073,1944.390
0:00:03.701084,5.060,384.756,1946.829
0:00:03.720479,5.056,383.976,1942.927
0:00:03.739864,5.056,383.976,1943.902
0:00:03.759782,5.052,384.951,1946.341
0:00:03.781152,5.056,391.756,1997.073
0:00:03.800615,5.052,390.756,1946.829
0:00:03.820025,5.056,385.463,1950.732
0:00:03.839491,5.056,385.171,1945.366
0:00:03.858879,5.056,384.951,1946.341
0:00:03.878280,5.056,385.268,1953.171
0:00:03.897686,5.056,386.561,1942.927
0:00:03.917060,5.060,385.171,1966.341
0:00:03.936453,5.056,384.756,1943.902
0:00:03.955832,5.056,385.073,1948.293
0:00:03.975196,5.056,385.659,1950.244
0:00:03.994682,5.056,384.561,1943.902
0:00:04.014053,5.056,385.268,1967.805
0:00:04.033464,5.056,391.463,1995.610
0:00:04.052967,5.056,393.561,1949.268
0:00:04.072360,5.052,385.463,1956.585
0:00:04.091746,5.056,384.951,1946.341
0:00:04.111247,5.056,385.171,1947.805
0:00:04.130694,5.056,384.073,1941.951
0:00:04.150086,5.060,385.171,1950.244
0:00:04.169572,5.056,386.171,1947.805
0:00:04.188983,5.056,385.366,1961.951
0:00:04.208402,5.056,385.756,1943.902
0:00:04.227768,5.056,384.561,1948.293
0:00:04.247150,5.056,385.073,1947.805
0:00:04.266521,5.060,384.659,1985.854
0:00:04.285940,5.056,395.268,1978.049
0:00:04.305338,5.056,388.268,1947.805
0:00:04.324696,5.056,384.659,1946.829
0:00:04.344057,5.056,384.854,1947.805
0:00:04.363419,5.056,387.366,1958.049
0:00:04.382889,5.056,389.659,1956.585
0:00:04.402345,5.056,386.951,1957.561
0:00:04.421719,5.056,387.268,1961.463
0:00:04.441172,5.056,387.463,1960.488
0:00:04.460610,5.056,386.561,1953.171
0:00:04.480137,5.056,385.561,1950.244
0:00:04.499645,5.056,385.171,1976.585
0:00:04.519079,5.056,401.854,1991.707
0:00:04.538462,5.052,392.561,1947.805
0:00:04.557868,5.052,384.854,1952.683
0:00:04.577246,5.056,385.366,1946.341
0:00:04.596648,5.056,384.951,1947.805
0:00:04.616028,5.056,385.171,1947.805
0:00:04.635451,5.060,384.561,1946.341
0:00:04.654816,5.056,396.463,1946.341
0:00:04.674177,5.056,384.951,1949.268
0:00:04.693619,5.056,386.268,1948.293
0:00:04.714814,5.056,385.756,1943.902
0:00:04.734267,5.056,388.073,1986.829
0:00:04.753683,5.056,394.854,2029.268
0:00:04.773047,5.056,388.854,1950.244
0:00:04.792526,5.052,387.756,1952.683
0:00:04.812017,5.056,385.854,1948.293
0:00:04.831397,5.056,386.561,1950.244
0:00:04.850782,5.056,386.073,1950.732
0:00:04.870306,5.056,387.463,1947.805
0:00:04.889715,5.056,384.951,1946.829
0:00:04.909113,5.056,385.561,1946.341
0:00:04.928467,5.056,385.366,1950.244
0:00:04.947837,5.056,385.268,1950.244
0:00:04.967193,5.056,386.366,1947.805
0:00:04.986595,5.056,385.073,1979.024
0:00:05.005999,5.056,390.854,2002.927
0:00:05.025399,5.052,384.951,1944.390
0:00:05.044781,5.052,384.854,1946.829
0:00:05.064152,5.056,385.073,1950.244
0:00:05.083617,5.056,385.171,1947.805
0:00:05.103046,5.056,390.073,1958.049
0:00:05.122473,5.056,385.268,1947.805
0:00:05.141941,5.056,385.756,1965.366
0:00:05.161326,5.056,385.561,1949.268
0:00:05.180691,5.056,384.659,1946.829
0:00:05.200086,5.056,386.366,1953.171
0:00:05.219527,5.040,384.756,1942.927
0:00:05.238953,5.056,395.854,1999.024
0:00:05.258668,5.056,400.366,1955.122
0:00:05.278345,5.052,388.073,1946.341
0:00:05.297840,5.056,385.366,1950.244
0:00:05.317282,5.056,385.171,1950.732
0:00:05.336672,5.056,385.463,1950.244
0:00:05.356217,5.056,385.463,1948.293
0:00:05.375623,5.052,388.268,1961.463
0:00:05.395101,5.056,387.951,1959.512
0:00:05.414489,5.060,391.171,1961.463
0:00:05.433873,5.056,388.951,1963.902
0:00:05.453245,5.056,387.561,1959.512
0:00:05.472663,5.056,385.561,1976.585
0:00:05.492124,5.056,393.268,1985.366
0:00:05.511539,5.052,385.073,1946.341
0:00:05.530909,5.056,385.268,1948.293
0:00:05.550419,5.056,387.659,1947.805
0:00:05.569800,5.056,385.756,1950.244
0:00:05.589210,5.056,385.854,1948.293
0:00:05.608629,5.052,385.366,1951.707
0:00:05.628014,5.056,385.073,1959.024
0:00:05.649202,5.052,385.659,1948.293
0:00:05.668741,5.056,385.366,1947.805
0:00:05.688149,5.056,385.756,1989.268
0:00:05.707558,5.056,396.463,1972.683
0:00:05.726979,5.056,388.268,1950.732
0:00:05.746383,5.052,388.366,1962.927
0:00:05.765753,5.056,385.561,1960.488
0:00:05.785112,5.056,386.268,1950.732
0:00:05.804522,5.056,385.756,1948.293
0:00:05.823898,5.056,384.854,1944.390
0:00:05.843327,5.056,385.561,1946.829
0:00:05.862792,5.056,385.659,1950.244
0:00:05.882168,5.056,384.463,1948.293
0:00:05.901581,5.056,385.756,1961.951
0:00:05.921026,5.056,385.463,1950.244
0:00:05.940475,5.056,385.463,1976.585
0:00:05.959894,5.056,392.366,1988.293
0:00:05.979274,5.052,391.463,1951.707
0:00:05.998794,5.056,385.268,1950.244
0:00:06.018198,5.056,386.756,1959.024
0:00:06.037631,5.056,385.659,1966.829
0:00:06.057013,5.056,385.854,1951.707
0:00:06.076433,5.056,387.366,1955.610
0:00:06.095821,5.056,386.268,1950.244
0:00:06.115214,5.056,385.659,1944.390
0:00:06.134606,5.056,385.561,1950.244
0:00:06.153993,5.056,386.561,1958.049
0:00:06.173365,5.056,386.951,1973.171
0:00:06.192841,5.056,389.171,1993.171
0:00:06.212257,5.056,395.171,1957.561
0:00:06.231638,5.052,385.854,1945.366
0:00:06.251110,5.056,385.268,1949.268
0:00:06.270494,5.056,385.366,1951.707
0:00:06.289871,5.056,385.561,1949.268
0:00:06.309268,5.056,385.951,1966.829
0:00:06.328722,5.052,388.854,1950.732
0:00:06.348112,5.056,385.951,1943.902
0:00:06.367483,5.056,386.268,1951.707
0:00:06.386855,5.056,386.171,1951.707
0:00:06.406252,5.056,386.463,1954.146
0:00:06.425620,5.056,386.171,1950.244
0:00:06.445014,5.056,385.366,1992.683
0:00:06.464386,5.056,396.756,1975.610
0:00:06.483759,5.052,387.268,1959.512
0:00:06.503169,5.056,387.659,1957.561
0:00:06.522541,5.056,387.366,1959.024
0:00:06.542053,5.056,387.756,1962.927
0:00:06.561454,5.056,387.756,1961.951
0:00:06.580833,5.056,387.659,1949.268
0:00:06.602265,5.056,385.268,1947.805
0:00:06.621683,5.056,385.366,1957.561
0:00:06.641154,5.056,385.366,1946.829
