TimeStamp, Voltage (V), Current (mA), Power (mW)
0:00:00.012597,5.056,377.366,1909.268
0:00:00.031131,5.056,378.756,1932.683
0:00:00.049479,5.060,376.976,1949.268
0:00:00.067814,5.060,379.366,1963.902
0:00:00.086162,5.060,383.268,1961.951
0:00:00.104732,5.060,387.073,1957.561
0:00:00.123167,5.060,385.463,1917.561
0:00:00.141521,5.056,384.659,1910.244
0:00:00.159879,5.056,385.366,1899.024
0:00:00.178356,5.056,376.171,1901.951
0:00:00.196984,5.056,376.854,1906.829
0:00:00.215346,5.056,382.171,1910.732
0:00:00.233728,5.060,377.756,1920.000
0:00:00.252055,5.056,377.659,1911.707
0:00:00.270394,5.060,377.659,1910.244
0:00:00.288736,5.060,378.073,1913.171
0:00:00.307153,5.056,377.659,1910.732
0:00:00.325529,5.056,377.756,1911.707
0:00:00.343872,5.056,377.463,1912.683
0:00:00.362222,5.060,377.659,1913.171
0:00:00.380579,5.056,378.463,1914.146
0:00:00.398906,5.060,378.366,1932.683
0:00:00.417236,5.060,378.366,1909.268
0:00:00.435582,5.060,377.561,1910.244
0:00:00.453947,5.056,378.268,1914.146
0:00:00.472291,5.060,377.854,1912.683
0:00:00.490630,5.060,378.366,1913.171
0:00:00.508956,5.060,377.561,1911.707
0:00:00.527285,5.056,377.756,1910.732
0:00:00.545625,5.060,377.561,1911.707
0:00:00.563964,5.060,377.366,1917.561
0:00:00.582296,5.060,379.854,1921.951
0:00:00.600630,5.056,377.854,1911.707
0:00:00.619069,5.056,377.463,1913.171
0:00:00.637429,5.060,377.854,1910.244
0:00:00.655861,5.060,381.756,1910.244
0:00:00.674196,5.060,377.268,1913.171
0:00:00.692544,5.056,377.073,1907.805
0:00:00.710883,5.060,379.268,1919.024
0:00:00.729216,5.060,377.073,1906.341
0:00:00.747546,5.056,377.366,1912.683
0:00:00.765870,5.060,378.073,1910.732
0:00:00.784205,5.060,377.366,1910.244
0:00:00.802541,5.060,379.756,1920.000
0:00:00.820922,5.056,377.976,1910.244
0:00:00.839942,5.056,378.463,1928.780
0:00:00.859267,5.060,385.171,1955.610
0:00:00.878664,5.056,388.561,1911.707
0:00:00.898094,5.060,378.073,1910.244
0:00:00.919267,5.060,378.854,1911.707
0:00:00.938693,5.060,378.659,1913.171
0:00:00.958112,5.060,379.171,1928.780
0:00:00.977455,5.056,378.171,1915.610
0:00:00.996797,5.060,378.561,1913.171
0:00:01.016127,5.056,379.366,1915.122
0:00:01.035628,5.060,378.073,1915.122
0:00:01.054985,5.060,380.463,1920.000
0:00:01.074333,5.060,380.561,1952.683
0:00:01.093691,5.056,390.268,1979.024
0:00:01.113232,5.052,385.659,1926.829
0:00:01.132659,5.056,380.366,1923.902
0:00:01.152029,5.060,377.854,1911.707
0:00:01.171380,5.060,378.268,1914.146
0:00:01.190741,5.056,378.463,1913.171
0:00:01.210090,5.056,379.073,1912.683
0:00:01.229420,5.060,377.976,1914.146
0:00:01.248885,5.060,382.268,1913.171
0:00:01.268246,5.060,379.268,1913.171
0:00:01.287600,5.060,378.171,1913.171
0:00:01.306938,5.060,378.463,1916.585
0:00:01.326361,5.060,378.561,1939.024
0:00:01.345776,5.060,384.854,1955.610
0:00:01.365115,5.060,386.171,1915.122
0:00:01.384483,5.056,383.073,1915.122
0:00:01.403816,5.060,378.366,1919.024
0:00:01.423127,5.056,382.171,1918.049
0:00:01.442466,5.056,379.268,1928.780
