TimeStamp, Voltage (V), Current (mA), Power (mW)
0:00:00.009666,5.080,288.780,1468.780
0:00:00.028205,5.088,289.780,1486.341
0:00:00.046540,5.092,290.073,1491.220
0:00:00.064872,5.088,289.366,1498.537
0:00:00.083251,5.088,289.171,1498.537
0:00:00.101591,5.088,291.366,1507.317
0:00:00.119944,5.088,298.561,1519.512
0:00:00.138274,5.088,299.878,1524.878
0:00:00.156661,5.092,298.780,1480.976
0:00:00.174994,5.084,297.683,1470.732
0:00:00.193311,5.088,298.366,1480.000
0:00:00.211772,5.088,288.976,1474.634
0:00:00.231136,5.088,289.073,1468.780
0:00:00.250457,5.092,396.073,1757.561
0:00:00.269854,5.088,288.073,1465.854
0:00:00.289628,5.088,288.780,1469.756
0:00:00.309049,5.092,288.878,1469.756
0:00:00.328512,5.092,288.878,1471.220
0:00:00.347906,5.092,288.976,1471.220
0:00:00.367253,5.092,288.780,1469.756
0:00:00.386605,5.092,289.073,1468.780
0:00:00.406026,5.088,288.780,1469.756
0:00:00.425405,5.088,292.780,1520.976
0:00:00.444717,5.092,298.073,1476.098
0:00:00.464092,5.084,288.683,1469.756
0:00:00.483428,5.088,288.780,1475.610
0:00:00.502783,5.088,289.878,1468.780
0:00:00.522163,5.092,289.171,1468.780
0:00:00.541503,5.096,264.780,1345.854
0:00:00.560828,5.100,264.073,1345.854
0:00:00.580256,5.096,263.878,1347.317
0:00:00.599682,5.096,263.976,1344.878
0:00:00.619060,5.096,264.171,1345.854
0:00:00.638496,5.096,264.073,1344.878
0:00:00.657841,5.096,264.073,1344.878
0:00:00.677172,5.096,265.366,1384.878
0:00:00.696482,5.096,269.171,1345.854
0:00:00.715865,5.092,264.171,1345.854
0:00:00.735261,5.096,263.780,1345.854
0:00:00.754605,5.100,263.976,1345.854
0:00:00.773936,5.096,263.976,1344.878
0:00:00.793266,5.096,272.585,1344.878
0:00:00.812612,5.096,265.780,1344.878
0:00:00.831978,5.096,263.073,1344.878
0:00:00.851320,5.096,263.683,1344.390
0:00:00.870648,5.096,263.878,1345.854
0:00:00.890002,5.096,263.878,1344.878
0:00:00.909447,5.100,265.463,1352.195
0:00:00.928793,5.096,272.780,1345.854
0:00:00.949878,5.092,263.780,1344.878
0:00:00.969336,5.096,263.780,1344.878
0:00:00.988692,5.096,263.780,1344.878
0:00:01.008038,5.076,325.659,1716.585
0:00:01.027397,5.076,322.878,1657.561
0:00:01.046868,5.064,324.976,1473.659
0:00:01.066216,5.084,300.463,1515.122
0:00:01.085545,5.084,298.561,1521.951
0:00:01.104874,5.084,301.878,1697.561
0:00:01.124267,5.060,372.171,1886.341
0:00:01.143613,5.060,374.659,1899.024
0:00:01.162989,5.060,376.366,1947.805
0:00:01.182323,5.056,383.976,1921.951
0:00:01.201688,5.044,408.366,2058.049
0:00:01.221019,5.048,388.951,1939.024
0:00:01.240363,5.060,373.659,1891.707
0:00:01.259734,5.060,374.073,1891.707
0:00:01.279071,5.060,375.463,1901.463
0:00:01.298527,5.060,375.268,1903.902
0:00:01.317880,5.060,376.659,1910.244
0:00:01.337224,5.060,376.756,1884.390
0:00:01.356608,5.060,379.073,1904.390
0:00:01.375982,5.056,377.976,1903.902
0:00:01.395342,5.060,376.463,1906.829
0:00:01.414711,5.056,376.561,1925.366
0:00:01.434045,5.060,384.756,1939.024
0:00:01.453396,5.056,383.976,1906.341
0:00:01.472758,5.056,376.268,1905.366
0:00:01.492110,5.060,380.976,1906.829
0:00:01.511441,5.060,377.073,1905.366
0:00:01.530768,5.056,377.073,1902.927
0:00:01.550181,5.060,377.073,1909.268
0:00:01.569507,5.056,377.268,1905.366
0:00:01.588877,5.060,378.756,1905.366
0:00:01.608239,5.060,376.976,1909.268
0:00:01.627660,5.056,378.659,1938.049
0:00:01.646999,5.056,377.268,1909.268
0:00:01.666331,5.056,377.976,1933.171
0:00:01.685663,5.060,384.366,1957.561
0:00:01.705025,5.060,385.073,1906.341
0:00:01.724370,5.060,377.073,1919.024
0:00:01.743704,5.060,376.756,1901.951
0:00:01.763023,5.060,376.268,1921.463
0:00:01.782464,5.060,375.854,1902.927
0:00:01.802142,5.060,382.366,1920.000
0:00:01.821556,5.060,377.366,1909.268
0:00:01.840978,5.060,376.854,1910.244
0:00:01.860359,5.060,377.073,1912.683
0:00:01.881413,5.060,377.756,1907.805
0:00:01.901029,5.060,381.659,1945.366
0:00:01.920424,5.060,382.756,1910.244
0:00:01.939755,5.056,377.171,1909.268
0:00:01.959107,5.060,377.366,1906.341
0:00:01.978517,5.060,376.854,1907.805
0:00:01.997860,5.060,378.073,1907.805
0:00:02.017236,5.060,377.268,1910.732
0:00:02.036596,5.056,382.976,1919.024
0:00:02.055932,5.060,378.463,1907.805
0:00:02.075260,5.056,377.659,1915.610
0:00:02.094593,5.060,378.171,1911.707
0:00:02.113952,5.060,377.854,1911.707
0:00:02.133288,5.056,380.073,1910.732
