TimeStamp, Voltage (V), Current (mA), Power (mW)
0:00:00.010573,5.088,289.561,1497.073
0:00:00.029110,5.088,291.561,1511.220
0:00:00.047450,5.088,290.683,1521.951
0:00:00.065820,5.088,298.366,1517.561
0:00:00.084152,5.088,298.561,1517.561
0:00:00.102540,5.088,296.878,1471.220
0:00:00.120875,5.088,300.878,1483.415
0:00:00.139198,5.084,294.073,1471.220
0:00:00.157522,5.084,291.780,1464.878
0:00:00.176876,5.088,288.366,1464.390
0:00:00.196401,5.088,291.561,1471.220
0:00:00.215812,5.092,288.878,1468.780
0:00:00.235245,5.088,288.780,1472.195
0:00:00.254629,5.088,287.976,1468.780
0:00:00.274024,5.088,288.683,1468.780
0:00:00.293476,5.088,290.268,1477.561
0:00:00.312911,5.088,290.171,1475.610
0:00:00.332270,5.088,292.268,1476.098
0:00:00.351608,5.088,288.780,1494.634
0:00:00.371053,5.088,294.171,1519.512
0:00:00.390396,5.088,296.683,1468.780
0:00:00.409726,5.088,288.780,1467.317
0:00:00.429056,5.088,290.780,1478.537
0:00:00.448372,5.088,291.463,1480.000
0:00:00.467735,5.088,290.780,1490.732
0:00:00.487065,5.088,291.366,1473.171
0:00:00.506394,5.088,290.878,1479.512
0:00:00.525717,5.088,288.463,1469.756
0:00:00.545132,5.088,288.976,1468.780
0:00:00.564568,5.088,288.366,1467.317
0:00:00.583958,5.088,288.463,1470.732
0:00:00.603311,5.088,288.561,1473.171
0:00:00.622731,5.088,291.366,1521.951
0:00:00.642077,5.088,314.268,1454.634
0:00:00.661443,5.096,264.073,1344.878
0:00:00.680772,5.096,263.780,1345.854
0:00:00.700172,5.100,263.976,1345.854
0:00:00.719510,5.092,263.878,1344.878
0:00:00.738846,5.100,263.780,1353.171
0:00:00.758247,5.096,265.976,1355.610
0:00:00.777866,5.096,266.268,1356.098
0:00:00.797241,5.096,264.073,1344.390
0:00:00.816650,5.096,263.683,1345.854
0:00:00.836077,5.096,263.878,1347.317
0:00:00.855449,5.096,263.683,1343.415
0:00:00.874810,5.096,270.585,1387.317
0:00:00.894195,5.092,268.878,1344.878
0:00:00.913631,5.092,263.585,1344.878
0:00:00.932960,5.096,264.878,1344.878
0:00:00.954006,5.096,264.073,1344.878
0:00:00.973379,5.096,263.683,1344.390
0:00:00.992821,5.096,263.585,1343.415
0:00:01.012236,5.068,336.659,1668.780
0:00:01.031612,5.076,331.463,1662.439
0:00:01.050924,5.076,306.878,1612.683
0:00:01.070291,5.088,298.463,1515.122
0:00:01.089629,5.088,298.366,1527.317
0:00:01.109004,5.060,379.073,1936.585
0:00:01.128349,5.056,382.756,1900.000
0:00:01.147677,5.056,376.366,1926.829
0:00:01.167023,5.060,375.976,1905.366
0:00:01.186344,5.060,378.073,1904.390
0:00:01.205676,5.060,376.659,1912.683
0:00:01.225050,5.060,377.659,1906.341
0:00:01.244495,5.060,375.854,1890.244
0:00:01.263876,5.060,374.268,1891.707
0:00:01.283211,5.056,376.561,1915.122
0:00:01.302533,5.060,373.756,1897.561
0:00:01.321942,5.060,381.073,1900.488
0:00:01.341311,5.056,374.756,1903.902
0:00:01.360655,5.056,376.463,1942.927
0:00:01.379993,5.060,385.268,1921.463
0:00:01.399302,5.056,379.366,1896.585
0:00:01.418678,5.060,377.073,1897.561
0:00:01.438006,5.056,378.659,1909.268
0:00:01.457378,5.060,379.268,1924.390
0:00:01.476718,5.056,378.463,1910.244
0:00:01.496156,5.056,378.561,1913.171
0:00:01.515498,5.060,379.171,1912.683
0:00:01.534862,5.056,377.976,1902.927
0:00:01.554290,5.060,374.171,1900.000
