TimeStamp, Voltage (V), Current (mA), Power (mW)
0:00:00.011225,5.088,289.366,1472.195
0:00:00.031002,5.088,288.976,1473.171
0:00:00.050407,5.088,289.561,1489.756
0:00:00.069806,5.088,291.073,1523.415
0:00:00.089283,5.088,298.171,1482.439
0:00:00.108723,5.084,289.073,1468.293
0:00:00.128118,5.084,288.683,1468.780
0:00:00.147617,5.088,288.878,1469.756
0:00:00.167029,5.088,289.171,1468.780
0:00:00.186440,5.088,288.561,1482.439
0:00:00.205885,5.088,288.878,1469.756
0:00:00.225283,5.088,288.366,1468.293
0:00:00.244685,5.088,288.683,1468.780
0:00:00.264078,5.088,288.561,1467.317
0:00:00.283485,5.088,308.976,1468.780
0:00:00.302896,5.088,288.561,1467.317
0:00:00.322320,5.088,295.171,1519.512
0:00:00.341808,5.088,294.171,1469.756
0:00:00.361211,5.084,290.561,1509.756
0:00:00.380978,5.088,290.780,1480.000
0:00:00.400609,5.088,290.780,1480.000
0:00:00.420254,5.088,288.171,1463.415
0:00:00.442056,5.088,288.366,1468.780
0:00:00.461513,5.088,289.683,1478.537
0:00:00.480996,5.092,288.463,1465.854
0:00:00.500434,5.088,288.683,1464.878
0:00:00.519945,5.088,288.171,1504.878
0:00:00.539409,5.088,297.683,1497.561
0:00:00.558817,5.088,291.463,1466.829
0:00:00.578304,5.088,288.268,1477.561
0:00:00.597733,5.088,298.366,1362.927
0:00:00.617163,5.100,263.780,1343.415
0:00:00.636559,5.100,263.683,1345.854
0:00:00.656017,5.096,263.683,1341.951
0:00:00.675480,5.096,263.463,1347.317
0:00:00.694907,5.100,263.683,1356.098
0:00:00.714341,5.096,263.780,1351.707
0:00:00.733733,5.096,263.780,1342.927
0:00:00.753144,5.096,263.366,1369.756
0:00:00.772568,5.096,270.585,1388.293
0:00:00.791986,5.096,270.878,1339.512
0:00:00.811479,5.092,263.683,1339.512
0:00:00.831185,5.096,263.683,1342.927
0:00:00.850608,5.096,263.683,1350.732
0:00:00.870125,5.096,263.878,1353.171
0:00:00.889537,5.096,264.585,1341.951
0:00:00.909114,5.096,263.585,1342.927
0:00:00.928530,5.096,263.366,1343.415
0:00:00.947960,5.096,264.268,1343.415
0:00:00.967362,5.096,263.780,1340.976
0:00:00.986768,5.100,263.366,1349.756
0:00:01.006203,5.076,327.073,1684.878
0:00:01.025652,5.076,340.561,1680.976
0:00:01.045061,5.084,331.878,1603.902
0:00:01.064458,5.084,297.976,1511.220
0:00:01.083842,5.088,301.171,1520.000
0:00:01.103261,5.060,372.073,1887.805
0:00:01.122682,5.060,373.756,1919.024
0:00:01.142097,5.060,372.073,1894.146
0:00:01.161584,5.060,373.268,1899.024
0:00:01.181048,5.060,385.659,1946.341
0:00:01.200826,5.052,401.951,2023.415
0:00:01.220310,5.056,388.171,1955.610
0:00:01.239728,5.056,385.171,1978.049
0:00:01.259278,5.052,396.366,1955.610
0:00:01.278701,5.052,384.463,1956.585
0:00:01.298104,5.056,383.854,1941.951
0:00:01.317608,5.056,382.854,1935.122
0:00:01.337063,5.056,382.659,1937.561
0:00:01.356462,5.056,380.976,1926.829
0:00:01.377688,5.060,382.659,1931.707
0:00:01.397161,5.056,384.756,1941.463
0:00:01.416823,5.056,383.171,1944.390
0:00:01.436269,5.060,380.171,1928.780
0:00:01.455718,5.056,379.073,1959.512
0:00:01.475140,5.060,388.561,1965.366
0:00:01.494550,5.056,385.268,1925.366
0:00:01.513995,5.056,380.073,1931.707
0:00:01.533383,5.060,378.463,1918.049
0:00:01.552797,5.056,380.659,1926.829
0:00:01.572201,5.056,380.366,1915.122
0:00:01.591740,5.060,379.171,1916.585
0:00:01.611181,5.060,380.073,1936.585
0:00:01.630574,5.056,379.171,1930.732
0:00:01.650056,5.060,378.976,1921.463
0:00:01.669460,5.056,380.073,1922.927
0:00:01.688860,5.056,379.366,1941.463
0:00:01.708390,5.060,385.268,1966.829
0:00:01.727808,5.056,387.366,1911.707
0:00:01.747224,5.056,381.268,1931.707
0:00:01.766619,5.056,379.366,1920.000
0:00:01.786017,5.056,378.854,1929.268
0:00:01.805422,5.060,380.268,1973.171
0:00:01.824826,5.060,379.854,1920.000
0:00:01.844257,5.056,379.854,1926.829
0:00:01.863657,5.056,378.854,1915.122
0:00:01.883059,5.060,379.561,1942.927
0:00:01.902488,5.056,383.366,1932.683
0:00:01.922055,5.056,382.073,1938.049
0:00:01.941483,5.056,379.659,1961.951
0:00:01.961009,5.056,389.171,1949.268
0:00:01.980426,5.052,382.171,1919.024
0:00:01.999921,5.056,381.463,1919.024
0:00:02.019427,5.060,379.366,1920.488
0:00:02.038880,5.056,380.268,1919.024
0:00:02.058367,5.060,379.171,1925.366
0:00:02.077784,5.060,378.854,1920.000
0:00:02.097187,5.060,379.854,1921.463
0:00:02.116608,5.060,381.268,1926.829
0:00:02.136004,5.060,380.463,1922.927
0:00:02.155455,5.060,378.756,1915.122
0:00:02.174858,5.056,379.171,1941.951
0:00:02.194297,5.060,386.366,1974.146
0:00:02.213720,5.056,387.463,1914.146
0:00:02.233136,5.056,379.463,1926.341
0:00:02.252534,5.056,379.268,1920.488
0:00:02.271973,5.060,379.756,1923.902
0:00:02.291369,5.056,386.854,1915.610
0:00:02.312815,5.056,378.976,1913.171
0:00:02.332531,5.056,380.463,1922.927
0:00:02.351963,5.056,379.659,1917.561
0:00:02.371369,5.060,380.854,1920.000
0:00:02.390923,5.060,378.976,1920.000
0:00:02.410369,5.056,386.561,1979.024
0:00:02.429764,5.056,385.463,1920.488
0:00:02.449272,5.056,379.366,1920.000
0:00:02.468670,5.060,379.171,1920.000
0:00:02.488150,5.056,380.171,1922.927
0:00:02.507674,5.056,380.171,1921.463
0:00:02.527096,5.056,381.366,1922.927
0:00:02.546494,5.060,378.976,1937.561
0:00:02.565891,5.060,380.463,1922.927
0:00:02.585290,5.060,379.463,1925.366
0:00:02.604688,5.056,380.073,1920.000
0:00:02.624144,5.060,379.561,1921.951
0:00:02.643567,5.056,379.463,1940.488
0:00:02.662965,5.060,385.854,1970.244
0:00:02.682425,5.052,380.659,1935.122
0:00:02.701858,5.060,379.073,1913.171
0:00:02.721261,5.056,380.171,1920.488
0:00:02.740770,5.060,379.366,1920.000
0:00:02.760190,5.060,379.561,1923.902
0:00:02.779597,5.060,379.463,1919.024
0:00:02.799105,5.056,379.561,1921.463
0:00:02.818531,5.056,380.268,1930.732
0:00:02.837939,5.060,379.756,1919.024
0:00:02.857356,5.056,380.268,1917.561
0:00:02.876800,5.056,379.366,1919.024
