TimeStamp, Voltage (V), Current (mA), Power (mW)
0:00:00.000259,5.096,283.085,1442.195
0:00:00.020585,5.100,282.988,1442.927
0:00:00.039947,5.096,283.085,1441.707
0:00:00.059276,5.096,282.890,1442.683
0:00:00.078682,5.100,336.585,1487.317
0:00:00.098163,5.096,284.195,1435.366
0:00:00.117880,5.096,282.890,1481.707
0:00:00.137311,5.100,280.793,1431.463
0:00:00.156656,5.100,280.695,1429.024
0:00:00.175999,5.096,280.793,1429.756
0:00:00.195330,5.100,280.390,1431.463
0:00:00.214674,5.100,280.695,1430.976
0:00:00.234021,5.100,280.390,1435.122
0:00:00.253365,5.100,280.585,1429.024
0:00:00.272691,5.100,280.488,1514.634
0:00:00.292021,5.100,280.488,1429.024
0:00:00.311358,5.100,280.293,1464.878
0:00:00.330728,5.096,286.988,1471.707
0:00:00.350060,5.100,285.293,1429.512
0:00:00.369480,5.096,280.390,1429.512
0:00:00.389030,5.100,280.585,1429.756
0:00:00.408368,5.100,280.890,1429.024
0:00:00.427756,5.096,280.695,1429.512
0:00:00.447166,5.100,280.488,1438.293
0:00:00.466533,5.100,279.988,1429.024
0:00:00.485858,5.100,280.488,1430.976
0:00:00.505200,5.100,280.585,1430.732
0:00:00.524568,5.096,280.488,1431.463
0:00:00.543892,5.096,282.390,1438.293
0:00:00.563223,5.100,280.390,1440.732
0:00:00.582553,5.100,285.085,1472.683
0:00:00.601891,5.100,289.695,1431.463
0:00:00.621336,5.096,280.390,1429.024
0:00:00.640678,5.096,280.195,1429.756
0:00:00.660021,5.100,280.390,1430.732
0:00:00.679346,5.100,280.293,1429.024
0:00:00.699947,5.100,279.695,1430.732
0:00:00.719329,5.096,273.085,1324.390
0:00:00.738738,5.108,257.585,1317.073
0:00:00.758082,5.104,257.585,1315.122
0:00:00.777404,5.108,257.695,1317.073
0:00:00.796738,5.108,257.695,1314.634
0:00:00.816077,5.108,257.695,1338.780
0:00:00.835396,5.108,264.695,1351.463
0:00:00.854719,5.108,257.585,1321.463
0:00:00.874041,5.104,257.890,1315.122
0:00:00.893373,5.104,257.793,1314.634
0:00:00.912732,5.104,257.488,1315.854
0:00:00.932064,5.108,257.585,1312.683
0:00:00.951393,5.108,257.390,1320.244
0:00:00.970710,5.104,257.390,1313.902
0:00:00.990041,5.108,257.293,1315.122
0:00:01.009390,5.088,321.183,1632.927
0:00:01.028839,5.084,319.183,1656.341
0:00:01.048183,5.088,311.390,1558.537
0:00:01.067586,5.088,314.085,1707.073
0:00:01.086914,5.088,319.890,1648.537
0:00:01.106249,5.088,313.988,1591.707
0:00:01.125597,5.088,311.390,1585.366
0:00:01.144920,5.088,310.488,1582.927
0:00:01.164285,5.084,322.683,1634.146
0:00:01.183612,5.088,288.293,1607.317
0:00:01.202953,5.084,323.683,1606.829
0:00:01.222305,5.080,311.988,1715.610
0:00:01.241628,5.088,399.598,1709.268
0:00:01.260967,5.084,344.890,1727.561
0:00:01.280370,5.088,320.293,1567.805
0:00:01.299737,5.084,342.793,1724.634
0:00:01.319076,5.088,332.085,1713.171
0:00:01.338406,5.080,323.988,1635.610
0:00:01.357744,5.076,333.390,1751.463
0:00:01.377078,5.080,318.183,1710.732
0:00:01.396447,5.080,344.988,1659.512
0:00:01.415819,5.076,338.488,1613.171
0:00:01.435199,5.084,345.585,1712.439
0:00:01.454528,5.080,341.488,1667.317
0:00:01.473872,5.088,317.585,1652.439
0:00:01.493246,5.088,338.793,1622.927
0:00:01.512583,5.084,321.488,1681.707
0:00:01.531906,5.084,324.085,1669.268
0:00:01.551355,5.084,342.683,1638.780
0:00:01.570690,5.084,326.683,1666.341
0:00:01.590060,5.084,328.683,1673.902
0:00:01.609850,5.088,327.890,1626.341
0:00:01.630923,5.084,318.293,1685.610
0:00:01.650397,5.084,314.085,1670.488
0:00:01.669794,5.088,334.683,1621.951
0:00:01.689146,5.088,316.585,1598.049
0:00:01.708490,5.088,318.683,1623.659
0:00:01.727944,5.084,329.488,1639.268
0:00:01.747287,5.088,316.585,1614.390
0:00:01.766652,5.084,327.988,1711.951
0:00:01.785975,5.088,317.585,1618.537
0:00:01.805316,5.088,314.085,1701.463
0:00:01.824670,5.088,323.793,1651.707
0:00:01.843997,5.084,339.085,1620.488
0:00:01.863334,5.088,332.988,1724.390
0:00:01.882652,5.092,322.183,1619.756
0:00:01.902015,5.088,317.293,1616.829
0:00:01.921392,5.092,295.085,1529.756
0:00:01.940729,5.096,316.390,1503.659
0:00:01.960071,5.096,293.085,1495.854
0:00:01.979471,5.088,296.293,1498.537
0:00:01.998874,5.096,295.585,1512.439
0:00:02.018232,5.096,294.390,1502.195
0:00:02.037578,5.092,301.488,1610.488
0:00:02.056916,5.096,289.695,1498.049
0:00:02.076248,5.092,312.085,1549.024
0:00:02.095581,5.096,303.988,1513.659
0:00:02.114923,5.084,293.988,1475.854
0:00:02.134259,5.096,300.793,1503.659
0:00:02.153572,5.096,294.293,1492.195
0:00:02.172912,5.092,294.390,1526.098
0:00:02.192263,5.096,296.085,1478.537
0:00:02.211589,5.096,305.195,1570.976
0:00:02.230924,5.096,292.793,1498.537
0:00:02.250335,5.096,293.695,1521.707
