TimeStamp, Voltage (V), Current (mA), Power (mW)
0:00:00.011838,5.072,379.463,1926.341
0:00:00.030434,5.068,378.854,1938.049
0:00:00.048798,5.068,382.561,1982.927
0:00:00.067143,5.072,382.561,1940.488
0:00:00.085480,5.072,382.659,1939.512
0:00:00.103827,5.072,383.366,1944.390
0:00:00.122171,5.072,381.659,1959.512
0:00:00.140509,5.064,404.561,2073.171
0:00:00.158850,5.088,321.878,2029.268
0:00:00.177183,5.088,330.366,1616.098
0:00:00.195519,5.092,319.878,1623.902
0:00:00.213859,5.088,324.878,1652.683
0:00:00.232205,5.084,320.366,1630.244
0:00:00.250551,5.084,321.268,1688.780
0:00:00.268889,5.084,319.561,1663.902
0:00:00.287233,5.088,322.659,1720.000
0:00:00.305567,5.092,326.878,1675.122
0:00:00.323950,5.088,331.878,1687.317
0:00:00.342361,5.088,347.073,1764.878
0:00:00.360703,5.088,326.268,1629.756
0:00:00.379042,5.088,331.171,1699.024
0:00:00.397380,5.088,323.659,1652.683
0:00:00.415739,5.088,319.976,1683.415
0:00:00.434078,5.088,319.976,1630.244
0:00:00.452441,5.088,319.878,1628.780
0:00:00.470783,5.088,328.780,1672.683
0:00:00.489121,5.088,330.268,1640.000
0:00:00.507483,5.088,336.659,1627.317
0:00:00.525825,5.088,321.780,1668.780
0:00:00.544176,5.092,326.878,1744.878
0:00:00.562521,5.088,317.366,1617.073
0:00:00.580866,5.088,321.171,1634.634
0:00:00.599210,5.088,330.878,1683.415
0:00:00.617551,5.088,328.073,1636.098
0:00:00.635903,5.092,326.366,1631.220
0:00:00.654274,5.088,319.366,1684.878
0:00:00.672616,5.088,322.878,1738.537
0:00:00.690983,5.084,338.463,1633.659
0:00:00.709340,5.092,318.878,1622.439
0:00:00.727766,5.092,332.976,1633.659
0:00:00.746408,5.092,322.780,1628.780
0:00:00.764797,5.084,318.659,1665.366
0:00:00.783166,5.088,329.171,1676.098
0:00:00.801506,5.088,321.463,1637.073
0:00:00.819859,5.096,297.268,1509.756
0:00:00.838233,5.100,308.463,1520.976
0:00:00.856575,5.096,308.366,1503.415
0:00:00.874926,5.096,293.366,1573.659
0:00:00.893293,5.096,303.878,1509.756
0:00:00.912499,5.092,295.976,1501.951
0:00:00.930866,5.100,297.561,1516.098
0:00:00.949198,5.096,298.171,1519.512
0:00:00.967537,5.096,307.463,1517.561
0:00:00.985870,5.096,299.366,1508.293
0:00:01.004212,5.100,291.683,1560.000
0:00:01.022587,5.100,308.073,1523.902
0:00:01.040984,5.092,295.366,1489.756
0:00:01.060041,5.096,298.366,1539.512
0:00:01.079399,5.092,301.463,1528.780
0:00:01.098760,5.096,297.878,1512.195
0:00:01.118137,5.096,282.268,1444.878
0:00:01.137542,5.096,282.561,1440.000
0:00:01.158006,5.088,324.561,1653.659
0:00:01.177448,5.084,339.171,1723.902
0:00:01.196917,5.088,339.366,1727.317
0:00:01.216336,5.080,345.561,1740.000
0:00:01.235713,5.084,343.073,1757.561
0:00:01.255159,5.084,335.366,1705.366
0:00:01.274531,5.060,423.951,2122.927
0:00:01.293997,5.056,421.171,2149.756
0:00:01.313366,5.056,439.756,2151.707
0:00:01.332747,5.056,423.561,2134.146
0:00:01.352153,5.052,417.561,2133.171
0:00:01.371598,5.064,425.171,2138.049
0:00:01.390957,5.052,421.049,2129.268
0:00:01.410307,5.060,421.756,2111.707
0:00:01.429664,5.056,418.561,2166.829
0:00:01.449058,5.056,437.756,2125.366
0:00:01.468475,5.060,423.659,2188.293
0:00:01.487929,5.056,434.659,2149.268
0:00:01.507320,5.060,424.366,2163.415
0:00:01.526730,5.052,418.463,2132.195
0:00:01.546091,5.060,423.171,2266.829
0:00:01.565470,5.052,445.366,2256.098
0:00:01.584906,5.048,468.244,2268.293
0:00:01.604273,5.052,442.366,2233.659
0:00:01.623679,5.052,438.463,2244.878
0:00:01.643126,5.056,444.561,2255.610
0:00:01.662592,5.048,441.951,2189.756
0:00:01.682000,5.052,447.366,2304.390
0:00:01.701484,5.052,438.146,2179.512
0:00:01.720856,5.044,444.463,2183.415
0:00:01.740229,5.052,441.366,2278.537
0:00:01.759584,5.052,462.146,2218.049
