TimeStamp, Voltage (V), Current (mA), Power (mW)
0:00:00.012140,5.008,604.634,3020.976
0:00:00.030711,5.000,618.244,3040.488
0:00:00.049071,5.004,613.244,3069.268
0:00:00.067432,5.004,604.951,3027.317
0:00:00.085784,5.004,607.439,3039.512
0:00:00.104129,5.004,607.341,3039.512
0:00:00.122468,5.000,777.634,3033.171
0:00:00.140803,5.000,606.951,3652.683
0:00:00.159187,5.000,608.854,3047.317
0:00:00.177542,5.004,609.049,3047.317
0:00:00.195876,5.004,605.439,3029.756
0:00:00.214223,5.000,782.122,3888.293
0:00:00.232555,5.004,608.854,3040.976
0:00:00.250957,5.004,610.049,3053.659
0:00:00.269298,5.004,607.634,3042.439
0:00:00.287626,5.004,612.439,3053.659
0:00:00.305963,5.000,609.341,3049.268
0:00:00.324290,5.004,605.854,3031.707
0:00:00.342648,5.004,610.049,3046.829
0:00:00.360988,5.000,612.537,3063.415
0:00:00.379325,5.000,656.537,3067.317
0:00:00.397686,5.004,611.634,3063.415
0:00:00.416026,5.000,614.634,3073.171
0:00:00.434361,5.004,620.634,3105.854
0:00:00.452699,5.000,612.951,3064.878
0:00:00.471036,5.004,612.732,3065.854
0:00:00.489373,5.000,615.049,3077.073
0:00:00.507710,5.000,615.732,3069.268
0:00:00.526052,4.964,630.634,3142.439
0:00:00.544381,5.000,613.049,3067.317
0:00:00.562726,5.004,612.244,3058.537
0:00:00.581062,5.000,610.049,3053.171
0:00:00.599393,5.004,609.244,3049.268
0:00:00.617737,5.004,611.244,3058.537
0:00:00.636064,5.004,611.732,3058.049
0:00:00.654468,5.004,610.439,3058.049
0:00:00.673131,5.004,612.634,3065.854
0:00:00.691553,5.004,611.854,3061.951
0:00:00.709919,5.004,613.049,3099.512
0:00:00.728254,5.004,610.049,3085.854
0:00:00.746591,5.004,611.537,3087.317
0:00:00.764932,5.004,612.732,3107.317
0:00:00.783273,5.004,620.244,3103.415
0:00:00.801664,5.004,621.951,3112.195
0:00:00.820007,5.004,621.732,3108.780
0:00:00.838368,5.004,620.951,3067.317
0:00:00.856749,5.004,616.439,3051.707
0:00:00.875137,5.004,617.732,3055.610
0:00:00.894186,5.004,612.634,3066.829
0:00:00.915373,5.004,611.049,3055.610
0:00:00.934757,5.004,613.146,3061.951
0:00:00.954107,5.004,612.732,3063.415
0:00:00.973457,5.004,611.634,3062.439
0:00:00.992811,5.004,610.951,3057.073
0:00:01.012275,5.004,612.537,3067.317
0:00:01.031641,5.004,613.439,3063.415
0:00:01.051003,5.004,612.341,3064.878
0:00:01.070442,5.004,613.634,3110.732
0:00:01.089912,5.004,636.634,3093.171
0:00:01.109310,5.004,610.634,3057.073
0:00:01.128672,5.004,613.439,3067.317
