TimeStamp, Voltage (V), Current (mA), Power (mW)
0:00:00.009273,5.096,297.659,1545.366
0:00:00.028875,5.100,298.488,1520.000
0:00:00.048264,5.100,299.073,1537.561
0:00:00.067602,5.096,297.951,1519.024
0:00:00.086942,5.096,297.854,1520.000
0:00:00.106257,5.096,297.951,1544.390
0:00:00.125704,5.096,301.463,1567.805
0:00:00.145122,5.096,297.854,1519.024
0:00:00.166309,5.096,297.951,1515.122
0:00:00.185691,5.096,299.854,1517.073
0:00:00.205015,5.096,298.390,1520.000
0:00:00.224356,5.096,297.366,1515.122
0:00:00.243723,5.096,297.659,1517.073
0:00:00.263261,5.096,297.268,1515.122
0:00:00.282931,5.096,297.268,1517.073
0:00:00.302384,5.096,297.561,1515.122
0:00:00.321749,5.096,299.171,1514.146
0:00:00.341116,5.096,297.171,1549.268
0:00:00.360468,5.096,303.171,1557.073
0:00:00.379802,5.096,304.195,1515.122
0:00:00.399137,5.092,297.463,1515.122
0:00:00.418488,5.096,299.756,1512.195
0:00:00.437844,5.096,297.073,1515.122
0:00:00.457194,5.096,297.756,1527.805
0:00:00.476546,5.096,297.268,1515.122
0:00:00.495887,5.096,297.268,1514.146
0:00:00.515227,5.096,297.073,1517.073
0:00:00.534565,5.104,270.488,1381.463
0:00:00.554026,5.104,271.659,1379.512
0:00:00.573368,5.108,270.390,1377.561
0:00:00.592706,5.108,270.488,1387.317
0:00:00.612045,5.104,273.561,1454.634
0:00:00.631484,5.104,279.561,1387.317
0:00:00.650861,5.104,270.488,1379.512
0:00:00.670201,5.104,270.098,1382.439
0:00:00.689548,5.108,270.195,1386.341
0:00:00.708885,5.104,269.854,1381.463
0:00:00.728227,5.104,269.561,1381.463
0:00:00.747589,5.104,270.488,1377.561
0:00:00.766917,5.104,272.780,1379.512
0:00:00.786251,5.104,269.951,1379.512
0:00:00.805659,5.104,269.951,1384.390
0:00:00.825056,5.092,269.171,1404.878
0:00:00.844428,5.104,269.268,1369.756
0:00:00.863759,5.104,269.756,1417.561
0:00:00.883186,5.104,279.463,1404.878
0:00:00.902531,5.104,272.488,1377.561
0:00:00.921873,5.104,269.854,1377.561
0:00:00.941218,5.104,269.756,1384.390
0:00:00.960572,5.108,269.659,1381.463
0:00:00.979907,5.108,269.756,1376.585
0:00:00.999246,5.088,333.854,1697.561
0:00:01.018590,5.084,329.171,1657.561
0:00:01.037971,5.088,337.561,1652.683
0:00:01.057340,5.088,376.341,1659.512
0:00:01.076676,5.088,317.756,1640.000
0:00:01.097666,5.092,329.951,1677.073
0:00:01.117045,5.064,426.341,2097.561
0:00:01.136386,5.056,417.854,2115.122
0:00:01.155768,5.064,425.951,2120.000
0:00:01.175112,5.060,415.561,2160.976
0:00:01.194450,5.064,419.659,2084.878
0:00:01.213779,5.060,419.463,2085.854
0:00:01.233220,5.060,408.585,2078.049
0:00:01.252569,5.056,411.366,2048.780
0:00:01.271907,5.060,414.439,2105.366
0:00:01.291333,5.060,413.756,1514.146
